SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation
ZUARI,EQ,ZUARI AGRO CHEMICALS LTD,240.8,243.36,233.0,235.35,176662,41952721.21,20260623,245.89,238.46,241.27,241.87333333333333,242.175,241.57166666666666,242.175,241.57166666666666,0.603333333333353,0.2500656249568339,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.15,60,34578187.085,False,False,Inside,True,Risk Off,True,None,10.605000000000002,228.88279999999997,227.0191,0.05689140342605874,1.2132712772613539,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
PCBL,EQ,PCBL CHEMICAL LIMITED,311.05,315.0,307.1,309.05,1064983,331095631.3,20260623,316.1,310.05,311.9,312.68333333333334,313.07500000000005,312.29166666666663,313.07500000000005,312.29166666666663,0.7833333333334167,0.251148872501897,Moderate,Bearish,Below CPR,Cash Only,Chemicals,True,False,False,0.2833333333333333,60,346697494.63,False,False,Higher,True,Risk Off,False,None,10.753571428571421,290.9526,284.2865,0.07284401638437624,0.9549986268385051,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
GODREJAGRO,EQ,GODREJ AGROVET LIMITED,581.05,581.05,563.4,566.05,113394,64535398.25,20260623,583.0,575.45,577.05,578.5,579.225,577.775,579.225,577.775,1.4500000000000455,0.2512780521618656,Moderate,Bearish,Below CPR,Cash Only,Chemicals & Fertilizers,False,False,False,0.4166666666666667,60,66260648.325,False,False,Higher,True,Risk Off,False,None,10.88571428571426,582.442,584.2525,0.1332020997375373,0.973962674398568,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
GODREJPROP,EQ,GODREJ PROPERTIES LTD,1798.9,1832.0,1785.0,1789.7,830797,1506317600.6,20260623,1818.4,1793.0,1798.9,1803.4333333333334,1805.7,1801.1666666666667,1805.7,1801.1666666666667,4.533333333333303,0.2520058554301686,Moderate,Bearish,Below CPR,Cash Only,Realty,True,False,False,0.3,60,1340645936.1,False,False,Higher,True,Risk Off,False,None,49.8357142857143,1760.718,1714.6759999999997,0.09096555348526046,1.1235760017159686,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
CSBBANK,EQ,CSB BANK LIMITED,362.5,363.95,355.1,356.55,155339,55895129.45,20260623,367.9,362.25,363.7,364.6166666666666,365.075,364.15833333333325,365.075,364.15833333333325,0.9166666666667425,0.2520392264687222,Moderate,Bearish,Below CPR,Cash Only,Financial Services,False,False,False,0.25,60,152129672.075,False,False,Overlapping,True,Risk Off,True,Bearish Virgin,9.72499999999999,372.084,380.3639999999999,0.09425878320480652,0.36741766867441666,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
TNPETRO,EQ,TAMILNADU PETROPRODUCTS L,90.91,102.8,90.0,97.9,4204682,411534138.18,20260623,91.47,90.12,91.14,90.91000000000001,90.795,91.02500000000002,91.02500000000002,90.795,0.2300000000000182,0.2523590081193967,Moderate,Bullish,Above CPR,Cash Only,Energy & Oil/Gas,False,False,False,0.35,60,9639058.885,False,False,Overlapping,True,Risk Off,False,None,3.1571428571428575,89.402,89.0494,0.07285067873303742,42.69443138483327,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
ATALREAL,EQ,ATAL REALTECH LIMITED,30.4,30.6,29.6,30.14,5138046,153868988.8,20260623,30.73,30.2,30.35,30.426666666666666,30.465,30.388333333333332,30.465,30.388333333333332,0.07666666666666799,0.25260845689182204,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.3,60,123124277.41,True,True,Lower,True,Risk Off,False,None,2.1885714285714286,28.1236,26.3948,0.035030461270670755,1.2497047051705414,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
DABUR,EQ,DABUR INDIA LTD,422.25,425.3,419.25,419.8,1553970,654915426.95,20260623,426.2,421.5,422.25,423.31666666666666,423.85,422.7833333333333,423.85,422.7833333333333,1.0666666666667197,0.25261495954214797,Moderate,Bearish,Below CPR,Cash Only,Fast Moving Consumer Goods,True,False,False,0.3333333333333333,60,753208551.125,False,False,Overlapping,True,Risk Off,False,None,8.299999999999999,443.381,461.176,0.128514056224906,0.8695007856347511,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
GMRAIRPORT,EQ,GMR AIRPORTS LIMITED,108.05,110.1,107.01,107.37,9163127,992956235.5,20260623,109.6,107.58,108.18,108.45333333333333,108.59,108.31666666666666,108.59,108.31666666666666,0.27333333333334053,0.2526653109015904,Moderate,Bearish,Below CPR,Cash Only,Services,True,False,False,0.26666666666666666,60,1443775871.0549998,True,False,Lower,True,Risk Off,False,None,3.1857142857142864,99.288,96.9146,0.08579970104634006,0.6877495706964712,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
RRIL,EQ,R R I L LTD.,18.32,18.44,17.75,18.23,40610,738789.57,20260623,18.68,18.0,18.41,18.363333333333333,18.34,18.386666666666667,18.386666666666667,18.34,0.046666666666666856,0.2534854245880872,Moderate,Bullish,Below CPR,Cash Only,Diversified,False,False,False,0.20454545454545456,45,700771.0,True,False,Inside,True,Risk Off,True,None,1.0235714285714284,,,0.045591998139102315,1.0542524876172101,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
HEIDELBERG,EQ,HEIDELBERGCEMENT (I) LTD,155.44,155.44,152.11,152.75,34431,5287205.96,20260623,155.46,153.0,154.82,154.42666666666668,154.23000000000002,154.62333333333333,154.62333333333333,154.23000000000002,0.39333333333331666,0.25405847651034535,Moderate,Bullish,Below CPR,Cash Only,Cement & Building Materials,False,False,False,0.3,60,11633912.215,True,False,Higher,True,Risk Off,False,None,3.3114285714285705,155.8398,157.6259,0.11878055795225269,0.4544650038860552,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
GHCL,EQ,GHCL LIMITED,438.5,441.7,435.0,437.05,196497,86222738.55,20260623,443.65,436.2,438.25,439.3666666666666,439.92499999999995,438.8083333333333,439.92499999999995,438.8083333333333,1.1166666666666742,0.2548012930214887,Moderate,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.26666666666666666,60,89094324.6,False,False,Higher,True,Risk Off,False,None,12.657142857142853,472.33200000000005,476.44050000000004,0.08822422874341673,0.9677691473290545,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
PLATIND,EQ,PLATINUM INDUSTRIES LTD,233.2,237.49,226.51,227.35,74280,17130265.22,20260623,236.5,227.0,232.64,232.04666666666665,231.75,232.3433333333333,232.3433333333333,231.75,0.5933333333333053,0.25504355800090495,Moderate,Bullish,Below CPR,Cash Only,Diversified,False,False,False,0.18333333333333332,60,15566920.365,True,True,Higher,True,Risk Off,True,None,8.226428571428576,228.27259999999998,223.0682,0.07212526410233802,1.1004273689557091,False,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
ELLEN,EQ,ELLENBARRIE INDUS GASES L,286.5,293.15,277.25,279.6,262412,74416296.55,20260623,287.95,282.75,286.45,285.7166666666667,285.35,286.08333333333337,286.08333333333337,285.35,0.7333333333333485,0.2560074474893868,Moderate,Bullish,Below CPR,Cash Only,Diversified,False,False,False,0.2,60,103400447.045,False,False,Higher,True,Risk Off,True,None,12.482142857142849,270.0694,249.8578,0.058750596089653134,0.7196902786852937,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
FINPIPE,EQ,FINOLEX INDUSTRIES LTD,181.0,186.6,178.51,179.75,2137808,390981149.87,20260623,180.8,176.3,179.24,178.78,178.55,179.01,179.01,178.55,0.45999999999997954,0.25663914304841523,Moderate,Bullish,Above CPR,Cash Only,Building Materials & Pipes,False,False,False,0.3,60,80220918.375,False,False,Higher,True,Risk Off,False,Bullish Virgin,4.918571428571432,173.613,175.17489999999998,0.09352309032819793,4.873805458600249,True,True,No setup,0.0,None,Liftoff,92,🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹179.01) with massive 4.9x volume surge. Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹179.01 with stop below Pivot (₹178.78).,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
