SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Nifty500,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
MOREPENLAB,EQ,MOREPEN LAB. LTD,43.77,49.49,43.51,46.51,31593471,1493777829.57,20260601,46.50333333333333,46.5,46.50666666666666,46.50666666666666,46.5,0.0066666666666606,0.0143338350175459,Narrow,Bullish,Above CPR,Cash Only,Healthcare & Pharma,True,False,0.1428571428571428,7,201997728.45,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
RICOAUTO,EQ,RICO AUTO INDUSTRIES LTD,112.0,114.89,108.3,111.62,3241130,362954077.39,20260601,111.60333333333334,111.595,111.61166666666668,111.61166666666668,111.595,0.0166666666666799,0.0149316132115032,Narrow,Bullish,Above CPR,Cash Only,Automobile & Ancillary,True,False,0.1428571428571428,7,231585663.76,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
KAUSHALYA,EQ,KAUSHALYA INFRA DEV LTD.,887.4,887.4,856.0,871.95,500,435433.2,20260601,871.7833333333334,871.7,871.8666666666668,871.8666666666668,871.7,0.1666666666667424,0.0191142458474387,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1428571428571428,7,60672.4,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
GLOBALVECT,EQ,GLOBAL VEC HELICORP LTD,164.99,169.38,163.12,166.3,8299,1378548.05,20260601,166.26666666666668,166.25,166.28333333333336,166.28333333333336,166.25,0.0333333333333598,0.0200440970134454,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1428571428571428,7,1127280.8,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
BRIGHOTEL,EQ,BRIGADE HOTEL VENTURE LTD,62.0,62.0,61.1,61.57,50247,3096348.95,20260601,61.556666666666665,61.55,61.56333333333333,61.56333333333333,61.55,0.0133333333333354,0.0216555681879737,Narrow,Bullish,Above CPR,Cash Only,Hotels & Tourism,True,False,0.1428571428571428,7,2337096.84,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SUNFLAG,EQ,SUNFLAG IRON AND STEEL CO,365.05,391.0,357.75,374.5,488220,183886180.0,20260601,374.4166666666667,374.375,374.45833333333337,374.45833333333337,374.375,0.0833333333333712,0.02225189141078,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1428571428571428,7,173841699.7,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
RKSWAMY,EQ,R K SWAMY LIMITED,99.49,100.97,98.0,99.52,27560,2733332.46,20260601,99.49666666666668,99.485,99.50833333333334,99.50833333333334,99.485,0.0233333333333405,0.0234458735262666,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.2857142857142857,7,2804633.22,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ROSSARI,EQ,ROSSARI BIOTECH LIMITED,528.9,528.9,515.0,522.15,87237,45442545.45,20260601,522.0166666666668,521.95,522.0833333333335,522.0833333333335,521.95,0.1333333333334394,0.0255354463915425,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1428571428571428,7,58660613.85,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CAMPUS,EQ,CAMPUS ACTIVEWEAR LIMITED,253.0,253.0,248.7,250.95,187318,47010840.2,20260601,250.88333333333333,250.85,250.91666666666663,250.91666666666663,250.85,0.0666666666666628,0.0265657169422844,Narrow,Bullish,Above CPR,Cash Only,Footwear,True,False,0.2857142857142857,7,115361254.05,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CARERATING,EQ,CARE RATINGS LIMITED,1600.1,1630.0,1570.5,1600.9,67403,107460168.0,20260601,1600.4666666666665,1600.25,1600.683333333333,1600.683333333333,1600.25,0.4333333333329392,0.0270681075228271,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.2857142857142857,7,59130971.0,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
