SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,Industry,Segment,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,Applies,Timeframe,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
20MICRONS,20260925,208.28,227.88,207.41,217.58,219295133.13,20 MICRONS LTD,Diversified,Cash Only,20260925,217.62333333333333,217.64499999999998,217.6016666666667,217.64499999999998,217.6016666666667,0.04333333333329392,0.019916046205209082,Narrow,Bearish,Below CPR,False,True,0.05555555555555555,54,110544962.455,True,True,Higher,True,Neutral,True,None,19.861428571428576,189.4932,,0.002181783308156926,1.9837641468218814,True,False,No setup,0.0,None,Week 28 Sep – 02 Oct 2026,Weekly,0,0,0,0
21STCENMGM,20260925,38.97,40.39,38.3,39.87,679565.9299999999,21ST CENTURY MGMT SERVICE,Diversified,Cash Only,20260925,39.52,39.345,39.69500000000001,39.69500000000001,39.345,0.3500000000000085,0.8778530223225698,Wide,Bullish,Above CPR,False,False,0.14814814814814814,54,769168.605,False,False,Higher,True,Neutral,True,None,2.8614285714285725,38.5342,,0.12231652521218465,0.8835071083016967,True,False,Long,0.5,None,Week 28 Sep – 02 Oct 2026,Weekly,0,2,0,2
360ONE,20260925,1073.3,1122.0,1062.3,1073.0,7287642794.3,360 ONE WAM LIMITED,Financial Services,F&O + Cash,20260925,1085.7666666666667,1092.15,1079.3833333333332,1092.15,1079.3833333333332,12.766666666666879,1.1898105001553476,Wide,Bearish,Below CPR,False,False,0.7037037037037037,54,4379013100.8,False,False,Higher,True,Neutral,False,None,63.964285714285765,1110.1609999999998,,0.19959054531919168,1.664220368047911,False,False,No setup,0.0,None,Week 28 Sep – 02 Oct 2026,Weekly,0,0,0,0
3BBLACKBIO,20260925,1333.9,1473.9,1306.3,1456.2,52304509.5,3B BLACKBIO DX LTD.,Healthcare & Pharma,Cash Only,20260925,1412.1333333333332,1390.1,1434.1666666666665,1434.1666666666665,1390.1,44.066666666666606,3.0261410978345427,Wide,Bullish,Above CPR,False,False,0.8695652173913043,23,62260166.900000006,False,False,Higher,True,Neutral,False,None,136.02142857142857,,,0.32396856237637583,0.8400958767747858,False,False,No setup,0.0,None,Week 28 Sep – 02 Oct 2026,Weekly,0,0,0,0
3IINFOLTD,20260925,25.05,26.27,23.9,24.35,37484685.730000004,3I INFOTECH LIMITED,Information Technology,Cash Only,20260925,24.840000000000003,25.085,24.595000000000006,25.085,24.595000000000006,0.4899999999999949,2.0123203285420734,Wide,Bearish,Below CPR,False,False,0.7692307692307693,52,34319415.705,False,False,Overlapping,True,Neutral,False,None,2.2364285714285717,17.842200000000002,,0.21909932928776518,1.0922297177844684,True,False,No setup,0.0,None,Week 28 Sep – 02 Oct 2026,Weekly,0,0,0,0
3MINDIA,20260925,33915.0,35095.0,33800.0,33925.0,626650675.0,3M INDIA LIMITED,Diversified,Cash Only,20260925,34273.333333333336,34447.5,34099.16666666667,34447.5,34099.16666666667,348.3333333333285,1.0267747482190965,Wide,Bearish,Below CPR,False,False,0.5,54,596399340.0,False,False,Higher,True,Neutral,False,None,1823.5714285714287,33679.1,,0.19101710406057965,1.0507232871853949,True,False,No setup,0.0,None,Week 28 Sep – 02 Oct 2026,Weekly,0,0,0,0
3PLAND,20260925,31.09,34.88,29.42,30.99,2997576.57,3P LAND HOLDINGS LIMITED,Diversified,Cash Only,20260925,31.763333333333335,32.150000000000006,31.376666666666665,32.150000000000006,31.376666666666665,0.7733333333333405,2.4954286328923545,Wide,Bearish,Below CPR,False,False,0.7777777777777778,54,717168.595,False,False,Higher,True,Neutral,False,None,2.54,34.547200000000004,,0.3044619422572207,4.179737638957824,False,False,No setup,0.0,None,Week 28 Sep – 02 Oct 2026,Weekly,0,0,0,0
5PAISA,20260925,322.5,322.5,305.0,308.9,39162307.3,5PAISA CAPITAL LIMITED,Stock Broking,Cash Only,20260925,312.1333333333333,313.75,310.51666666666665,313.75,310.51666666666665,3.2333333333333485,1.0467249379518773,Wide,Bearish,Below CPR,False,False,0.37037037037037035,54,84484354.7,False,False,Lower,True,Neutral,False,None,31.78214285714285,330.3556,,0.10173427725961769,0.4635450840461944,False,False,No setup,0.0,None,Week 28 Sep – 02 Oct 2026,Weekly,0,0,0,0
63MOONS,20260925,883.8,914.95,788.5,857.65,2766462286.85,63 MOONS TECHNOLOGIES LTD,Diversified,Cash Only,20260925,853.6999999999999,851.725,855.6749999999998,855.6749999999998,851.725,3.949999999999818,0.4605608348393655,Moderate,Bullish,Above CPR,False,False,0.16666666666666666,54,537852418.325,True,False,Lower,True,Neutral,True,None,97.19642857142857,708.8839999999999,,0.040639353297811834,5.143534160291441,True,False,No setup,0.0,None,Week 28 Sep – 02 Oct 2026,Weekly,0,0,0,0
A2ZINFRA,20260925,14.81,15.24,14.52,14.72,11410563.82,A2Z INFRA ENGINEERING LTD,Real Estate & Infra,Cash Only,20260925,14.826666666666666,14.879999999999999,14.773333333333333,14.879999999999999,14.773333333333333,0.10666666666666558,0.7246376811594128,Moderate,Bearish,Below CPR,False,False,0.3157894736842105,38,16336114.440000001,False,False,Lower,True,Neutral,False,None,1.7735714285714288,,,0.06014230097999669,0.6984870154962014,False,False,No setup,0.0,None,Week 28 Sep – 02 Oct 2026,Weekly,0,0,0,0
AAATECH,20260925,88.98,105.9,86.0,101.5,114593789.75999999,AAA TECHNOLOGIES LIMITED,Information Technology,Cash Only,20260925,97.8,95.95,99.64999999999999,99.64999999999999,95.95,3.6999999999999886,3.645320197044324,Wide,Bullish,Above CPR,False,False,0.8648648648648649,37,10810729.1,False,False,Higher,True,Neutral,False,None,7.962857142857145,,,0.4646573376390368,10.600005670292857,False,False,No setup,0.0,None,Week 28 Sep – 02 Oct 2026,Weekly,0,0,0,0
AADHARHFC,20260925,461.0,470.25,441.3,444.5,611052617.6,AADHAR HOUSING FINANCE L,Financial Services,Cash Only,20260925,452.01666666666665,455.775,448.2583333333333,455.775,448.2583333333333,7.5166666666666515,1.6910386201724752,Wide,Bearish,Below CPR,False,False,0.8333333333333334,54,789494202.8,False,False,Overlapping,True,Neutral,False,None,33.278571428571425,484.21799999999996,,0.2258710739071327,0.7739798663914902,False,False,No setup,0.0,None,Week 28 Sep – 02 Oct 2026,Weekly,0,0,0,0
AAKASH,20260925,8.88,9.5,8.8,8.92,5990431.0200000005,AAKASH EXPLORATION SER L,Diversified,Cash Only,20260925,9.073333333333332,9.15,8.996666666666664,9.15,8.996666666666664,0.15333333333333599,1.7189835575486097,Wide,Bearish,Below CPR,False,False,0.6923076923076923,39,3639598.62,False,False,Higher,True,Neutral,False,None,0.8471428571428571,,,0.1810005621135501,1.6459043002934208,False,False,No setup,0.0,None,Week 28 Sep – 02 Oct 2026,Weekly,0,0,0,0
AAREYDRUGS,20260925,103.0,103.99,98.02,101.57,133003311.5,AAREY DRUGS & PHARM LTD,Healthcare & Pharma,Cash Only,20260925,101.19333333333333,101.005,101.38166666666666,101.38166666666666,101.005,0.37666666666666515,0.370844409438481,Moderate,Bullish,Above CPR,False,False,0.038461538461538464,26,95727319.50999999,True,True,Overlapping,True,Neutral,True,None,10.780000000000001,,,0.034941249226963365,1.3893976367541143,False,False,No setup,0.0,None,Week 28 Sep – 02 Oct 2026,Weekly,0,0,0,0
AARNAV,20260925,30.6,36.48,29.7,36.05,5231581.69,AARNAV FASHIONS LIMITED,Diversified,Cash Only,20260925,34.07666666666666,33.089999999999996,35.063333333333325,35.063333333333325,33.089999999999996,1.9733333333333292,5.473878871937114,Wide,Bullish,Above CPR,False,False,0.9333333333333333,30,8165379.76,False,False,Higher,True,Neutral,False,None,4.219285714285714,,,0.4676936967439751,0.6407028018008559,False,False,No setup,0.0,None,Week 28 Sep – 02 Oct 2026,Weekly,0,0,0,0
AARON,20260925,118.0,126.6,115.5,124.11,14524983.34,AARON INDUSTRIES LIMITED,Diversified,Cash Only,20260925,122.07,121.05,123.08999999999999,123.08999999999999,121.05,2.039999999999992,1.6437031665458,Wide,Bullish,Above CPR,False,False,0.6666666666666666,54,8700626.46,False,False,Overlapping,True,Neutral,False,None,12.44142857142857,148.7692,,0.1639683086462274,1.6694181053257169,False,False,No setup,0.0,None,Week 28 Sep – 02 Oct 2026,Weekly,0,0,0,0
AARTECH,20260925,51.7,52.2,49.15,50.11,7037077.01,AARTECH SOLONICS LIMITED,Information Technology,Cash Only,20260925,50.48666666666666,50.675,50.29833333333332,50.675,50.29833333333332,0.37666666666667936,0.7516796381294739,Wide,Bearish,Below CPR,False,False,0.2978723404255319,47,11018218.15,False,False,Overlapping,True,Neutral,False,None,5.975714285714288,,,0.06303291098892552,0.6386765005192786,False,False,No setup,0.0,None,Week 28 Sep – 02 Oct 2026,Weekly,0,0,0,0
