SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,Industry,Segment,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,Applies,Timeframe,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
AADHARHFC,20260911,483.5,485.0,452.0,456.8,656011929.0,AADHAR HOUSING FINANCE L,Financial Services,Cash Only,20260911,464.59999999999997,468.5,460.69999999999993,468.5,460.69999999999993,7.800000000000068,1.7075306479860042,Wide,Bearish,Below CPR,False,False,0.8490566037735849,53,797424262.85,False,False,Lower,True,Risk Off,False,None,34.54642857142857,486.6039999999999,,0.22578310761914805,0.8226636178029104,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
AAKASH,20260911,8.69,9.98,8.18,9.1,12015073.280000001,AAKASH EXPLORATION SER L,Diversified,Cash Only,20260911,9.086666666666666,9.08,9.093333333333332,9.093333333333332,9.08,0.013333333333331865,0.1465201465201304,Narrow,Bullish,Above CPR,True,False,0.1891891891891892,37,3639598.62,False,False,Higher,True,Risk Off,True,None,1.1342857142857146,,,0.011754827875733379,3.3012083293953993,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
AAREYDRUGS,20260911,94.1,101.29,94.1,98.89,104169251.75,AAREY DRUGS & PHARM LTD,Healthcare & Pharma,Cash Only,20260911,98.09333333333332,97.695,98.49166666666665,98.49166666666665,97.695,0.7966666666666526,0.8056089257423932,Wide,Bullish,Above CPR,False,False,0.25,24,86911749.6,False,False,Higher,True,Risk Off,True,None,11.568571428571431,,,0.0688647402650848,1.198563511026132,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
AARNAV,20260911,32.17,33.01,29.75,30.56,1365392.1600000001,AARNAV FASHIONS LIMITED,Diversified,Cash Only,20260911,31.106666666666666,31.38,30.833333333333332,31.38,30.833333333333332,0.5466666666666669,1.788830715532287,Wide,Bearish,Below CPR,False,False,0.6785714285714286,28,8632630.105,False,False,Lower,True,Risk Off,False,None,3.8971428571428572,,,0.14027370478983386,0.1581664154947596,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
AARON,20260911,129.0,142.0,121.16,126.94,11108524.8,AARON INDUSTRIES LIMITED,Diversified,Cash Only,20260911,130.03333333333333,131.57999999999998,128.48666666666668,131.57999999999998,128.48666666666668,3.0933333333333053,2.4368468042644595,Wide,Bearish,Below CPR,False,False,0.8679245283018868,53,8889224.74,False,False,Outside,True,Risk Off,False,None,11.595714285714285,151.4062,,0.2667652252474207,1.249661823714899,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
AARTECH,20260911,49.48,53.48,48.26,51.99,14047145.64,AARTECH SOLONICS LIMITED,Information Technology,Cash Only,20260911,51.24333333333333,50.87,51.61666666666667,51.61666666666667,50.87,0.7466666666666697,1.4361736231326594,Wide,Bullish,Above CPR,False,False,0.4782608695652174,46,11077373.32,False,False,Higher,True,Risk Off,False,None,6.072142857142858,,,0.12296592557738353,1.268093548371989,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
AARTIDRUGS,20260911,433.25,444.0,419.2,428.5,297565704.45,AARTI DRUGS LTD.,Healthcare & Pharma,Cash Only,20260911,430.56666666666666,431.6,429.5333333333333,431.6,429.5333333333333,2.0666666666667197,0.48230260598989955,Moderate,Bearish,Below CPR,False,False,0.2830188679245283,53,297565704.45,True,False,Overlapping,True,Risk Off,False,None,25.12142857142857,402.591,,0.082267083688752,1.0,True,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
AARTIIND,20260911,493.25,511.95,486.5,492.7,1450092873.45,AARTI INDUSTRIES LTD,Chemicals,Cash Only,20260911,497.05,499.225,494.875,499.225,494.875,4.350000000000023,0.8828901968743703,Wide,Bearish,Below CPR,False,False,0.4528301886792453,53,1453525064.35,False,False,Lower,True,Risk Off,False,None,36.87142857142857,434.55699999999996,,0.11797752808988828,0.9976387122697917,True,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
AARTIPHARM,20260911,861.0,894.7,814.0,826.95,1968903904.3,AARTI PHARMALABS LIMITED,Diversified,Cash Only,20260911,845.2166666666667,854.35,836.0833333333334,854.35,836.0833333333334,18.26666666666665,2.2089203297256965,Wide,Bearish,Below CPR,False,False,0.8301886792452831,53,586623338.3,False,False,Lower,True,Risk Off,False,None,68.71428571428574,734.5840000000001,,0.26583506583506555,3.356334083137176,True,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
AARTISURF,20260911,548.5,550.0,487.0,506.65,63703204.35,AARTI SURFACTANTS LIMITED,Diversified,Cash Only,20260911,514.5500000000001,518.5,510.60000000000014,518.5,510.60000000000014,7.899999999999864,1.5592618178229278,Wide,Bearish,Below CPR,False,False,0.6862745098039216,51,17842307.7,True,False,Lower,True,Risk Off,False,None,59.60357142857141,420.601,,0.13254239319311897,3.5703455753091853,True,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
AARVI,20260911,140.5,145.49,140.3,141.85,7237739.43,AARVI ENCON LIMITED,Diversified,Cash Only,20260911,142.54666666666665,142.895,142.1983333333333,142.895,142.1983333333333,0.6966666666667152,0.4911291270121362,Moderate,Bearish,Below CPR,False,False,0.22641509433962265,53,12047853.7,True,False,Lower,True,Risk Off,True,None,15.46785714285714,133.12619999999998,,0.04503963672747178,0.6007492795168985,True,False,Short,0.5,None,Week 14 Sep – 18 Sep 2026,Weekly,0,-2,0,-2
AASTHA,20260911,79.25,83.88,75.1,78.43,243344020.77999997,AASTHA SPINTEX LIMITED,Diversified,Cash Only,20260911,79.13666666666667,79.49,78.78333333333335,79.49,78.78333333333335,0.7066666666666492,0.9010157677759139,Wide,Bearish,Below CPR,False,False,0.5,8,529799989.065,False,False,Overlapping,False,Risk Off,False,None,,,,,0.45931299698487654,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
AAVAS,20260911,1291.0,1314.8,1256.6,1275.1,424269068.8,AAVAS FINANCIERS LIMITED,Financial Services,Cash Only,20260911,1282.1666666666665,1285.6999999999998,1278.6333333333332,1285.6999999999998,1278.6333333333332,7.066666666666606,0.5542048989621682,Moderate,Bearish,Below CPR,False,False,0.3018867924528302,53,1048392006.0,True,False,Inside,True,Risk Off,False,None,100.75000000000001,1414.468,,0.07014061207609533,0.40468552447165457,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
ABAN,20260911,14.99,15.1,14.15,14.39,1097702.57,ABAN OFFSHORE LTD.,Diversified,Cash Only,20260911,14.546666666666667,14.625,14.468333333333334,14.625,14.468333333333334,0.1566666666666663,1.0887190178364579,Wide,Bearish,Below CPR,False,False,0.5,2,1751407.9,False,False,Lower,False,Risk Off,False,None,,,,,0.626754378577372,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
ABANSENT,20260911,27.5,29.0,27.0,28.09,956281.85,ABANS ENTERPRISES LTD.,Diversified,Cash Only,20260911,28.03,28.0,28.060000000000002,28.060000000000002,28.0,0.060000000000002274,0.21359914560342566,Narrow,Bullish,Above CPR,True,False,0.375,8,1137465.8250000002,False,False,Higher,False,Risk Off,False,None,,,,,0.8407125989917102,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
ABB,20260911,7410.0,7480.0,7173.0,7274.0,6433123954.5,ABB INDIA LIMITED,Capital Goods,F&O + Cash,20260911,7309.0,7326.5,7291.5,7326.5,7291.5,35.0,0.4811657959857025,Moderate,Bearish,Below CPR,False,False,0.37735849056603776,53,7128058259.0,False,False,Lower,True,Risk Off,False,None,466.75,6238.0,,0.07498660953401179,0.902507207538243,True,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
ABBOTINDIA,20260911,26150.0,26195.0,25135.0,25550.0,1003988075.0,ABBOTT INDIA LIMITED,Healthcare,Cash Only,20260911,25626.666666666668,25665.0,25588.333333333336,25665.0,25588.333333333336,76.66666666666424,0.3000652315720714,Moderate,Bearish,Below CPR,False,False,0.33962264150943394,53,1060925600.0,False,False,Lower,True,Risk Off,False,None,1011.0714285714286,27426.8,,0.07582715177204517,0.9463322168868392,False,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
ABCAPITAL,20260911,404.0,404.75,391.0,395.0,4423663683.7,ADITYA BIRLA CAPITAL LTD.,Financial Services,F&O + Cash,20260911,396.9166666666667,397.875,395.95833333333337,397.875,395.95833333333337,1.9166666666666288,0.48523206751053893,Moderate,Bearish,Below CPR,False,False,0.2641509433962264,53,7076370948.200001,True,True,Overlapping,True,Risk Off,False,None,20.842857142857127,354.34,,0.09195796207447848,0.6251316834690861,True,False,No setup,0.0,None,Week 14 Sep – 18 Sep 2026,Weekly,0,0,0,0
