TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,NEXT_Pivot,NEXT_BC,NEXT_TC,NEXT_CPR_Top,NEXT_CPR_Bottom,NEXT_CPR_Width,NEXT_CPR_Width_Pct,NEXT_CPR_Class,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-21,2026-09-21,CM,NSE,STK,14942,INE245I01016,NAGREEKCAP,EQ,,,,,NAGREEKA CAP & INFR.LTD,28.19,29.78,27.21,29.06,28.75,28.19,,29.05,,,62641,1820184.16,432,F1,1,,,,,,Cash Only,Diversified,False,29.0,27.3,28.19,28.16333333333333,28.15,28.176666666666662,28.176666666666662,28.15,0.02666666666666373,0.09459619250324132,Narrow,Bullish,Above CPR,28.683333333333334,28.495,28.871666666666666,28.871666666666666,28.495,0.37666666666666515,1.2961688460656062,Wide,True,False,0.03333333333333333,60,126374.68000000001,True,True,Higher,True,Risk On,True,None,1.7892857142857135,24.8294,25.0488,0.014903526280770156,14.403076312438534,True,True,Long,1.0,None,None,0,No active J-Curve setup.,Long,96,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (14.40x) (20/20); Higher timeframe: aligned (+2) (16/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,2,0,0,2
2026-09-21,2026-09-21,CM,NSE,STK,5204,INE131A01031,GMDCLTD,EQ,,,,,GUJARAT MINERAL DEV CORP,558.45,561.85,553.2,557.9,558.5,556.45,,557.9,,,632829,352765787.45,16487,F1,1,,,,,,Cash Only,Metals & Mining,True,559.8,551.0,556.45,555.75,555.4,556.1,556.1,555.4,0.7000000000000455,0.12579746607962,Narrow,Bullish,Above CPR,557.6500000000001,557.5250000000001,557.7750000000001,557.7750000000001,557.5250000000001,0.25,0.04481089801039613,Narrow,True,False,0.13333333333333333,60,488056684.55,True,True,Higher,True,Risk On,True,None,14.903571428571436,572.085,607.5095,0.0469686077162743,0.7227967541828846,False,False,Long,1.0,None,None,0,No active J-Curve setup.,Long,60,Mixed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: opposes SMA direction (0/20); Participation: light (0.72x) (4/20); Higher timeframe: aligned (+2) (16/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,2,0,0,2
2026-09-21,2026-09-21,CM,NSE,STK,2306,INE052T01021,BESTAGRO,EQ,,,,,BEST AGROLIFE LIMITED,18.5,19.71,18.41,18.54,18.7,18.51,,18.54,,,985182,18711489.64,2483,F1,1,,,,,,Cash Only,Chemicals & Fertilizers,False,18.7,18.25,18.51,18.486666666666668,18.475,18.498333333333335,18.498333333333335,18.475,0.023333333333333428,0.1260579866738705,Narrow,Bullish,Above CPR,18.886666666666667,19.060000000000002,18.71333333333333,19.060000000000002,18.71333333333333,0.3466666666666711,1.8698309960446124,Wide,True,False,0.08333333333333333,60,9900361.59,True,True,Higher,True,Risk On,True,None,1.0857142857142856,17.924,17.3064,0.021491228070175526,1.8899804284825117,True,True,Long,1.0,None,Ready,69,"🪝 J-Curve Ready (The Hook): Support defense at Monthly/Weekly CPR level with institutional absorption (1.9x volume). Coiling inside band (₹18.48 - ₹18.50), closed above Central Pivot (₹18.49). Probe long setup ahead of crowd with invalidation below CPR Bottom (₹18.48).",Long,96,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (1.89x) (20/20); Higher timeframe: aligned (+2) (16/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,2,0,0,2
2026-09-21,2026-09-21,CM,NSE,STK,4487,INE150B01039,ALKYLAMINE,EQ,,,,,ALKYL AMINES CHEM. LTD,1851.4,1916.2,1851.4,1867.9,1879.0,1863.0,,1868.38,,,38425,72362801.4,7844,F1,1,,,,,,Cash Only,Specialty Chemicals,False,1878.0,1838.9,1863.0,1859.9666666666665,1858.45,1861.483333333333,1861.483333333333,1858.45,3.0333333333328483,0.16281982465554742,Narrow,Bullish,Above CPR,1878.5,1883.8000000000002,1873.1999999999998,1883.8000000000002,1873.1999999999998,10.600000000000364,0.5674821992612219,Moderate,True,False,0.06666666666666667,60,127832720.2,True,True,Higher,True,Risk On,True,None,71.7,1912.7820000000002,1827.907,0.042305904230583655,0.5660741732381598,False,True,Long,1.0,None,None,0,No active J-Curve setup.,Long,72,Confirmed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: partially aligned (1/2) (12/20); Participation: light (0.57x) (4/20); Higher timeframe: aligned (+2) (16/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,2,0,0,2
2026-09-21,2026-09-21,CM,NSE,STK,433,INE834I01025,KHADIM,BE,,,,,KHADIM INDIA LIMITED,128.35,128.35,128.0,128.0,128.0,125.84,,128.0,,,16792,2153320.0,74,F1,1,,,,,,Cash Only,Diversified,False,125.84,125.2,125.84,125.62666666666667,125.52000000000001,125.73333333333332,125.73333333333332,125.52000000000001,0.21333333333330984,0.1695274422546963,Narrow,Bullish,Above CPR,128.11666666666667,128.175,128.05833333333334,128.175,128.05833333333334,0.11666666666667425,0.09114583333333925,Narrow,True,False,0.016666666666666666,60,7504371.699999999,True,True,Higher,True,Risk On,True,Bullish Virgin,3.47857142857143,108.3874,110.7634,0.06132785763175229,0.2869420767097664,True,True,Long,1.0,None,None,0,No active J-Curve setup.,Long,80,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.29x) (4/20); Higher timeframe: aligned (+2) (16/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,2,0,0,2
2026-09-21,2026-09-21,CM,NSE,STK,19941,INE729D01010,KILITCH,BE,,,,,KILITCH DRUGS INDIA LTD,194.0,201.02,191.8,201.02,201.02,191.45,,202.1,,,46481,9200608.36,422,F1,1,,,,,,Cash Only,Diversified,False,192.0,189.9,191.45,191.11666666666665,190.95,191.2833333333333,191.2833333333333,190.95,0.3333333333333144,0.17410986332374742,Narrow,Bullish,Above CPR,197.9466666666667,196.41000000000003,199.48333333333335,199.48333333333335,196.41000000000003,3.0733333333333235,1.5288694325606025,Wide,True,False,0.1,60,12622248.395,False,False,Higher,True,Risk On,True,Bullish Virgin,9.287142857142857,180.74439999999998,198.795,0.03589191406450085,0.728919925521716,True,True,Long,1.0,None,None,0,No active J-Curve setup.,Long,80,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.73x) (4/20); Higher timeframe: aligned (+2) (16/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,2,0,0,2
2026-09-21,2026-09-21,CM,NSE,STK,18921,INE200M01039,VBL,EQ,,,,,VARUN BEVERAGES LIMITED,422.0,431.15,422.0,425.0,425.0,421.95,,425.01,,,4940296,2115476269.85,48143,F1,1,,,,,,F&O + Cash,Fast Moving Consumer Goods,True,425.4,416.25,421.95,421.2,420.825,421.575,421.575,420.825,0.75,0.17774617845716317,Narrow,Bullish,Above CPR,426.05,426.575,425.52500000000003,426.575,425.52500000000003,1.0499999999999545,0.24705882352940106,Narrow,True,False,0.06666666666666667,60,2146394381.8,True,False,Higher,True,Risk On,True,Bullish Virgin,9.724999999999998,435.81700000000006,475.8035,0.07712082262210798,0.9855953257182533,False,False,Long,1.0,None,None,0,No active J-Curve setup.,Long,68,Confirmed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: opposes SMA direction (0/20); Participation: moderate (0.99x) (12/20); Higher timeframe: aligned (+2) (16/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,2,0,0,2
2026-09-21,2026-09-21,CM,NSE,STK,4481,INE767A01016,AARTIDRUGS,EQ,,,,,AARTI DRUGS LTD.,427.7,440.85,427.7,435.5,436.0,431.8,,435.5,,,114136,49815404.3,5665,F1,1,,,,,,Cash Only,Healthcare & Pharma,False,435.2,426.0,431.8,431.0,430.6,431.4,431.4,430.6,0.7999999999999545,0.18527095877720112,Narrow,Bullish,Above CPR,434.68333333333334,434.275,435.0916666666667,435.0916666666667,434.275,0.8166666666667197,0.18752391886721465,Narrow,True,False,0.03333333333333333,60,60094355.625,True,True,Higher,True,Risk On,True,None,15.742857142857133,418.35699999999997,398.7845,0.05081669691469769,0.8289531318191915,True,True,Long,1.0,None,None,0,No active J-Curve setup.,Long,88,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: moderate (0.83x) (12/20); Higher timeframe: aligned (+2) (16/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,2,0,0,2
2026-09-21,2026-09-21,CM,NSE,STK,1628,INE495P01020,BECTORFOOD,EQ,,,,,MRS BECTORS FOOD SPE LTD,221.55,229.02,219.1,225.68,226.15,221.55,,225.68,,,1086317,243853789.83,20222,F1,1,,,,,,Cash Only,FMCG & Food Products,False,224.5,217.34,221.55,221.13000000000002,220.92000000000002,221.34000000000003,221.34000000000003,220.92000000000002,0.4200000000000159,0.18957345971564699,Narrow,Bullish,Above CPR,224.6,224.06,225.14,225.14,224.06,1.079999999999984,0.4785537043601489,Moderate,True,False,0.08333333333333333,60,370116179.72,False,False,Higher,True,Risk On,True,None,10.026428571428568,222.91459999999998,202.871,0.04188929258388705,0.6588574161077748,True,True,Long,1.0,None,None,0,No active J-Curve setup.,Long,80,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.66x) (4/20); Higher timeframe: aligned (+2) (16/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,2,0,0,2
2026-09-21,2026-09-21,CM,NSE,STK,20560,INE325C01035,DOLLAR,EQ,,,,,DOLLAR INDUSTRIES LIMITED,272.25,279.0,271.0,275.25,276.75,273.25,,275.25,,,81750,22545253.45,3458,F1,1,,,,,,Cash Only,Diversified,False,278.0,266.85,273.25,272.7,272.425,272.97499999999997,272.97499999999997,272.425,0.5499999999999545,0.20128087831654326,Narrow,Bullish,Above CPR,275.0833333333333,275.0,275.16666666666663,275.16666666666663,275.0,0.16666666666662877,0.06055101422947457,Narrow,True,False,0.06666666666666667,60,27059551.4,True,True,Higher,True,Risk On,True,None,8.635714285714275,267.75,268.9305,0.06368899917286495,0.8331717372816462,True,True,Long,1.0,None,None,0,No active J-Curve setup.,Long,88,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: moderate (0.83x) (12/20); Higher timeframe: aligned (+2) (16/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,2,0,0,2
