TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,NEXT_Pivot,NEXT_BC,NEXT_TC,NEXT_CPR_Top,NEXT_CPR_Bottom,NEXT_CPR_Width,NEXT_CPR_Width_Pct,NEXT_CPR_Class,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-21,2026-09-21,CM,NSE,STK,12384,INE518E01015,ZIMLAB,EQ,,,,,ZIM LABORATORIES LIMITED,134.0,136.52,130.55,133.65,136.0,135.51,,133.67,,,101668,13510916.44,1655,F1,1,,,,,,Cash Only,Healthcare & Pharma,False,139.79,130.2,135.51,135.16666666666666,134.995,135.3383333333333,135.3383333333333,134.995,0.3433333333333053,0.2533638353872816,Moderate,Bullish,Below CPR,133.57333333333335,133.53500000000003,133.61166666666668,133.61166666666668,133.53500000000003,0.07666666666665378,0.05736376106745513,Narrow,False,False,0.2,60,8257098.62,False,False,Inside,True,Risk On,True,None,9.279285714285717,105.5678,87.59899999999999,0.03699997434120755,1.6362789233586748,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,0,0,0,0
2026-09-21,2026-09-21,CM,NSE,STK,19531,INE933K01021,BAJAJCON,EQ,,,,,BAJAJ CONSUMER CARE LTD,511.3,524.4,508.9,515.3,515.6,512.15,,515.3,,,602599,311287588.5,29220,F1,1,,,,,,Cash Only,Diversified,False,524.95,495.45,512.15,510.8500000000001,510.20000000000005,511.5000000000001,511.5000000000001,510.20000000000005,1.3000000000000682,0.2538318851898991,Moderate,Bullish,Above CPR,516.1999999999999,516.65,515.7499999999999,516.65,515.7499999999999,0.900000000000091,0.17465554046188456,Narrow,False,False,0.13333333333333333,60,387478050.6,True,False,Higher,True,Risk On,True,None,20.553571428571423,521.664,542.0705,0.06324934839270534,0.8033683147160955,False,False,Long,1.0,None,None,0,No active J-Curve setup.,Long,60,Mixed,CPR width: 0.2538% (12/20); Price location: Above CPR (20/20); Trend: opposes SMA direction (0/20); Participation: moderate (0.80x) (12/20); Higher timeframe: aligned (+2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,2,0,0,2
2026-09-21,2026-09-21,CM,NSE,STK,4747,INE092B01025,INDNIPPON,EQ,,,,,INDIA NIPPON ELECT  LTD,1248.0,1276.5,1227.2,1238.6,1237.0,1260.0,,1238.6,,,45736,56675304.5,5009,F1,1,,,,,,Cash Only,Diversified,False,1279.6,1250.0,1260.0,1263.2,1264.8,1261.6000000000001,1264.8,1261.6000000000001,3.199999999999818,0.2539682539682395,Moderate,Bearish,Below CPR,1247.4333333333332,1251.85,1243.0166666666664,1251.85,1243.0166666666664,8.833333333333485,0.7131707842187539,Moderate,False,False,0.4666666666666667,60,40568245.05,False,False,Higher,True,Risk On,False,None,88.30000000000004,1166.25,1021.926,0.03624009060022442,1.3970361407092715,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,0,0,0,0
2026-09-21,2026-09-21,CM,NSE,STK,25672,INE184O01015,DIFFNKG,EQ,,,,,DIFFUSION ENGINEERS LTD,448.8,455.0,441.1,444.05,442.05,445.8,,444.06,,,107625,48255007.55,4966,F1,1,,,,,,Cash Only,Diversified,False,452.0,436.2,445.8,444.6666666666667,444.1,445.23333333333335,445.23333333333335,444.1,1.1333333333333258,0.2542246149244786,Moderate,Bullish,Below CPR,446.7166666666667,448.05,445.3833333333334,448.05,445.3833333333334,2.6666666666666288,0.600532973013541,Moderate,False,False,0.25,60,45832162.875,False,False,Higher,True,Risk On,True,None,28.71785714285713,413.856,380.61400000000003,0.03946441155743457,1.0528634156238257,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,0,0,0,0
2026-09-21,2026-09-21,CM,NSE,STK,760740,INE121R01077,AMAGI,EQ,,,,,AMAGI MEDIA LABS LIMITED,569.5,574.2,554.5,564.5,563.8,569.5,,564.47,,,461059,259137301.3,26398,F1,1,,,,,,Cash Only,Diversified,False,575.45,559.2,569.5,568.0500000000001,567.325,568.7750000000001,568.7750000000001,567.325,1.4500000000000455,0.2546093064091388,Moderate,Bullish,Below CPR,564.4,564.35,564.4499999999999,564.4499999999999,564.35,0.09999999999990905,0.017714791851179634,Narrow,False,False,0.11666666666666667,60,221848195.89999998,False,False,Lower,True,Risk On,True,None,20.135714285714293,601.16,526.783,0.07201135154310262,1.1680838793785298,False,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,0,0,0,0
2026-09-21,2026-09-21,CM,NSE,STK,1338,INE480C01038,SDBL,EQ,,,,,SOM DIST & BREW LTD,68.1,68.69,67.15,68.11,68.2,68.06,,68.11,,,202446,13738162.7,2927,F1,1,,,,,,Cash Only,Diversified,False,69.14,67.5,68.06,68.23333333333333,68.32,68.14666666666668,68.32,68.14666666666668,0.1733333333333178,0.25467724556761356,Moderate,Bearish,Below CPR,67.98333333333333,67.92,68.04666666666667,68.04666666666667,67.92,0.12666666666666515,0.18597367004355478,Narrow,False,False,0.15,60,32997352.67,True,True,Higher,True,Risk On,True,None,2.363571428571429,71.63940000000001,75.5073,0.0733353480406905,0.4163413603931396,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,0,0,0,0
2026-09-21,2026-09-21,CM,NSE,STK,5516,INE696V01013,JAIPURKURT,EQ,,,,,NANDANI CREATION LIMITED,24.85,25.0,24.21,24.9,24.9,24.85,,24.9,,,2845,69536.66,34,F1,1,,,,,,Cash Only,Diversified,False,25.3,24.21,24.85,24.786666666666672,24.755000000000003,24.818333333333342,24.818333333333342,24.755000000000003,0.06333333333333968,0.25486250838366065,Moderate,Bullish,Above CPR,24.703333333333333,24.605,24.801666666666666,24.801666666666666,24.605,0.19666666666666544,0.7898259705488572,Wide,False,False,0.3333333333333333,60,173331.765,True,False,Overlapping,True,Risk On,False,None,1.2007142857142854,26.7456,28.406200000000002,0.05274638112235311,0.4011766683388933,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,0,0,0,0
2026-09-21,2026-09-21,CM,NSE,STK,31181,INE745G01043,MCX,EQ,,,,,MULTI COMMODITY EXCHANGE,3250.0,3268.0,3155.5,3209.0,3209.0,3260.0,,3208.9,,,1267161,4068810628.6,61554,F1,1,,,,,,F&O + Cash,Financial Services,True,3314.9,3230.1,3260.0,3268.3333333333335,3272.5,3264.166666666667,3272.5,3264.166666666667,8.33333333333303,0.25562372188138127,Moderate,Bearish,Below CPR,3210.8333333333335,3211.75,3209.916666666667,3211.75,3209.916666666667,1.8333333333330302,0.057130985769181374,Narrow,False,False,0.45,60,6751106232.65,True,False,Higher,True,Risk On,False,None,111.95714285714293,2995.36,2986.387,0.07443324401343776,0.6026879874771096,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,0,0,0,0
2026-09-21,2026-09-21,CM,NSE,STK,2783,INE0BY001018,JUBLINGREA,EQ,,,,,JUBILANT INGREVIA LIMITED,624.9,631.75,614.05,627.25,630.0,624.9,,627.25,,,278328,173979603.1,16300,F1,1,,,,,,Cash Only,Chemicals,True,642.6,612.0,624.9,626.5,627.3,625.7,627.3,625.7,1.599999999999909,0.2560409665546342,Moderate,Bearish,Inside CPR,624.35,622.9,625.8000000000001,625.8000000000001,622.9,2.900000000000091,0.4623355918692851,Moderate,False,False,0.18333333333333332,60,213623653.475,False,False,Lower,True,Risk On,True,None,19.575000000000014,712.28,694.8255,0.08173690932311152,0.8144210637253263,False,False,Watch Short,0.0,None,None,0,No active J-Curve setup.,Short,66,Confirmed,CPR width: 0.2560% (12/20); Price location: Inside CPR; watch state (10/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: moderate (0.81x) (12/20); Higher timeframe: slightly aligned (-1) (12/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,-1,0,0,-1
2026-09-21,2026-09-21,CM,NSE,STK,11723,INE019A01038,JSWSTEEL,EQ,,,,,JSW STEEL LIMITED,1281.3,1287.0,1268.6,1268.6,1268.6,1275.6,,1268.62,,,942361,1200087213.7,26304,F1,1,,,,,,F&O + Cash,Metals & Mining,True,1278.7,1262.7,1275.6,1272.3333333333333,1270.7,1273.9666666666665,1273.9666666666665,1270.7,3.266666666666424,0.2560886380265306,Moderate,Bullish,Below CPR,1274.7333333333333,1277.8,1271.6666666666667,1277.8,1271.6666666666667,6.133333333333212,0.48347259446107615,Moderate,False,False,0.23333333333333334,60,1872805481.35,True,False,Higher,True,Risk On,True,None,26.20714285714288,1281.272,1275.773,0.12464795130370646,0.6407965085807656,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,0,0,0,0
