TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-02,2026-09-02,CM,NSE,STK,11763,INE351F01018,JPPOWER,EQ,,,,,JAIPRAKASH POWER VEN. LTD,16.55,16.55,16.28,16.37,16.39,16.56,,16.37,,,21807243,357279808.22,21165,F1,1,,,,,,Cash Only,Power,True,16.400000000000002,16.415,16.385000000000005,16.415,16.385000000000005,0.02999999999999403,0.18326206475255974,Narrow,Bearish,Below CPR,False,True,0.8,60,754870324.26,False,False,Lower,True,Risk Off,False,None,0.3614285714285711,17.3954,18.141499999999997,0.08300395256915352,0.4732995810508801,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-02,2026-09-02,CM,NSE,STK,11065,INE448G01010,NATHBIOGEN,EQ,,,,,NATH BIO-GENES (I) LTD,153.27,153.94,152.0,152.55,152.3,152.3,,152.55,,,4814,734889.54,257,F1,1,,,,,,Cash Only,Healthcare & Pharma,False,152.83,152.97,152.69000000000003,152.97,152.69000000000003,0.2799999999999727,0.1835463782366258,Narrow,Bearish,Below CPR,False,True,0.9333333333333333,60,1934039.24,False,False,Lower,True,Risk Off,False,Bearish Virgin,3.8135714285714295,160.3894,165.1691,0.07342198913653525,0.37997654070348647,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-02,2026-09-02,CM,NSE,STK,4394,INE771A01026,MIRZAINT,EQ,,,,,MIRZA INTERNATIONAL LIMIT,31.85,31.85,30.0,30.84,30.71,31.29,,30.84,,,107709,3316161.87,1300,F1,1,,,,,,Cash Only,Diversified,False,30.896666666666665,30.925,30.86833333333333,30.925,30.86833333333333,0.05666666666667197,0.18374405533940327,Narrow,Bearish,Below CPR,False,True,0.8833333333333333,60,5148408.645,False,False,Lower,True,Risk Off,False,None,0.9607142857142854,34.2998,32.9744,0.058983890954156716,0.6441139580519837,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-02,2026-09-02,CM,NSE,STK,422,INE465A01025,BHARATFORG,EQ,,,,,BHARAT FORGE LTD,2046.1,2046.1,2006.3,2031.8,2031.8,2052.2,,2031.71,,,1341071,2705460559.5,32598,F1,1,,,,,,F&O + Cash,Automobile and Auto Components,True,2028.0666666666666,2026.1999999999998,2029.9333333333334,2029.9333333333334,2026.1999999999998,3.733333333333576,0.18374511927028134,Narrow,Bullish,Above CPR,True,False,0.3,60,1740096396.9,True,True,Lower,True,Risk Off,False,Bearish Virgin,45.464285714285715,2127.568,2022.181,0.08211573710395925,1.5547762551085136,False,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-02,2026-09-02,CM,NSE,STK,3880,INE355A01028,SOMANYCERA,EQ,,,,,SOMANY CERAMICS LIMITED,565.0,576.8,560.25,570.1,567.05,563.15,,570.09,,,180890,102951974.25,9068,F1,1,,,,,,Cash Only,Diversified,False,569.0500000000001,568.525,569.5750000000002,569.5750000000002,568.525,1.050000000000182,0.18417821434839185,Narrow,Bullish,Above CPR,True,False,0.6666666666666666,60,50249027.95,False,False,Higher,True,Risk Off,False,None,20.275000000000006,518.768,500.4235,0.051787916152906614,2.0488351407004677,True,True,No setup,0.0,None,Ready,68,"🪝 J-Curve Ready (The Hook): Support defense at Monthly/Weekly CPR level with institutional absorption (2.0x volume). Coiling inside band (₹568.52 - ₹569.58), closed above Central Pivot (₹569.05). Probe long setup ahead of crowd with invalidation below CPR Bottom (₹568.52).",Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-02,2026-09-02,CM,NSE,STK,480,INE340A01012,BIRLACORPN,EQ,,,,,BIRLA CORPORATION LTD,870.0,877.6,862.0,867.4,869.0,879.55,,867.37,,,43993,38198471.5,7688,F1,1,,,,,,Cash Only,Diversified,False,869.0,869.8,868.2,869.8,868.2,1.599999999999909,0.18445930366611818,Narrow,Bearish,Below CPR,False,True,0.08333333333333333,60,56199927.025000006,True,True,Lower,True,Risk Off,True,None,15.210714285714298,936.34,956.4325,0.10518901150504208,0.6796889875498908,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-02,2026-09-02,CM,NSE,STK,4229,INE116C01012,ZFSTEERING,EQ,,,,,Z F STEERING GEAR (I) LTD,668.0,671.9,666.0,667.1,669.75,665.9,,667.1,,,1632,1090268.45,118,F1,1,,,,,,Cash Only,Diversified,False,668.3333333333334,668.95,667.7166666666667,668.95,667.7166666666667,1.2333333333333485,0.18487982811172962,Narrow,Bearish,Below CPR,False,True,0.55,60,2051086.625,False,False,Overlapping,True,Risk Off,False,None,18.40714285714285,675.9229999999999,,0.06700297503557193,0.5315565109299076,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-02,2026-09-02,CM,NSE,STK,13001,INE00OQ01016,DHARMAJ,EQ,,,,,DHARMAJ CROP GUARD LTD,267.5,271.0,267.5,270.0,268.2,269.75,,270.0,,,105881,28584982.4,1197,F1,1,,,,,,Cash Only,Diversified,False,269.5,269.25,269.75,269.75,269.25,0.5,0.1851851851851852,Narrow,Bullish,Above CPR,True,False,0.6333333333333333,60,7686487.775,False,False,Lower,True,Risk Off,False,None,6.960714285714293,265.469,268.18309999999997,0.07183170856849659,3.7188613625291294,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-02,2026-09-02,CM,NSE,STK,5204,INE131A01031,GMDCLTD,EQ,,,,,GUJARAT MINERAL DEV CORP,558.0,562.85,555.55,557.65,558.9,562.25,,557.57,,,395940,221030619.8,13243,F1,1,,,,,,Cash Only,Metals & Mining,True,558.6833333333334,559.2,558.1666666666667,559.2,558.1666666666667,1.033333333333303,0.18530141367045694,Narrow,Bearish,Below CPR,False,True,0.45,60,543463632.5,False,False,Lower,True,Risk Off,False,None,15.203571428571422,579.646,620.567,0.06796648657113577,0.4067072874466904,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-02,2026-09-02,CM,NSE,STK,9288,INE00Z501029,KRITIKA,EQ,,,,,KRITIKA WIRES LIMITED,5.35,5.44,5.31,5.39,5.4,5.35,,5.39,,,81083,436022.83,281,F1,1,,,,,,Cash Only,Diversified,False,5.38,5.375,5.385,5.385,5.375,0.009999999999999787,0.18552875695732443,Narrow,Bullish,Above CPR,True,False,0.35,60,631372.3200000001,False,False,Lower,True,Risk Off,False,None,0.20071428571428548,5.649400000000001,5.9075,0.049822064056938495,0.6905954160296416,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,-2,0,-2
