TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,NEXT_Pivot,NEXT_BC,NEXT_TC,NEXT_CPR_Top,NEXT_CPR_Bottom,NEXT_CPR_Width,NEXT_CPR_Width_Pct,NEXT_CPR_Class,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-23,2026-09-23,CM,NSE,STK,2107,INE00IN01015,STOVEKRAFT,EQ,,,,,STOVE KRAFT LIMITED,834.85,842.9,818.4,829.1,832.0,827.8,,829.1,,,130160,108064721.0,10773,F1,1,,,,,,Cash Only,Diversified,False,835.95,816.05,827.8,826.6,826.0,827.2,827.2,826.0,1.2000000000000455,0.1449625513409091,Narrow,Bullish,Above CPR,830.1333333333333,830.65,829.6166666666667,830.65,829.6166666666667,1.033333333333303,0.1246331363325658,Narrow,True,False,0.7833333333333333,60,86591769.475,False,False,Lower,True,Neutral,False,None,27.399999999999995,798.096,724.342,0.04379562043795787,1.247979128445914,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-23,2026-09-23,CM,NSE,STK,764960,INE440G01017,TRITONV,EQ,,,,,TRITON VALVES LTD.,1062.1,1160.0,1062.1,1133.8,1133.1,1080.1,,1132.86,,,4857,5485357.1,667,F1,1,,,,,,Cash Only,Diversified,False,1091.6,1063.9,1080.1,1078.5333333333333,1077.75,1079.3166666666666,1079.3166666666666,1077.75,1.566666666666606,0.14504829799709343,Narrow,Bullish,Above CPR,1118.6333333333332,1111.05,1126.2166666666665,1126.2166666666665,1111.05,15.166666666666515,1.3376844828599854,Wide,True,False,0.9230769230769231,26,2443271.55,False,False,Lower,True,Neutral,False,None,43.87142857142856,,,0.03571040920438374,2.245086961373573,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-23,2026-09-23,CM,NSE,STK,1576,INE322A01010,GILLETTE,EQ,,,,,GILLETTE INDIA LTD,7009.0,7113.0,6970.0,7094.0,7100.0,7009.0,,7093.67,,,29337,207192831.5,8492,F1,1,,,,,,Cash Only,Fast Moving Consumer Goods,True,7060.5,6988.0,7009.0,7019.166666666667,7024.25,7014.083333333334,7024.25,7014.083333333334,10.16666666666606,0.1450516003233851,Narrow,Bearish,Above CPR,7059.0,7041.5,7076.5,7076.5,7041.5,35.0,0.493374682830561,Moderate,False,False,0.55,60,108740837.75,False,False,Lower,True,Neutral,False,None,133.32142857142858,7547.07,7674.1,0.07625680864362434,1.905381968606362,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-23,2026-09-23,CM,NSE,STK,765085,INE227B01019,HINDALUMI,EQ,,,,,HIND ALUMINIUM INDS. LTD.,94.5,95.0,92.0,93.78,94.5,94.08,,93.89,,,3123,292156.7,101,F1,1,,,,,,Cash Only,Metals & Mining,False,96.5,91.25,94.08,93.94333333333333,93.875,94.01166666666666,94.01166666666666,93.875,0.13666666666665606,0.14526643990928578,Narrow,Bullish,Below CPR,93.59333333333332,93.5,93.68666666666664,93.68666666666664,93.5,0.186666666666639,0.19904741593798145,Narrow,False,False,0.8461538461538461,26,229178.035,False,False,Lower,True,Neutral,False,None,4.338571428571432,,,0.03150038415102376,1.2748023605316279,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-23,2026-09-23,CM,NSE,STK,10577,INE001B01026,KRBL,EQ,,,,,KRBL LIMITED,388.0,409.6,387.85,404.85,404.75,389.9,,404.85,,,597218,241304152.85,17920,F1,1,,,,,,Cash Only,Diversified,False,394.95,386.55,389.9,390.4666666666667,390.75,390.1833333333334,390.75,390.1833333333334,0.566666666666606,0.1453364110455517,Narrow,Bearish,Above CPR,400.7666666666667,398.725,402.8083333333334,402.8083333333334,398.725,4.083333333333371,1.0086040097155418,Wide,False,False,0.31666666666666665,60,126820532.225,False,False,Lower,True,Neutral,False,None,13.299999999999995,389.358,376.2115,0.04260651629072227,1.9027214964047594,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-23,2026-09-23,CM,NSE,STK,13091,INE184H01027,EKC,EQ,,,,,EVEREST KANTO CYLINDERLTD,100.9,119.33,100.9,113.66,114.05,100.81,,113.65,,,23855254,2723001037.03,148749,F1,1,,,,,,Cash Only,Diversified,False,102.0,100.06,100.81,100.95666666666666,101.03,100.88333333333333,101.03,100.88333333333333,0.14666666666667538,0.14548821214827437,Narrow,Bearish,Above CPR,111.29666666666667,110.11500000000001,112.47833333333332,112.47833333333332,110.11500000000001,2.3633333333333155,2.079300838758856,Wide,False,False,0.6,60,15806916.795,False,False,Overlapping,True,Neutral,False,None,2.665714285714288,108.47800000000001,112.41529999999999,0.05501964987495856,172.266424397915,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-23,2026-09-23,CM,NSE,STK,764880,INE068B01017,SEKURITIND,EQ,,,,,SAINT GOBAIN SEKUR IND L,114.2,117.35,113.65,113.82,113.85,114.35,,113.83,,,21432,2457214.68,425,F1,1,,,,,,Cash Only,Diversified,False,115.79,112.41,114.35,114.18333333333332,114.1,114.26666666666665,114.26666666666665,114.1,0.1666666666666572,0.14575134819996258,Narrow,Bullish,Below CPR,114.94,115.5,114.38,115.5,114.38,1.1200000000000045,0.984009840098405,Wide,False,False,0.5,26,2485722.69,False,False,Higher,True,Neutral,False,None,3.5821428571428577,,,0.04652708541043271,0.9885312991209009,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-23,2026-09-23,CM,NSE,STK,13880,INE213C01025,BANCOINDIA,EQ,,,,,BANCO PRODUCTS (I) LTD,612.0,618.2,607.3,611.75,613.0,605.65,,611.75,,,59280,36352387.2,5700,F1,1,,,,,,Cash Only,Diversified,False,608.7,599.95,605.65,604.7666666666668,604.325,605.2083333333335,605.2083333333335,604.325,0.8833333333334394,0.14584881257053403,Narrow,Bullish,Above CPR,612.4166666666666,612.75,612.0833333333333,612.75,612.0833333333333,0.6666666666667425,0.10897697861328033,Narrow,True,False,0.23333333333333334,60,69253633.85,False,False,Higher,True,Neutral,True,Bullish Virgin,15.457142857142887,630.177,638.645,0.057147258163900774,0.5249166748236996,False,False,Long,0.5,None,None,0,No active J-Curve setup.,Long,60,Mixed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: opposes SMA direction (0/20); Participation: light (0.52x) (4/20); Higher timeframe: aligned (+2) (16/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,2,0,0,2
2026-09-23,2026-09-23,CM,NSE,STK,10299,INE050001010,PPL,BE,,,,,PRAKASH PIPES LIMITED,269.05,278.5,269.05,272.25,273.0,273.4,,272.27,,,13404,3668603.45,176,F1,1,,,,,,Cash Only,Diversified,False,281.0,267.0,273.4,273.8,274.0,273.6,274.0,273.6,0.39999999999997726,0.14630577907826528,Narrow,Bearish,Below CPR,273.26666666666665,273.775,272.7583333333333,273.775,272.7583333333333,1.0166666666666515,0.37343128252218605,Moderate,False,True,0.4666666666666667,60,20351883.48,False,False,Higher,True,Neutral,False,None,11.903571428571425,241.91260000000003,221.5758,0.0336033603360317,0.18025867009336868,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-23,2026-09-23,CM,NSE,STK,762623,INE515A01019,COCKERILL,EQ,,,,,JOHN COCKERILL INDIA LTD.,8125.0,8201.0,8068.0,8144.0,8176.0,8178.0,,8144.18,,,3308,26895789.0,986,F1,1,,,,,,Cash Only,Diversified,False,8289.5,8030.5,8178.0,8166.0,8160.0,8172.0,8172.0,8160.0,12.0,0.1467351430667645,Narrow,Bullish,Below CPR,8137.666666666667,8134.5,8140.833333333334,8140.833333333334,8134.5,6.33333333333394,0.07776686313032834,Narrow,False,False,0.23333333333333334,60,46889685.0,True,True,Higher,True,Neutral,True,None,317.25,8604.27,8161.615,0.037825059101654845,0.5735971354893938,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
