SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Applies,Timeframe,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
ACSTECH,20260831,39.8,54.77,39.8,50.96,355539217.65,A C S TECHNOLOGIES LTD.,20260831,48.51,47.285,49.735,49.735,47.285,2.450000000000003,4.807692307692314,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.8,5,220402213.84,Higher,False,Risk Off,False,,,,,1.6131381416527062,False,False,No setup,Sep 2026,Monthly,0,0,0,0
ACUTAAS,20260831,3100.0,3399.8,3025.0,3160.6,18201130141.1,ACUTAAS CHEMICALS LIMITED,20260831,3195.133333333333,3212.4,3177.8666666666663,3212.4,3177.8666666666663,34.53333333333376,1.09261954481218,Wide,Bearish,Below CPR,Healthcare,True,False,False,0.23076923076923078,13,15604985027.8,Overlapping,True,Risk Off,True,,,,,1.166366395653377,False,False,No setup,Sep 2026,Monthly,0,0,0,0
ADANIENSOL,20260831,1654.3,1676.0,1417.4,1417.4,125246658416.20001,ADANI ENERGY SOLUTION LTD,20260831,1503.6000000000001,1546.7,1460.5000000000002,1546.7,1460.5000000000002,86.19999999999982,6.081557781854086,Wide,Bearish,Below CPR,Power,True,False,False,0.9230769230769231,13,35454877968.2,Lower,True,Risk Off,False,,,,,3.5325649274138127,False,False,No setup,Sep 2026,Monthly,0,0,0,0
ADANIENT,20260831,3025.0,3173.7,2859.1,2859.1,104321237226.70001,ADANI ENTERPRISES LIMITED,20260831,2963.9666666666667,3016.3999999999996,2911.5333333333338,3016.3999999999996,2911.5333333333338,104.86666666666588,3.667820876033223,Wide,Bearish,Below CPR,Metals & Mining,True,False,False,0.7692307692307693,13,88657525774.6,Lower,True,Risk Off,False,,,,,1.1766766139168254,False,False,No setup,Sep 2026,Monthly,0,0,0,0
ADANIGREEN,20260831,1390.0,1427.0,1214.9,1214.9,42695661224.4,ADANI GREEN ENERGY LTD,20260831,1285.6000000000001,1320.95,1250.2500000000002,1320.95,1250.2500000000002,70.69999999999982,5.819409004856351,Wide,Bearish,Below CPR,Power,True,False,False,0.9230769230769231,13,65049162067.7,Lower,True,Risk Off,False,,,,,0.6563598956119441,False,False,No setup,Sep 2026,Monthly,0,0,0,0
ADANIPORTS,20260831,1713.4,1723.9,1593.1,1593.1,74925431614.5,ADANI PORT & SEZ LTD,20260831,1636.7,1658.5,1614.9,1658.5,1614.9,43.59999999999991,2.736802460611381,Wide,Bearish,Below CPR,Services,True,False,False,0.7692307692307693,13,74925431614.5,Lower,True,Risk Off,False,,,,,1.0,False,False,No setup,Sep 2026,Monthly,0,0,0,0
ADANIPOWER,20260831,211.8,217.4,198.0,198.0,82244738329.58,ADANI POWER LTD,20260831,204.46666666666667,207.7,201.23333333333335,207.7,201.23333333333335,6.46666666666664,3.2659932659932527,Wide,Bearish,Below CPR,Power,True,False,False,0.7692307692307693,13,88073043738.37001,Lower,True,Risk Off,False,,,,,0.9338241854556135,False,False,No setup,Sep 2026,Monthly,0,0,0,0
ADDIND,20260831,86.0,94.6,71.05,85.0,964611.3700000001,ADDI INDUSTRIES LTD.,20260831,83.55,82.82499999999999,84.275,84.275,82.82499999999999,1.450000000000017,1.7058823529411966,Wide,Bullish,Above CPR,Unclassified,False,False,False,1.0,1,964611.3700000001,Unknown,False,Risk Off,False,,,,,1.0,False,False,No setup,Sep 2026,Monthly,0,0,0,0
ADFFOODS,20260831,272.95,285.7,255.85,270.2,735485997.7,ADF FOODS LIMITED,20260831,270.5833333333333,270.775,270.39166666666665,270.775,270.39166666666665,0.38333333333332575,0.14187021959042406,Narrow,Bearish,Below CPR,Unclassified,False,False,True,0.07692307692307693,13,735485997.7,Lower,True,Risk Off,True,,,,,1.0,False,False,No setup,Sep 2026,Monthly,0,0,0,0
ADL,20260831,72.0,82.85,68.01,75.75,1710846.41,ARCHIDPLY DECOR LIMITED,20260831,75.53666666666668,75.43,75.64333333333335,75.64333333333335,75.43,0.21333333333333826,0.28162816281628816,Moderate,Bullish,Above CPR,Unclassified,False,False,False,0.15384615384615385,13,1801700.76,Higher,True,Risk Off,True,,,,,0.9495730078950513,False,False,No setup,Sep 2026,Monthly,0,0,0,0
