SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,Industry,Segment,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,Applies,Timeframe,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
20MICRONS,20260828,204.19,233.53,202.86,222.0,503367139.36,20 MICRONS LTD,Diversified,Cash Only,20260828,208.75,189.0,204.19,200.64666666666668,198.875,202.41833333333335,202.41833333333335,198.875,3.5433333333333508,1.7353118827236156,Wide,Bullish,Above CPR,False,False,0.7547169811320755,53,107292376.64,False,False,Higher,True,Risk Off,False,Bullish Virgin,20.38714285714286,189.9848,,0.17380234975358036,4.6915461761925235,True,False,No setup,0.0,None,Week 31 Aug – 04 Sep 2026,Weekly,0,0,0,0
21STCENMGM,20260828,42.45,44.62,41.16,41.16,1579603.92,21ST CENTURY MGMT SERVICE,Diversified,Cash Only,20260828,46.49,43.05,43.31,44.28333333333333,44.769999999999996,43.79666666666667,44.769999999999996,43.79666666666667,0.9733333333333292,2.2473639652120276,Wide,Bearish,Below CPR,False,False,0.6226415094339622,53,953303.77,False,False,Higher,True,Risk Off,False,None,2.970714285714287,39.4514,,0.32764286286767497,1.6569785725278312,True,False,No setup,0.0,None,Week 31 Aug – 04 Sep 2026,Weekly,0,0,0,0
360ONE,20260828,1202.0,1219.8,1186.4,1200.0,2798222500.6,360 ONE WAM LIMITED,Financial Services,F&O + Cash,20260828,1222.9,1150.5,1199.0,1190.8,1186.7,1194.8999999999999,1194.8999999999999,1186.7,8.199999999999818,0.683903252710577,Moderate,Bullish,Above CPR,False,False,0.39622641509433965,53,4225134934.4,False,False,Higher,True,Risk Off,False,Bullish Virgin,63.42142857142859,1107.2169999999999,,0.1292938393963255,0.6622800322464418,True,False,No setup,0.0,None,Week 31 Aug – 04 Sep 2026,Weekly,0,0,0,0
3BBLACKBIO,20260828,1202.0,1463.0,1191.4,1441.2,162537399.0,3B BLACKBIO DX LTD.,Healthcare & Pharma,Cash Only,20260828,1225.0,1099.5,1202.5,1175.6666666666667,1162.25,1189.0833333333335,1189.0833333333335,1162.25,26.833333333333485,2.231462231462244,Wide,Bullish,Above CPR,False,False,0.7368421052631579,19,61472244.800000004,False,False,Overlapping,True,Risk Off,False,None,139.40714285714287,,,0.19248176803129002,2.644077819653659,False,False,No setup,0.0,None,Week 31 Aug – 04 Sep 2026,Weekly,0,0,0,0
3MINDIA,20260828,33640.0,34840.0,33340.0,34415.0,350046390.0,3M INDIA LIMITED,Diversified,Cash Only,20260828,35290.0,33290.0,33640.0,34073.333333333336,34290.0,33856.66666666667,34290.0,33856.66666666667,433.3333333333285,1.2881490289337945,Wide,Bearish,Above CPR,False,False,0.7169811320754716,53,599480060.0,False,False,Lower,True,Risk Off,False,Bearish Virgin,1775.0,33363.4,,0.2441314553990583,0.5839166527073477,True,False,No setup,0.0,None,Week 31 Aug – 04 Sep 2026,Weekly,0,0,0,0
3PLAND,20260828,32.2,32.4,31.52,31.74,515631.61,3P LAND HOLDINGS LIMITED,Diversified,Cash Only,20260828,32.77,31.5,32.11,32.12666666666667,32.135000000000005,32.11833333333334,32.135000000000005,32.11833333333334,0.01666666666666572,0.05190491020450239,Narrow,Bearish,Below CPR,False,True,0.07547169811320754,53,767467.27,False,False,Lower,True,Risk Off,True,None,2.4642857142857153,35.574600000000004,,0.006763285024154202,0.6718613681075937,False,False,Short,0.5,None,Week 31 Aug – 04 Sep 2026,Weekly,0,-2,0,-2
5PAISA,20260828,384.0,385.55,365.0,368.35,53287053.75,5PAISA CAPITAL LIMITED,Stock Broking,Cash Only,20260828,416.95,373.5,384.25,391.56666666666666,395.225,387.9083333333333,395.225,387.9083333333333,7.31666666666672,1.904142268488411,Wide,Bearish,Below CPR,False,False,0.5849056603773585,53,83346314.9,False,False,Higher,True,Risk Off,False,None,32.067857142857136,332.35760000000005,,0.22816200764747543,0.6393450485955438,True,False,No setup,0.0,None,Week 31 Aug – 04 Sep 2026,Weekly,0,0,0,0
63MOONS,20260828,803.85,822.0,739.1,776.4,796435634.4,63 MOONS TECHNOLOGIES LTD,Diversified,Cash Only,20260828,805.0,753.0,795.5,784.5,779.0,790.0,790.0,779.0,11.0,1.3827781269641735,Wide,Bullish,Below CPR,False,False,0.5094339622641509,53,509822214.70000005,True,False,Lower,True,Risk Off,False,None,79.31428571428572,708.3580000000001,,0.13868876080691642,1.5621830736988478,True,False,No setup,0.0,None,Week 31 Aug – 04 Sep 2026,Weekly,0,0,0,0
A2ZINFRA,20260828,16.08,17.12,15.2,16.63,38525322.37,A2Z INFRA ENGINEERING LTD,Real Estate & Infra,Cash Only,20260828,15.94,14.06,15.46,15.153333333333334,15.0,15.306666666666668,15.306666666666668,15.0,0.3066666666666684,1.983613626563185,Wide,Bullish,Above CPR,False,False,0.5882352941176471,34,17537444.785,True,False,Overlapping,True,Risk Off,False,None,1.7850000000000001,,,0.1718020541549963,2.1967466094576786,False,False,No setup,0.0,None,Week 31 Aug – 04 Sep 2026,Weekly,0,0,0,0
AAATECH,20260828,95.03,98.4,91.01,95.03,6172546.640000001,AAA TECHNOLOGIES LIMITED,Information Technology,Cash Only,20260828,96.05,90.05,95.71,93.93666666666667,93.05,94.82333333333334,94.82333333333334,93.05,1.7733333333333405,1.852819280465302,Wide,Bullish,Above CPR,False,False,0.7222222222222222,36,10511711.825,False,False,Overlapping,True,Risk Off,False,None,6.989285714285715,,,0.2537216828478975,0.5872066075213207,False,False,No setup,0.0,None,Week 31 Aug – 04 Sep 2026,Weekly,0,0,0,0
