TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Triple_Confluence,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-01,2026-09-01,CM,NSE,STK,765272,INE00IT01020,MILKYMIST,EQ,,,,,MILKY MIST DAIRY FOOD L,230.79,232.03,221.92,232.03,232.03,210.94,,232.03,,,23925717,5431969136.58,139316,F1,1,,,,,,Cash Only,Diversified,False,228.66,226.975,230.345,230.345,226.975,3.3700000000000045,1.4523983967590417,Wide,Bullish,Above CPR,False,False,0.4,10,5134427756.41,False,False,Higher,False,Risk Off,False,Bullish Virgin,,,,,1.0579502515735155,False,False,No setup,None,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Watch,Wide CPR + close above CPR; trend opposes; participation confirmed,0,0,0,0
2026-09-01,2026-09-01,CM,NSE,STK,15555,INE075I01017,HCG,EQ,,,,,HEALTHCARE GLOB. ENT. LTD,735.0,737.95,701.5,704.4,703.05,733.3,,704.51,,,270089,192036843.9,17043,F1,1,,,,,,Cash Only,Diversified,False,714.6166666666667,719.725,709.5083333333333,719.725,709.5083333333333,10.216666666666697,1.4504069657391678,Wide,Bearish,Below CPR,False,False,0.3,60,85822581.95,True,False,Higher,True,Risk Off,False,Bullish Virgin,25.707142857142873,675.4540000000001,642.6255,0.3974252107066787,2.2376027327152674,True,True,No setup,None,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend opposes; participation confirmed,0,0,0,0
2026-09-01,2026-09-01,CM,NSE,STK,24870,INE878H01024,INVENTURE,EQ,,,,,INVENTURE GRO & SEC LTD,0.96,0.96,0.92,0.92,0.93,0.95,,0.92,,,1199919,1125086.51,463,F1,1,,,,,,Cash Only,Diversified,False,0.9333333333333332,0.94,0.9266666666666665,0.94,0.9266666666666665,0.01333333333333342,1.4492753623188497,Wide,Bearish,Below CPR,False,False,0.45,60,866711.645,False,False,Lower,True,Risk Off,False,None,0.04571428571428574,0.9144,0.9495999999999999,0.29166666666666835,1.2981093729276014,True,False,No setup,None,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend mixed; participation confirmed,0,0,0,0
2026-09-01,2026-09-01,CM,NSE,STK,764823,INE883C01025,PACIFICI,EQ,,,,,PACIFIC INDUSTRIES LTD.,140.5,141.94,136.01,136.02,136.02,141.94,,136.02,,,381,52735.43,15,F1,1,,,,,,Cash Only,Diversified,False,137.99,138.975,137.00500000000002,138.975,137.00500000000002,1.9699999999999704,1.4483164240552642,Wide,Bearish,Below CPR,False,False,0.09090909090909091,11,89707.86,True,True,Inside,False,Risk Off,False,None,,,,,0.587857407366534,False,False,No setup,None,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend aligned; participation light,0,0,0,0
2026-09-01,2026-09-01,CM,NSE,STK,7325,INE843D01027,DCMSRIND,EQ,,,,,DCM SHRIRAM IND LTD,48.69,49.02,46.21,46.61,46.79,48.38,,46.62,,,104770,4939116.31,862,F1,1,,,,,,Cash Only,Diversified,False,47.28,47.615,46.945,47.615,46.945,0.6700000000000017,1.4374597725809948,Wide,Bearish,Below CPR,False,False,0.05,60,6400671.595,True,True,Overlapping,True,Risk Off,True,None,3.3250000000000015,42.461999999999996,41.4972,0.20150375939849666,0.7716559483942715,True,True,No setup,None,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend opposes; participation light,0,0,0,0
2026-09-01,2026-09-01,CM,NSE,STK,1521,INE560A01023,INDIAGLYCO,EQ,,,,,INDIA GLYCOLS LTD,1149.8,1173.7,1097.5,1111.7,1106.2,1147.3,,1111.72,,,880527,995889572.3,40344,F1,1,,,,,,Cash Only,Diversified,False,1127.6333333333332,1135.6,1119.6666666666665,1135.6,1119.6666666666665,15.933333333333394,1.4332403825972289,Wide,Bearish,Below CPR,False,False,0.7166666666666667,60,133653575.125,False,False,Lower,True,Risk Off,False,Bearish Virgin,46.89999999999999,1102.751,1049.272,0.3397299218194754,7.4512752193017695,True,True,No setup,None,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend opposes; participation confirmed,0,0,0,0
2026-09-01,2026-09-01,CM,NSE,STK,761386,INE415B01044,MARSONS,EQ,,,,,MARSONS LIMITED,130.38,131.19,122.01,123.99,123.49,130.26,,123.99,,,5620598,710086117.96,27600,F1,1,,,,,,Cash Only,Diversified,False,125.73,126.6,124.86000000000001,126.6,124.86000000000001,1.7399999999999807,1.4033389789498998,Wide,Bearish,Below CPR,False,False,0.7333333333333333,60,180418851.44,False,False,Lower,True,Risk Off,False,None,6.049285714285715,113.00820000000002,128.61610000000002,0.2876372653205777,3.935764540636963,True,False,No setup,None,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend mixed; participation confirmed,0,0,0,0
2026-09-01,2026-09-01,CM,NSE,STK,4176,INE058B01018,ZENITHEXPO,EQ,,,,,ZENITH EXPORTS LTD,210.4,214.0,205.01,214.0,214.0,214.33,,214.0,,,6,1267.81,5,F1,1,,,,,,Cash Only,Diversified,False,211.00333333333333,209.505,212.50166666666667,212.50166666666667,209.505,2.9966666666666697,1.4003115264797523,Wide,Bullish,Above CPR,False,False,0.7166666666666667,60,51243.595,False,False,Lower,True,Risk Off,False,Bearish Virgin,10.855,205.71599999999998,206.8148,0.2760632580991865,0.02474084810013817,True,True,No setup,None,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Watch,Wide CPR + close above CPR; trend aligned; participation light,0,0,0,0
2026-09-01,2026-09-01,CM,NSE,STK,16863,INE197J01017,LPDC,EQ,,,,,LANDMARK PR.DEV.CO.LTD,6.94,7.04,6.58,6.67,6.65,6.94,,6.68,,,16502,111745.71,157,F1,1,,,,,,Cash Only,Diversified,False,6.763333333333333,6.8100000000000005,6.716666666666665,6.8100000000000005,6.716666666666665,0.09333333333333549,1.3993003498251197,Wide,Bearish,Below CPR,False,False,0.75,60,185353.89,False,False,Overlapping,True,Risk Off,False,None,0.6535714285714287,6.606,6.5539,0.14280510018215264,0.6028776088810437,True,True,No setup,None,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend opposes; participation light,0,-2,0,-2
2026-09-01,2026-09-01,CM,NSE,STK,13414,INE411H01032,RSYSTEMS,EQ,,,,,R SYS INTERNATIONAL LTD,245.3,257.4,243.36,255.74,255.7,245.3,,255.74,,,464401,117489036.17,9070,F1,1,,,,,,Cash Only,Information Technology,False,252.16666666666666,250.38,253.95333333333332,253.95333333333332,250.38,3.5733333333333235,1.397252417820178,Wide,Bullish,Above CPR,False,False,0.4,60,65547897.0,False,False,Higher,True,Risk Off,False,None,6.889285714285713,245.78060000000002,258.10790000000003,0.5186797995507157,1.79241503613762,True,False,No setup,None,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Watch,Wide CPR + close above CPR; trend mixed; participation confirmed,0,0,0,0
