SYMBOL,Industry,CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width_Pct,Width_Rank_Pct,Overlay,Setup,Bias,Price_Position,Segment,Confluence_Score,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Regime
BODALCHEM,Chemicals & Fertilizers,182.13,173.35000000000002,173.29500000000002,173.40500000000003,173.40500000000003,173.29500000000002,0.06341519658711729,0.08333333333333333,Higher,Long,Bullish,Above CPR,Cash Only,2,Long,96,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (16.01x) (20/20); Higher timeframe: aligned (+2) (16/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,Risk Off
CASTROLIND,Oil Gas & Consumable Fuels,191.72,188.4466666666667,188.25,188.64333333333337,188.64333333333337,188.25,0.20828920426465444,0.16666666666666666,Higher,Long,Bullish,Above CPR,Cash Only,2,Long,96,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (4.11x) (20/20); Higher timeframe: aligned (+2) (16/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,Risk Off
TCC,Diversified,51.25,52.38333333333333,52.445,52.321666666666665,52.445,52.321666666666665,0.23599948973083593,0.15,Lower,Short,Bearish,Below CPR,Cash Only,-2,Short,96,Strong confirmation,CPR width: Narrow (20/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (3.43x) (20/20); Higher timeframe: aligned (-2) (16/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,Risk Off
ODIGMA,Diversified,21.0,21.570000000000004,21.645,21.495000000000008,21.645,21.495000000000008,0.700280112044778,0.2,Lower,Short,Bearish,Below CPR,Cash Only,-4,Short,92,Strong confirmation,CPR width: 0.7003% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (1.59x) (20/20); Higher timeframe: strongly aligned (-4) (20/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk Off
SONAL,Diversified,83.12,86.38666666666667,86.525,86.24833333333333,86.525,86.24833333333333,0.32129446831572506,0.11864406779661017,Lower,Short,Bearish,Below CPR,Cash Only,-2,Short,88,Strong confirmation,CPR width: 0.3213% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (2.25x) (20/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk Off
BATLIBOI,Diversified,78.73,82.38666666666667,82.53,82.24333333333334,82.53,82.24333333333334,0.3491676816889912,0.13333333333333333,Lower,Short,Bearish,Below CPR,Cash Only,-2,Short,88,Strong confirmation,CPR width: 0.3492% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (3.14x) (20/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk Off
MOLBIO,Healthcare & Pharma,1285.3,1313.6000000000001,1316.9,1310.3000000000002,1316.9,1310.3000000000002,0.504973221117055,0.09090909090909091,Lower,Short,Bearish,Below CPR,Cash Only,-2,Short,88,Strong confirmation,CPR width: 0.5050% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (1.90x) (20/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk Off
IBULLSLTD,Diversified,29.65,28.5,28.354999999999997,28.645000000000003,28.645000000000003,28.354999999999997,1.0072941993748046,0.025,Higher,Long,Bullish,Above CPR,Cash Only,2,Long,84,Strong confirmation,CPR width: Wide; directional confirmation limited (8/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (3.97x) (20/20); Higher timeframe: aligned (+2) (16/20),Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,Risk Off
SANSTAR,Diversified,115.54,111.59666666666665,110.99,112.2033333333333,112.2033333333333,110.99,1.0755547676033241,0.06666666666666667,Higher,Long,Bullish,Above CPR,Cash Only,2,Long,84,Strong confirmation,CPR width: Wide; directional confirmation limited (8/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (1.85x) (20/20); Higher timeframe: aligned (+2) (16/20),Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,Risk Off
KOPRAN,Diversified,268.59,257.8066666666667,256.28,259.33333333333337,259.33333333333337,256.28,1.170487362314421,0.016666666666666666,Higher,Long,Bullish,Above CPR,Cash Only,2,Long,84,Strong confirmation,CPR width: Wide; directional confirmation limited (8/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (17.56x) (20/20); Higher timeframe: aligned (+2) (16/20),Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,Risk Off
ROSSTECH,Information Technology,1357.2,1329.8,1319.75,1339.85,1339.85,1319.75,1.4889991851248172,0.25,Higher,Long,Bullish,Above CPR,Cash Only,2,Long,84,Strong confirmation,CPR width: Wide; directional confirmation limited (8/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (5.47x) (20/20); Higher timeframe: aligned (+2) (16/20),Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,Risk Off
