SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation
IEX,EQ,INDIAN ENERGY EXC LTD,123.94,124.25,122.13,123.69,2630088,324617609.0,20260706,125.02,123.25,123.94,124.07,124.13499999999999,124.005,124.13499999999999,124.005,0.12999999999999545,0.10488946264321079,Narrow,Bearish,Below CPR,Cash Only,Financial Services,True,False,True,0.15,60,602253508.6800001,False,False,Higher,True,Risk Off,True,None,2.336428571428569,125.2528,124.67949999999999,0.05564047691837169,0.539004927860838,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
SULA,EQ,SULA VINEYARDS LIMITED,155.0,155.99,153.4,153.68,126919,19571717.91,20260706,156.2,154.0,154.86,155.02,155.1,154.94000000000003,155.1,154.94000000000003,0.15999999999996817,0.10331912695335668,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,False,True,0.08333333333333333,60,40289018.035,True,False,Higher,True,Risk Off,True,None,2.8828571428571377,161.4212,164.2306,0.05550049554012781,0.48578294693103713,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
DANGEE,EQ,DANGEE DUMS LIMITED,3.24,3.28,3.22,3.26,40549,131549.63,20260706,3.35,3.24,3.29,3.293333333333333,3.295,3.291666666666666,3.295,3.291666666666666,0.0033333333333338544,0.10131712259373417,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,False,True,0.075,60,308030.89,True,True,Inside,True,Risk Off,True,Bearish Virgin,0.12785714285714286,3.3355999999999995,3.2207,0.026070763500935172,0.42706635688388267,False,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
BALAJEE,EQ,SHREE TIRUPATI BALAJEE L,29.5,29.9,28.17,28.87,14678,425913.21,20260706,30.3,29.01,29.61,29.64,29.655,29.625,29.655,29.625,0.030000000000001137,0.10131712259372218,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,False,True,0.1,60,805750.335,False,False,Higher,True,Risk Off,True,None,1.1471428571428566,30.332200000000004,29.8891,0.026151930261520306,0.5285920358940962,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
MARATHON,EQ,MARATHON NXTGEN REALT LTD,428.0,434.35,418.0,420.55,71409,30175435.1,20260706,436.4,419.25,427.2,427.6166666666666,427.825,427.40833333333325,427.825,427.40833333333325,0.41666666666674246,0.09753433208491163,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,False,True,0.06666666666666667,60,26092354.15,True,False,Higher,True,Risk Off,True,Bullish Virgin,13.610714285714291,448.643,445.11,0.030613137409259472,1.1564857247654674,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
PFS,EQ,PTC INDIA FIN SERV LTD,31.29,31.35,30.59,30.61,632456,19446199.93,20260706,31.5,31.13,31.27,31.299999999999997,31.314999999999998,31.284999999999997,31.314999999999998,31.284999999999997,0.030000000000001137,0.0959385992964539,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,False,True,0.11666666666666667,60,19369484.439999998,False,False,Overlapping,True,Risk Off,True,None,0.7464285714285721,30.857599999999998,30.278200000000002,0.040191387559810096,1.0039606366518241,False,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
CMRGREEN,EQ,CMR GREEN TECHNOLOGIES L,245.0,245.7,235.0,236.1,1525961,364231882.05,20260706,248.6,239.5,243.7,243.9333333333333,244.05,243.8166666666666,244.05,243.8166666666666,0.23333333333340533,0.09574613595954261,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,False,True,0.11764705882352941,18,896563067.6949999,False,False,Overlapping,False,Risk Off,False,None,13.82071428571428,,,0.016882870777134094,0.40625349757760415,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
TREEHOUSE,EQ,TREE HOUSE EDU LTD,6.96,6.96,6.44,6.6,20673,137917.01,20260706,7.08,6.88,6.97,6.976666666666667,6.98,6.973333333333333,6.98,6.973333333333333,0.006666666666667709,0.0956480153036974,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,False,True,0.13333333333333333,60,204547.52,False,False,Higher,True,Risk Off,True,None,0.3842857142857142,7.4262,7.7275,0.017348203221811888,0.6742541293094143,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
KOHINOOR,EQ,KOHINOOR FOODS LIMITED,24.99,25.21,24.29,24.5,48758,1202173.85,20260706,25.4,24.17,24.75,24.77333333333333,24.785,24.76166666666666,24.785,24.76166666666666,0.023333333333340533,0.09427609427612338,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,False,True,0.15,60,2027425.19,False,False,Lower,True,Risk Off,True,None,0.9114285714285713,25.381800000000002,24.8031,0.025600835945671436,0.5929559600667683,False,False,Short,0.5,None,None,0,No active J-Curve setup.,Short,74,Confirmed,CPR width: Narrow (20/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.59x) (4/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
KCP,EQ,KCP LTD,171.0,172.04,167.15,168.48,93936,15968894.5,20260706,173.19,169.25,170.98,171.14,171.22,171.05999999999997,171.22,171.05999999999997,0.160000000000025,0.09357819628028133,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,False,True,0.13333333333333333,60,22597833.04,False,False,Higher,True,Risk Off,True,None,5.314285714285712,168.09039999999996,162.1837,0.030107526881725147,0.7066560086417915,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
