SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,Industry,Segment,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,Applies,Timeframe
AAKASH,20260710,8.86,9.0,8.56,8.84,3388475.26,AAKASH EXPLORATION SER L,Diversified,Cash Only,20260710,8.8,8.780000000000001,8.82,8.82,8.780000000000001,0.03999999999999915,0.4524886877827958,Moderate,Bullish,Above CPR,False,False,0.17857142857142858,28,3510809.7199999997,True,True,Lower,True,Neutral,True,None,1.6214285714285714,,,0.024669603524228548,0.9651549158864696,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
AARNAV,20260710,23.51,25.66,23.51,25.14,1861099.57,AARNAV FASHIONS LIMITED,Diversified,Cash Only,20260710,24.77,24.585,24.955,24.955,24.585,0.36999999999999744,1.4717581543357097,Wide,Bullish,Above CPR,False,False,0.6,20,6445243.050000001,False,False,Outside,True,Neutral,False,None,2.1564285714285716,,,0.17157999337528862,0.2887555295529157,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
AARON,20260710,117.45,119.95,115.0,118.93,4266268.34,AARON INDUSTRIES LIMITED,Diversified,Cash Only,20260710,117.96,117.475,118.445,118.445,117.475,0.9699999999999989,0.8156058185487252,Wide,Bullish,Above CPR,False,False,0.32608695652173914,46,8832015.2,False,False,Outside,True,Neutral,False,None,9.060714285714289,,,0.1070555774536853,0.4830458557181831,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
AARTECH,20260710,48.6,60.98,46.61,49.66,180608382.84,AARTECH SOLONICS LIMITED,Information Technology,Cash Only,20260710,52.416666666666664,53.795,51.03833333333333,53.795,51.03833333333333,2.756666666666675,5.551080681970752,Wide,Bearish,Below CPR,False,False,0.9347826086956522,46,11627860.725000001,False,False,Higher,True,Neutral,False,None,7.531428571428573,,,0.3660217501264552,15.532382706622071,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
AARTIDRUGS,20260710,387.0,405.0,377.55,396.8,374961550.15,AARTI DRUGS LTD.,Healthcare & Pharma,Cash Only,20260710,393.1166666666666,391.275,394.95833333333326,394.95833333333326,391.275,3.6833333333332803,0.9282594086021372,Wide,Bullish,Above CPR,False,False,0.5,46,281330175.25,False,False,Higher,True,Neutral,False,None,24.260714285714272,,,0.15182295500269677,1.332816679962595,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
AARTIIND,20260710,485.3,501.0,462.05,484.1,1577243478.9499998,AARTI INDUSTRIES LTD,Chemicals,Cash Only,20260710,482.3833333333334,481.525,483.2416666666668,483.2416666666668,481.525,1.7166666666668107,0.35460992907804395,Moderate,Bullish,Above CPR,False,False,0.2391304347826087,46,1296338043.25,True,False,Overlapping,True,Neutral,True,None,38.98571428571427,,,0.04403322340295961,1.216691500463685,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
AARTIPHARM,20260710,708.0,713.45,681.1,709.45,465109024.85,AARTI PHARMALABS LIMITED,Diversified,Cash Only,20260710,701.3333333333334,697.2750000000001,705.3916666666667,705.3916666666667,697.2750000000001,8.11666666666656,1.144078746446763,Wide,Bullish,Above CPR,False,False,0.5,46,587612132.925,False,False,Overlapping,True,Neutral,False,None,58.62857142857144,,,0.13844217024041403,0.79152386206662,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
AARTISURF,20260710,381.5,394.05,361.6,387.05,17842307.7,AARTI SURFACTANTS LIMITED,Diversified,Cash Only,20260710,380.90000000000003,377.82500000000005,383.975,383.975,377.82500000000005,6.149999999999977,1.588941997157984,Wide,Bullish,Above CPR,False,False,0.7272727272727273,44,16071491.05,False,False,Overlapping,True,Neutral,False,None,36.39285714285714,,,0.16898920510304158,1.110183718765783,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
AARVI,20260710,149.2,168.4,138.0,155.24,92145696.53999999,AARVI ENCON LIMITED,Diversified,Cash Only,20260710,153.88,153.2,154.56,154.56,153.2,1.3600000000000136,0.8760628703942371,Wide,Bullish,Above CPR,False,False,0.45652173913043476,46,11368725.7,False,False,Higher,True,Neutral,False,None,14.784999999999998,,,0.09198512005410983,8.105191291579846,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
AAVAS,20260710,1515.0,1534.9,1472.6,1525.9,474854777.8,AAVAS FINANCIERS LIMITED,Financial Services,Cash Only,20260710,1511.1333333333332,1503.75,1518.5166666666664,1518.5166666666664,1503.75,14.766666666666424,0.9677348886995494,Wide,Bullish,Above CPR,False,False,0.5217391304347826,46,1171252821.85,False,False,Overlapping,True,Neutral,False,None,112.25714285714287,,,0.1315432255875095,0.40542466062106425,False,False,No setup,0.0,None,Week 13 Jul – 17 Jul 2026,Weekly
