SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup
AARNAV,EQ,AARNAV FASHIONS LIMITED,32.8,37.4,28.1,28.34,1374124,44518655.5,20260717,31.28,32.75,29.810000000000002,32.75,29.810000000000002,2.9399999999999977,10.374029640084679,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,40,970784.5449999999,Overlapping,False,No setup
GRINDWELL,EQ,GRINDWELL NORTON LIMITED,2400.0,2400.0,2062.3,2086.7,584725,1246073525.3,20260717,2183.0,2231.15,2134.85,2231.15,2134.85,96.30000000000018,4.614942253318646,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,40,132303206.6,Lower,False,No setup
RHETAN,EQ,RHETAN TMT LIMITED,31.84,31.84,28.01,28.04,15632169,450868516.4,20260717,29.296666666666667,29.925,28.668333333333333,29.925,28.668333333333333,1.2566666666666677,4.481692819781269,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,40,136285762.715,Lower,False,No setup
QGOLDHALF,EQ,QUANTUM GOLD FUND,116.01,130.98,115.44,116.37,172803,20061295.26,20260717,120.92999999999999,123.21,118.64999999999999,123.21,118.64999999999999,4.560000000000002,3.9185357050786305,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,40,18083666.765,Higher,False,No setup
PREMIERPOL,EQ,PREMIER POLYFILM LTD,77.46,83.9,72.11,73.75,2859127,225272762.11,20260717,76.58666666666666,78.005,75.16833333333332,78.005,75.16833333333332,2.836666666666673,3.846327683615828,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,10,13488397.54,Overlapping,False,No setup
AMAGI,EQ,AMAGI MEDIA LABS LIMITED,603.0,624.0,560.0,562.8,401197,234132205.4,20260717,582.2666666666667,592.0,572.5333333333333,592.0,572.5333333333333,19.466666666666697,3.4588959962094346,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,40,96517267.4,Overlapping,False,No setup
BNALTD,EQ,B & A LTD.,550.0,589.0,519.55,527.25,50271,28054828.55,20260717,545.2666666666667,554.275,536.2583333333333,554.275,536.2583333333333,18.01666666666665,3.4171013118381515,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.9117647058823529,34,59758.675,Higher,False,No setup
TICL,EQ,TWAMEV CONS AND INFRA LTD,11.1,11.34,10.27,10.28,290003,3078828.67,20260717,10.63,10.805,10.455000000000002,10.805,10.455000000000002,0.34999999999999787,3.4046692607003686,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.95,40,19958750.515,Lower,False,No setup
IOLCP,EQ,IOL CHEM AND PHARMA LTD,164.7,164.7,146.63,148.33,6288324,959547073.52,20260717,153.22,155.665,150.775,155.665,150.775,4.889999999999986,3.296703296703287,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,40,522949100.08,Lower,False,No setup
COUNCODOS,EQ,COUNTRY CONDO S LIMITED,6.69,6.75,6.08,6.12,417025,2588332.6,20260717,6.316666666666666,6.415,6.218333333333333,6.415,6.218333333333333,0.1966666666666672,3.2135076252723405,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.95,40,158552.48,Lower,False,No setup
OMINFRAL,EQ,OM INFRA LIMITED,87.45,97.84,85.92,87.67,2323656,216265201.61,20260717,90.47666666666667,91.88,89.07333333333335,91.88,89.07333333333335,2.8066666666666436,3.201399186342698,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,40,6530587.49,Higher,False,No setup
PIONRINV,EQ,PIONEER INVESTCORP LTD.,112.42,112.42,97.3,100.32,352209,38135682.58,20260717,103.34666666666665,104.86,101.8333333333333,104.86,101.8333333333333,3.0266666666666993,3.017012227538576,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.925,40,298001.665,Higher,False,No setup
MUTHOOTCAP,EQ,MUTHOOT CAP SERV LTD,239.9,244.49,220.81,223.07,90222,20760346.56,20260717,229.45666666666668,232.65,226.26333333333335,232.65,226.26333333333335,6.386666666666656,2.8630773598720833,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,40,3436892.52,Lower,False,No setup
E2E,EQ,E2E NETWORKS LIMITED,420.05,442.0,402.35,404.95,2414292,1017487965.95,20260717,416.43333333333334,422.175,410.69166666666666,422.175,410.69166666666666,11.483333333333348,2.8357410379882326,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.95,40,694911309.5999999,Outside,False,No setup
RAMRAT,EQ,RAM RATNA WIRES LIMITED,435.9,447.4,409.0,410.75,392531,166818121.4,20260717,422.3833333333334,428.2,416.5666666666668,428.2,416.5666666666668,11.633333333333212,2.8322174883343183,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.95,40,65179076.6,Outside,False,No setup
SHIVATEX,EQ,SHIVA TEXYARN LIMITED,150.34,161.99,146.55,148.28,10110,1528060.27,20260717,152.27333333333334,154.27,150.27666666666667,154.27,150.27666666666667,3.9933333333333394,2.693103138207,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.975,40,541943.545,Higher,False,No setup
AARVI,EQ,AARVI ENCON LIMITED,155.52,164.0,145.66,148.87,123429,19182002.78,20260717,152.84333333333333,154.82999999999998,150.85666666666668,154.82999999999998,150.85666666666668,3.9733333333333007,2.6689953203018075,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,40,4255069.16,Outside,False,No setup
VRAJ,EQ,VRAJ IRON AND STEEL LTD,146.9,146.9,133.75,135.16,103995,14323375.29,20260717,138.60333333333332,140.325,136.88166666666666,140.325,136.88166666666666,3.443333333333328,2.5475979086514706,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,40,2545179.87,Lower,False,No setup
BECTORFOOD,EQ,MRS BECTORS FOOD SPE LTD,198.04,204.9,186.54,188.63,43462628,8430308288.6,20260717,193.35666666666665,195.72,190.9933333333333,195.72,190.9933333333333,4.726666666666688,2.505787343830084,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,40,123204240.10499999,Higher,False,No setup
MSTCLTD,EQ,MSTC LIMITED,639.8,639.8,591.3,594.55,643497,391160202.95,20260717,608.55,615.55,601.55,615.55,601.55,14.0,2.354722058699857,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.925,40,457090006.0,Lower,False,No setup
SUPREME,EQ,SUPREME HOLDIN N HOSP I L,48.8,48.8,44.82,45.24,119771,5490313.05,20260717,46.28666666666667,46.81,45.763333333333335,46.81,45.763333333333335,1.0466666666666669,2.3135867963454175,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.9,40,1282272.565,Lower,False,No setup
TREEHOUSE,EQ,TREE HOUSE EDU LTD,6.42,6.68,5.9,6.08,111168,690133.05,20260717,6.22,6.29,6.1499999999999995,6.29,6.1499999999999995,0.14000000000000057,2.3026315789473775,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,40,138527.805,Overlapping,False,No setup
S&SPOWER,EQ,S&S POWER SWITCHGEARS LTD,335.0,340.0,317.25,317.7,10603,3431011.65,20260717,324.98333333333335,328.625,321.3416666666667,328.625,321.3416666666667,7.283333333333303,2.2925191480432177,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.9473684210526315,19,691003.15,Lower,False,No setup
WELCORP,EQ,WELSPUN CORP LIMITED,1695.0,1695.0,1576.0,1581.5,1079535,1737074162.9,20260717,1617.5,1635.5,1599.5,1635.5,1599.5,36.0,2.276319949415112,Wide,Bearish,Below CPR,Cash Only,Capital Goods,False,True,1.0,40,1147528605.7,Lower,False,No setup
FERMENTA,EQ,FERMENTA BIOTECH LTD.,461.0,464.15,430.2,432.65,253332,110813569.75,20260717,442.3333333333333,447.17499999999995,437.4916666666667,447.17499999999995,437.4916666666667,9.68333333333328,2.2381447667475514,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.95,40,25178325.175,Lower,False,No setup
KANPRPLA,EQ,KANPUR PLASTIPACK LIMITED,198.92,216.68,195.62,199.49,90799,18925000.13,20260717,203.92999999999998,206.15,201.70999999999995,206.15,201.70999999999995,4.440000000000055,2.225675472454787,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,40,2120543.02,Higher,False,No setup
VENUSPIPES,EQ,VENUS PIPES & TUBES LTD,1831.0,1831.0,1699.5,1708.8,167932,289971456.6,20260717,1746.4333333333334,1765.25,1727.6166666666668,1765.25,1727.6166666666668,37.63333333333321,2.2023252184768967,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,40,153786673.1,Lower,False,No setup
NAVKARCORP,EQ,NAVKAR CORPORATION LTD.,117.9,119.0,98.07,105.08,8448476,903181630.19,20260717,107.38333333333333,108.535,106.23166666666665,108.535,106.23166666666665,2.3033333333333417,2.1919807131074815,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,40,51131380.510000005,Lower,False,No setup
ABCOTS,EQ,A B COTSPIN INDIA LIMITED,206.95,218.0,201.1,202.9,51818,10766541.68,20260717,207.33333333333334,209.55,205.11666666666667,209.55,205.11666666666667,4.433333333333337,2.1849843929686235,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.925,40,8446902.19,Outside,False,No setup
GLOBUSSPR,EQ,GLOBUS SPIRITS LTD,994.7,1009.0,915.0,932.2,1066351,1035212090.1,20260717,952.0666666666666,962.0,942.1333333333332,962.0,942.1333333333332,19.866666666666788,2.131159264821582,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,40,58679408.7,Lower,False,No setup
HINDWAREAP,EQ,HINDWARE HME INOVATON LTD,243.0,243.0,225.75,227.3,192710,44619790.05,20260717,232.01666666666665,234.375,229.6583333333333,234.375,229.6583333333333,4.716666666666697,2.075084323214561,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.95,40,21504073.85,Lower,False,No setup
BETA,EQ,BETA DRUGS LIMITED,2280.0,2389.0,2206.8,2229.1,42504,96978934.6,20260717,2274.9666666666667,2297.9,2252.0333333333333,2297.9,2252.0333333333333,45.86666666666679,2.057631630104831,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.925,40,44339596.0,Outside,False,No setup
A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,13.36,13.8,12.67,12.84,238054,3083757.54,20260717,13.103333333333333,13.235,12.971666666666668,13.235,12.971666666666668,0.26333333333333186,2.0508826583592823,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,40,2869932.075,Lower,False,No setup
MAANALU,EQ,MAAN ALUMINIUM LIMITED,121.9,125.0,116.05,116.94,48721,5729629.75,20260717,119.33,120.525,118.13499999999999,120.525,118.13499999999999,2.390000000000015,2.043783136651287,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,40,7213256.105,Outside,False,No setup
NEOGEN,EQ,NEOGEN CHEMICALS LIMITED,2321.4,2334.9,2149.0,2175.6,184996,411935423.4,20260717,2219.8333333333335,2241.95,2197.716666666667,2241.95,2197.716666666667,44.233333333332666,2.0331556045841452,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.95,40,164783169.35,Lower,False,No setup
METROPOLIS,EQ,METROPOLIS HEALTHCARE LTD,580.85,583.35,540.05,545.3,325071,180777618.95,20260717,556.2333333333333,561.7,550.7666666666667,561.7,550.7666666666667,10.933333333333394,2.0050125313283322,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,40,100726747.57499999,Lower,False,No setup
PATELRMART,EQ,PATEL RETAIL LIMITED,223.65,232.9,216.04,217.93,353443,79999221.28,20260717,222.29,224.47,220.10999999999999,224.47,220.10999999999999,4.360000000000014,2.000642408112703,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.925,40,23219216.345,Overlapping,False,No setup
JINDWORLD,EQ,JINDAL WORLDWIDE LTD,32.8,35.22,31.1,32.2,46609929,1571364704.38,20260717,32.839999999999996,33.16,32.519999999999996,33.16,32.519999999999996,0.6400000000000006,1.9875776397515543,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.925,40,28659219.25,Higher,False,No setup
PCJEWELLER,EQ,PC JEWELLER LTD,10.35,10.35,9.62,9.7,487726969,4791187719.4,20260717,9.889999999999999,9.985,9.794999999999998,9.985,9.794999999999998,0.19000000000000128,1.9587628865979514,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.875,40,537946130.4200001,Lower,False,No setup
EBGNG,EQ,GNG ELECTRONICS LIMITED,570.25,574.75,543.0,543.0,366624,202995839.6,20260717,553.5833333333334,558.875,548.2916666666667,558.875,548.2916666666667,10.583333333333258,1.949048496009808,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.9,40,343305517.5,Lower,False,No setup
RIR,EQ,RIR POWER ELECTRONICS L,165.0,167.7,157.0,157.76,253210,40774952.99,20260717,160.82,162.35,159.29,162.35,159.29,3.0600000000000023,1.9396551724137945,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,2,34166280.4,Lower,False,No setup
TRF,EQ,TRF LIMITED,256.0,257.0,240.6,241.77,18721,4601209.31,20260717,246.45666666666668,248.8,244.11333333333334,248.8,244.11333333333334,4.686666666666667,1.9384814768857457,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.975,40,3340789.2649999997,Lower,False,No setup
CPPLUS,EQ,ADITYA INFOTECH LIMITED,3820.0,3827.8,3610.0,3614.4,259103,942976193.1,20260717,3684.066666666667,3718.9,3649.233333333334,3718.9,3649.233333333334,69.66666666666606,1.9274752840489726,Wide,Bearish,Below CPR,Cash Only,Capital Goods,False,True,0.95,40,874330573.15,Lower,False,No setup
EMMVEE,EQ,EMMVEE PHOTOVOLTAIC PWR L,366.8,367.8,342.1,345.05,5895335,2063192899.7,20260717,351.65000000000003,354.95000000000005,348.35,354.95000000000005,348.35,6.600000000000023,1.9127662657585924,Wide,Bearish,Below CPR,Cash Only,Capital Goods,False,True,0.925,40,1050821083.7,Lower,False,No setup
CLEAN,EQ,CLEAN SCIENCE & TECH LTD,778.0,789.3,742.0,744.4,482269,365407194.7,20260717,758.5666666666666,765.65,751.4833333333332,765.65,751.4833333333332,14.166666666666742,1.9030986924592614,Wide,Bearish,Below CPR,Cash Only,Chemicals,False,True,1.0,40,135504128.575,Lower,False,No setup
INDIANCARD,EQ,INDIAN CARD CLOTHING CO.,228.0,234.99,222.0,222.22,2257,509820.99,20260717,226.40333333333334,228.495,224.31166666666667,228.495,224.31166666666667,4.183333333333337,1.8825188251882534,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.925,40,348541.69,Higher,False,No setup
CAMPUS,EQ,CAMPUS ACTIVEWEAR LIMITED,226.8,259.7,225.5,235.97,52366677,12970729238.66,20260717,240.39,242.6,238.17999999999998,242.6,238.17999999999998,4.420000000000016,1.8731194643386937,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,40,57939815.385,Higher,False,No setup
PARKHOSPS,EQ,PARK MEDI WORLD LIMITED,289.0,292.65,270.6,273.95,4944045,1418553697.7,20260717,279.06666666666666,281.625,276.5083333333333,281.625,276.5083333333333,5.116666666666674,1.867737421670624,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.95,40,198147267.51,Lower,False,No setup
LAXMICOT,EQ,LAXMI COTSPIN LIMITED,15.49,15.49,14.63,14.65,3625,54276.38,20260717,14.923333333333334,15.06,14.786666666666667,15.06,14.786666666666667,0.27333333333333343,1.8657565415244604,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.8421052631578947,38,162538.945,Lower,False,No setup
KIRLOSENG,EQ,KIRLOSKAR OIL ENG LTD,2394.1,2394.1,2240.0,2255.7,531976,1208835575.5,20260717,2296.6,2317.05,2276.1499999999996,2317.05,2276.1499999999996,40.900000000000546,1.813184377355169,Wide,Bearish,Below CPR,Cash Only,Capital Goods,False,True,0.925,40,1067300091.2,Lower,False,No setup
TCC,EQ,TCC CONCEPT LIMITED,296.05,310.25,291.25,292.8,351933,105373482.4,20260717,298.09999999999997,300.75,295.44999999999993,300.75,295.44999999999993,5.300000000000068,1.8101092896175095,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.925,40,3377862.3499999996,Overlapping,False,No setup
SASKEN,EQ,SASKEN TECHNOLOGIES LTD,1986.2,1999.0,1875.7,1886.2,22700,43433707.7,20260717,1920.3,1937.35,1903.25,1937.35,1903.25,34.09999999999991,1.807867670448516,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.725,40,138669994.3,Lower,False,No setup
BHEL,EQ,BHEL,445.0,446.5,420.3,422.0,48217882,20990100197.2,20260717,429.59999999999997,433.4,425.79999999999995,433.4,425.79999999999995,7.600000000000023,1.8009478672985837,Wide,Bearish,Below CPR,Cash Only,Capital Goods,False,True,1.0,40,4365866555.125,Overlapping,False,No setup
GALLANTT,EQ,GALLANTT ISPAT LIMITED,680.0,686.9,651.7,651.7,87901,57789313.3,20260717,663.4333333333333,669.3,657.5666666666666,669.3,657.5666666666666,11.733333333333348,1.8004194158866578,Wide,Bearish,Below CPR,Cash Only,Capital Goods,False,True,0.975,40,70817899.3,Lower,False,No setup
GSLSU,EQ,GLOBAL SURFACES LIMITED,28.0,28.25,26.81,26.81,456112,12326985.79,20260717,27.290000000000003,27.53,27.050000000000004,27.53,27.050000000000004,0.4799999999999969,1.7903767251025622,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.775,40,2883884.11,Lower,False,No setup
KPL,EQ,KWALITY PHARMACEUTICALS L,2816.9,2859.9,2689.2,2702.0,23477,63914764.6,20260717,2750.366666666667,2774.55,2726.1833333333334,2774.55,2726.1833333333334,48.36666666666679,1.790032075006173,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.9,40,69771420.25,Lower,False,No setup
IPL,EQ,INDIA PESTICIDES LIMITED,158.3,160.44,150.98,151.66,742496,114679864.46,20260717,154.35999999999999,155.70999999999998,153.01,155.70999999999998,153.01,2.6999999999999886,1.7802980350784574,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.975,40,24820615.424999997,Lower,False,No setup
INNOVACAP,EQ,INNOVA CAPTAB LIMITED,1018.0,1019.7,957.1,962.7,58370,56727180.8,20260717,979.8333333333334,988.4000000000001,971.2666666666667,988.4000000000001,971.2666666666667,17.13333333333344,1.7797167688099553,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.975,40,34201371.224999994,Lower,False,No setup
BBOX,EQ,BLACK BOX LIMITED,873.6,873.6,821.0,825.5,268870,225028282.1,20260717,840.0333333333333,847.3,832.7666666666667,847.3,832.7666666666667,14.533333333333303,1.7605491621239615,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.925,40,539073825.5999999,Lower,False,No setup
UFBL,EQ,UNITED FOODBRANDS LIMITED,738.8,738.8,701.9,701.9,95239,67128743.75,20260717,714.1999999999999,720.3499999999999,708.05,720.3499999999999,708.05,12.299999999999955,1.7523863798261798,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.825,40,110437418.225,Lower,False,No setup
CARTRADE,EQ,CARTRADE TECH LIMITED,2814.5,2850.0,2690.1,2699.4,341812,930957766.7,20260717,2746.5,2770.05,2722.95,2770.05,2722.95,47.100000000000364,1.7448321849299981,Wide,Bearish,Below CPR,Cash Only,Consumer Services,False,True,0.9,40,1351939709.65,Lower,False,No setup
MONEYBOXX,EQ,MONEYBOXX FINANCE LIMITED,60.89,65.02,59.55,60.71,16654,1017782.81,20260717,61.76,62.285,61.235,62.285,61.235,1.0499999999999972,1.7295338494481918,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.925,40,1191263.005,Higher,False,No setup
IGARASHI,EQ,IGARASHI MOTORS INDIA LTD,468.5,484.5,453.7,457.3,131837,61422930.15,20260717,465.1666666666667,469.1,461.23333333333335,469.1,461.23333333333335,7.866666666666674,1.7202420001457848,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.975,40,32996109.1,Overlapping,False,No setup
NILE,EQ,NILE LTD.,1970.0,1970.0,1831.2,1852.9,3672,6891887.2,20260717,1884.7,1900.6,1868.8000000000002,1900.6,1868.8000000000002,31.799999999999727,1.7162286146041192,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.95,40,4701851.550000001,Lower,False,No setup
VCL,EQ,VAXTEX COTFAB LIMITED,1.2,1.23,1.17,1.17,170330,203508.69,20260717,1.19,1.2,1.18,1.2,1.18,0.020000000000000018,1.7094017094017109,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.85,40,366091.97,Overlapping,False,No setup
ACSTECH,EQ,A C S TECHNOLOGIES LTD.,42.3,43.52,41.42,41.42,118620,4971103.31,20260717,42.12,42.47,41.769999999999996,42.47,41.769999999999996,0.7000000000000028,1.6900048285852316,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.775,40,5607352.859999999,Lower,False,No setup
BAJAJCON,EQ,BAJAJ CONSUMER CARE LTD,554.0,555.05,522.5,525.65,1164232,620847252.45,20260717,534.4,538.775,530.025,538.775,530.025,8.75,1.6646057262436984,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.95,40,405839598.5,Lower,False,No setup
ISFT,EQ,INTRASOFT TECH. LTD,78.4,78.49,74.11,74.45,28490,2140284.33,20260717,75.68333333333334,76.3,75.06666666666668,76.3,75.06666666666668,1.23333333333332,1.6565927915827,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.975,40,1122037.97,Lower,False,No setup
