SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation
WEALTH,EQ,WEALTH FRST PORT. MG. LTD,999.0,999.0,976.95,991.85,1779,1759401.0,20260702,999.05,970.0,984.55,984.5333333333333,984.525,984.5416666666666,984.5416666666666,984.525,0.01666666666665151,0.0016928207472095382,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.016666666666666666,60,1996552.825,True,True,Higher,True,Risk On,True,None,37.20714285714284,941.212,928.1450000000001,0.00044794266333868536,0.881219358671364,True,True,Long,1.0,None,None,0,No active J-Curve setup.,Long,82,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: moderate (0.88x) (12/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
RISHABH,EQ,RISHABH INSTRUMENTS LTD,592.8,653.25,591.05,645.75,1375536,874656951.0,20260702,594.55,575.0,584.8,584.7833333333333,584.775,584.7916666666666,584.7916666666666,584.775,0.01666666666665151,0.0028499772001798064,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.016666666666666666,60,74687583.55000001,True,True,Higher,True,Risk On,True,Bullish Virgin,25.567857142857147,526.449,471.33549999999997,0.0006518601294402042,11.710874946361816,True,True,Long,1.0,None,Liftoff,95,🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹584.79) with massive 11.7x volume surge (NR7 Volatility Squeeze). Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹584.79 with stop below Pivot (₹584.78).,Long,90,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (11.71x) (20/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
KINGFA,EQ,KINGFA SCI & TEC IND LTD.,5110.0,5157.0,5080.5,5107.5,6751,34505506.0,20260702,5150.0,5055.5,5103.0,5102.833333333333,5102.75,5102.916666666666,5102.916666666666,5102.75,0.16666666666606034,0.0032660526487568163,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.03333333333333333,60,31788523.9,True,True,Inside,True,Risk On,True,None,156.28571428571428,5118.366,4691.029,0.001066422912854134,1.0854705335971893,False,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
KRISHIVAL,EQ,KRISHIVAL FOODS LIMITED,404.0,406.9,403.1,403.9,1493,603428.9,20260702,405.45,401.8,403.65,403.6333333333334,403.625,403.64166666666677,403.64166666666677,403.625,0.016666666666765195,0.004128989636260423,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.06666666666666667,60,1617443.625,True,True,Higher,True,Risk On,True,Bullish Virgin,3.3607142857142827,381.5760000000001,352.0925,0.004959263195211752,0.3730756922053466,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
SURAJLTD,EQ,SURAJ LIMITED,228.99,229.59,222.17,226.0,63,14067.06,20260702,229.9,220.05,225.0,224.98333333333335,224.97500000000002,224.99166666666667,224.99166666666667,224.97500000000002,0.01666666666665151,0.00740740740740067,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.05,60,344019.62,False,False,Lower,True,Risk On,True,None,7.108571428571425,233.6784,233.6173,0.0023445873526238064,0.040890284106470436,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
INDRAMEDCO,EQ,INDRAPRASTHA MEDICAL CORP,386.6,390.85,384.35,389.85,92181,35761103.15,20260702,391.4,381.7,386.6,386.5666666666666,386.54999999999995,386.58333333333326,386.58333333333326,386.54999999999995,0.03333333333330302,0.008622176237274449,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.03333333333333333,60,114227170.525,True,True,Inside,True,Risk On,True,None,11.024999999999993,390.125,397.1625,0.003023431594857418,0.31307002515809706,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
SHAHALLOYS,EQ,SHAH ALLOYS LIMITED,70.9,73.6,70.9,71.09,25326,1819367.27,20260702,72.0,68.0,70.01,70.00333333333333,70.0,70.00666666666666,70.00666666666666,70.0,0.006666666666660603,0.009522449173918873,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.016666666666666666,60,495832.87,True,True,Higher,True,Risk On,True,Bullish Virgin,3.8571428571428563,69.5862,66.5181,0.0017283950617268235,3.6693155699822806,True,True,Long,1.0,None,None,0,No active J-Curve setup.,Long,90,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (3.67x) (20/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
INDSWFTLAB,EQ,IND SWIFT LABORATORIES LT,201.97,207.5,198.06,206.22,526610,107902306.05,20260702,204.3,197.1,200.73,200.71,200.7,200.72000000000003,200.72000000000003,200.7,0.020000000000038654,0.009963632740516443,Narrow,Bullish,Above CPR,Cash Only,Healthcare & Pharma,False,True,False,0.016666666666666666,60,123898386.75,True,True,Lower,True,Risk On,True,None,9.480714285714285,155.1064,146.9246,0.0021095456942706336,0.8708935514045343,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
CGCL,EQ,CAPRI GLOBAL CAPITAL LTD,227.0,228.98,224.81,227.76,1900950,431701920.03,20260702,229.99,223.58,226.82,226.7966666666667,226.78500000000003,226.8083333333334,226.8083333333334,226.78500000000003,0.023333333333368955,0.010287158686786419,Narrow,Bullish,Above CPR,Cash Only,Financial Services,True,True,False,0.03333333333333333,60,411315151.025,True,True,Higher,True,Risk On,True,None,7.385714285714286,199.46480000000003,185.3389,0.003159252095427131,1.0495648384315435,True,True,Long,1.0,None,None,0,No active J-Curve setup.,Long,90,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (1.05x) (20/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
IFBIND,EQ,IFB INDUSTRIES LTD,1299.0,1299.0,1276.6,1290.3,39236,50541655.8,20260702,1300.0,1276.4,1288.4,1288.2666666666667,1288.2,1288.3333333333333,1288.3333333333333,1288.2,0.13333333333321207,0.010348752975257067,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.05,60,62131932.45,True,True,Higher,True,Risk On,True,None,42.72142857142858,1205.012,1138.011,0.0031209942595970047,0.8134570068406104,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
