SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation
SHALPAINTS,EQ,SHALIM PAINTS LTD,59.0,70.53,57.09,69.05,3497715,235867070.98,20260721,58.78,49.4,58.78,55.653333333333336,54.09,57.21666666666667,57.21666666666667,54.09,3.126666666666665,5.319269592832026,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,False,1.0,60,1838106.225,False,False,Higher,True,Neutral,False,Bullish Virgin,3.640714285714285,51.80479999999999,50.9942,0.8588058334968279,128.32069647117373,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed
SIKKO,EQ,SIKKO INDUSTRIES LIMITED,4.9,5.0,4.74,4.77,2326580,11360126.94,20260721,4.9,4.06,4.84,4.6000000000000005,4.48,4.720000000000001,4.720000000000001,4.48,0.2400000000000002,4.958677685950417,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,False,1.0,60,1259631.56,False,False,Higher,True,Neutral,False,Bullish Virgin,0.26642857142857146,4.0828,4.3663,0.9008042895442366,9.018610918259304,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed
ASHIMASYN,EQ,ASHIMA LTD,17.5,20.5,16.65,18.72,2471509,45848271.84,20260721,17.23,15.0,17.22,16.483333333333334,16.115000000000002,16.851666666666667,16.851666666666667,16.115000000000002,0.7366666666666646,4.277971351142071,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,False,1.0,60,1175141.17,False,False,Higher,True,Neutral,False,Bullish Virgin,1.0849999999999997,15.828400000000002,15.2546,0.6789554531489997,39.01511836233259,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed
TATVA,EQ,TATVA CHIN PHARM CHEM LTD,1760.0,1785.0,1653.2,1685.0,1658843,2846431083.8,20260721,1713.7,1520.0,1713.7,1649.1333333333332,1616.85,1681.4166666666665,1681.4166666666665,1616.85,64.5666666666666,3.7676761782497876,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,False,1.0,60,53794371.15,False,False,Higher,True,Neutral,False,Bullish Virgin,84.45,1249.778,1229.447,0.7645549634892433,52.91317702855981,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed
DIACABS,EQ,DIAMOND POWER INFRA LTD,248.0,269.07,247.42,269.07,20782551,5433037155.13,20260721,244.61,219.99,244.61,236.40333333333334,232.3,240.50666666666666,240.50666666666666,232.3,8.20666666666665,3.355000476949695,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,False,1.0,60,913169054.2149999,False,False,Higher,True,Neutral,False,Bullish Virgin,14.656428571428568,206.0224,173.734,0.5599363191838448,5.949650976511109,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed
MONEYBOXX,EQ,MONEYBOXX FINANCE LIMITED,59.8,59.8,55.0,56.33,55520,3129371.47,20260721,64.1,58.02,58.2,60.10666666666666,61.06,59.15333333333332,61.06,59.15333333333332,1.9066666666666805,3.2760595647193824,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.9833333333333333,60,1571953.775,False,False,Lower,True,Neutral,False,Bearish Virgin,3.594285714285714,67.91799999999999,68.053,0.5304716481187108,1.990752857856778,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
ORIENTHOT,EQ,ORIENT HOTELS LTD,141.0,147.97,138.0,146.54,4360152,631530690.86,20260721,148.8,125.1,143.68,139.19333333333333,136.95,141.43666666666667,141.43666666666667,136.95,4.486666666666679,3.122680029695628,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,False,0.9833333333333333,60,38587176.5,False,False,Higher,True,Neutral,False,Bullish Virgin,8.570000000000004,116.98559999999999,106.2174,0.5235316997277336,16.366335869637936,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed
REGENCERAM,EQ,REGENCY CERAMICS LTD.,35.66,36.5,33.16,34.9,25563,881277.0,20260721,40.0,35.51,36.09,37.199999999999996,37.754999999999995,36.644999999999996,37.754999999999995,36.644999999999996,1.1099999999999994,3.0756442227763903,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.9666666666666667,60,54463.68,False,False,Overlapping,True,Neutral,False,Bearish Virgin,2.5828571428571436,40.6976,41.9954,0.4297566371681412,16.18100356053796,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
BECTORFOOD,EQ,MRS BECTORS FOOD SPE LTD,209.71,219.61,205.0,211.3,39878095,8467963439.33,20260721,215.95,185.1,210.08,203.71,200.52499999999998,206.89500000000004,206.89500000000004,200.52499999999998,6.370000000000061,3.0321782178218113,Wide,Bullish,Above CPR,Cash Only,FMCG & Food Products,False,False,False,1.0,60,117200813.895,False,False,Higher,True,Neutral,False,Bullish Virgin,11.252857142857142,180.4226,187.37690000000003,0.566078456265081,72.25174602384958,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed
VCL,EQ,VAXTEX COTFAB LIMITED,1.12,1.14,0.99,0.99,1499367,1546089.98,20260721,1.2,1.1,1.1,1.1333333333333333,1.15,1.1166666666666667,1.15,1.1166666666666667,0.033333333333333215,3.030303030303019,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,1.0,60,392351.53,False,False,Lower,True,Neutral,False,Bearish Virgin,0.09071428571428575,1.3374000000000001,1.4114000000000002,0.36745406824146837,3.940573342481932,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
