SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Nifty500,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
WEL,EQ,WONDER ELECTRICALS LTD,95.09,108.5,76.76,80.77,40288514,3620139237.28,20260401,88.67666666666666,92.63,84.72333333333333,92.63,84.72333333333333,7.906666666666666,9.789113119557593,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,1.0,60,7756182.81,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
NOVAAGRI,EQ,NOVA AGRITECH LIMITED,18.42,22.1,18.42,22.1,475056,10273816.29,20260401,20.87333333333333,20.26,21.486666666666668,21.486666666666668,20.26,1.2266666666666666,5.550527903469079,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,60,3904523.55,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
KANANIIND,EQ,KANANI INDUSTRIES LTD,1.06,1.27,1.06,1.27,247839,308264.26,20260401,1.2,1.165,1.235,1.235,1.165,0.0699999999999998,5.511811023622035,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,60,254911.59,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
SUPREME,EQ,SUPREME HOLDIN N HOSP I L,45.95,53.85,45.0,53.79,195692,10276621.87,20260401,50.88,49.425,52.335,52.335,49.425,2.9099999999999966,5.40992749581706,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,60,1983908.845,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
SURAJLTD,EQ,SURAJ LIMITED,220.0,259.2,216.25,258.39,54579,13883976.94,20260401,244.6133333333333,237.725,251.50166666666664,251.50166666666664,237.725,13.776666666666642,5.331733684224097,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,60,216813.53,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
KEEPLEARN,EQ,DSJ KEEP LEARNING LTD,1.55,1.84,1.55,1.84,118457,207998.01,20260401,1.7433333333333334,1.695,1.7916666666666667,1.7916666666666667,1.695,0.0966666666666666,5.253623188405798,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,0.9666666666666668,60,75632.93,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
SARVESHWAR,EQ,SARVESHWAR FOODS LIMITED,2.55,3.01,2.55,3.01,8222212,23678485.89,20260401,2.856666666666667,2.78,2.933333333333334,2.933333333333334,2.78,0.1533333333333342,5.094130675526055,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,60,14285372.93,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
BIGBLOC,EQ,BIGBLOC CONSTRUCTION LTD,39.0,45.96,39.0,45.86,363758,16204885.74,20260401,43.60666666666666,42.48,44.73333333333332,44.73333333333332,42.48,2.253333333333316,4.913504869893842,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,60,6879015.885,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
BALAXI,EQ,BALAXI PHARMA LTD,16.03,18.8,16.03,18.8,163326,2991667.93,20260401,17.876666666666665,17.415,18.33833333333333,18.33833333333333,17.415,0.923333333333332,4.911347517730489,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,60,1966626.18,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
VAISHALI,EQ,VAISHALI PHARMA LIMITED,5.0,5.85,5.0,5.85,561827,3210920.62,20260401,5.566666666666666,5.425,5.708333333333333,5.708333333333333,5.425,0.2833333333333332,4.843304843304842,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,60,1066485.2,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
TECILCHEM,EQ,TECIL CHEMICALS,11.5,12.86,11.21,11.23,2807,33352.54,20260401,11.766666666666666,12.035,11.498333333333331,12.035,11.498333333333331,0.5366666666666688,4.778866132383516,Wide,Bearish,Below CPR,Cash Only,Chemicals & Fertilizers,False,True,0.9833333333333332,60,45048.63,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
DREAMFOLKS,EQ,DREAMFOLKS SERVICES LTD,57.19,68.62,57.19,67.66,666371,43767018.79,20260401,64.49,62.905,66.07499999999999,66.07499999999999,62.905,3.1699999999999875,4.685190659178226,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,60,11209189.435,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
SAKUMA,EQ,SAKUMA EXPORTS LIMITED,1.15,1.33,1.15,1.33,2843578,3679044.78,20260401,1.27,1.24,1.3,1.3,1.24,0.06,4.5112781954887256,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,0.9833333333333332,60,2334973.5650000004,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
BSHSL,EQ,BOMBAY SUPER HYBRID SEEDS,63.1,72.84,63.1,72.84,28727,2052655.22,20260401,69.59333333333333,67.97,71.21666666666667,71.21666666666667,67.97,3.2466666666666697,4.4572579168954825,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,60,1266985.115,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
RPSGVENT,EQ,RPSG VENTURES LIMITED,820.05,960.0,807.4,946.85,12985540,11861030284.5,20260401,904.75,883.7,925.8,925.8,883.7,42.09999999999991,4.4463220151027,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,60,19563097.3,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
DUCON,EQ,DUCON INFRATECHNOLOGIES L,2.34,2.74,2.34,2.72,770273,2061247.96,20260401,2.6,2.54,2.66,2.66,2.54,0.1200000000000001,4.411764705882357,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,60,1695546.61,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
TRIGYN,EQ,TRIGYN TECHNOLOGIES LTD,38.94,46.2,38.94,45.57,68049,2972031.34,20260401,43.57,42.57,44.57,44.57,42.57,2.0,4.388852315119596,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,60,2304911.095,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
BAGFILMS,EQ,B.A.G FILMS AND MEDIA LTD,3.66,4.34,3.66,4.28,141787,598839.8,20260401,4.093333333333334,4.0,4.186666666666667,4.186666666666667,4.0,0.1866666666666674,4.361370716510921,Wide,Bullish,Above CPR,Cash Only,Media & Entertainment,False,False,1.0,60,559813.64,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
GSS,EQ,GSS INFOTECH LIMITED,9.5,10.4,8.86,10.3,139489,1413385.07,20260401,9.853333333333332,9.63,10.076666666666668,10.076666666666668,9.63,0.446666666666669,4.336569579288048,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,60,744507.8,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
NINSYS,EQ,NINTEC SYSTEMS LIMITED,391.0,455.9,386.0,395.4,56431,23289772.85,20260401,412.4333333333333,420.95,403.9166666666667,420.95,403.9166666666667,17.033333333333303,4.307873882987685,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,0.9833333333333332,60,1605454.175,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
INTENTECH,EQ,INTENSE TECHNOLOGIES LTD,74.8,84.14,73.27,84.14,105337,8567303.89,20260401,80.51666666666667,78.705,82.32833333333333,82.32833333333333,78.705,3.623333333333335,4.306314872038668,Wide,Bullish,Above CPR,Cash Only,Information Technology,False,False,1.0,60,4886763.07,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
RACE,EQ,RACE ECO CHAIN LIMITED,92.99,103.26,90.01,103.26,103194,10457767.55,20260401,98.84333333333336,96.635,101.05166666666668,101.05166666666668,96.635,4.416666666666686,4.277229001226695,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,60,992321.7,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
BELLACASA,EQ,BELLA CASA FASH AND RET L,226.35,265.0,226.35,262.38,25756,6349657.91,20260401,251.2433333333333,245.675,256.81166666666667,256.81166666666667,245.675,11.136666666666656,4.244480016261399,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,60,2392873.4,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
NDL,EQ,NANDAN DENIM LIMITED,1.94,2.2,1.92,2.2,3892975,8247966.59,20260401,2.106666666666667,2.06,2.1533333333333338,2.1533333333333338,2.06,0.0933333333333337,4.242424242424259,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,60,4877538.305,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
MASTERTR,EQ,MASTER TRUST LIMITED,59.4,67.6,59.0,67.6,399952,26181563.67,20260401,64.73333333333333,63.3,66.16666666666667,66.16666666666667,63.3,2.8666666666666742,4.240631163708098,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,60,12634179.7,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
SHYAMTEL,EQ,SHYAM TELECOM LIMITED,8.2,9.3,8.1,8.18,4752,39900.27,20260401,8.526666666666666,8.7,8.353333333333332,8.7,8.353333333333332,0.3466666666666675,4.237978810105961,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,0.95,60,43926.94,Overlapping,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
GRSE,EQ,GARDEN REACH SHIP&ENG LTD,2065.0,2367.3,2052.0,2359.3,9291894,21360982623.3,20260401,2259.5333333333333,2209.65,2309.4166666666665,2309.4166666666665,2209.65,99.76666666666642,4.2286553921360746,Wide,Bullish,Above CPR,Cash Only,Capital Goods,False,False,1.0,60,1858259033.1,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
GTL,EQ,GTL LTD,5.4,6.08,5.31,6.08,813609,4783835.31,20260401,5.823333333333333,5.695,5.951666666666666,5.951666666666666,5.695,0.2566666666666659,4.221491228070164,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,0.9833333333333332,60,1734304.4,Overlapping,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
BROOKS,EQ,BROOKS LAB LIMITED,38.98,44.53,38.98,44.53,83311,3572340.3,20260401,42.68,41.755,43.605,43.605,41.755,1.8500000000000083,4.154502582528651,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,0.9666666666666668,60,3046489.345,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
GVT&D,EQ,GE VERNOVA T&D INDIA LTD,3760.9,4344.0,3724.3,3798.7,1710784,6733288075.8,20260401,3955.6666666666665,4034.15,3877.183333333333,4034.15,3877.183333333333,156.96666666666715,4.132115372802989,Wide,Bearish,Below CPR,Cash Only,Capital Goods,False,True,1.0,60,2062665082.9,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
JTLIND,EQ,JTL INDUSTRIES LIMITED,43.9,48.96,42.2,48.58,6847967,320081309.41,20260401,46.580000000000005,45.58,47.58000000000001,47.58000000000001,45.58,2.000000000000014,4.116920543433541,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,0.9833333333333332,60,137051120.62,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
VIKASLIFE,EQ,VIKAS LIFECARE LIMITED,1.07,1.26,1.07,1.24,9851109,11668589.13,20260401,1.1900000000000002,1.165,1.2150000000000003,1.2150000000000003,1.165,0.0500000000000002,4.03225806451615,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,60,5392096.955,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
BHANDARI,EQ,BHANDARI HOSIERY EXP LTD,2.21,2.43,2.14,2.43,352501,832774.55,20260401,2.333333333333333,2.285,2.381666666666667,2.381666666666667,2.285,0.0966666666666666,3.9780521262002746,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,0.9833333333333332,60,1175505.35,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
GANECOS,EQ,GANESHA ECOSPHERE LIMITED,950.0,1022.2,901.65,1022.2,3772343,3646328649.1,20260401,982.0166666666668,961.925,1002.1083333333336,1002.1083333333336,961.925,40.18333333333362,3.9310637187765223,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,0.9833333333333332,60,54629137.3,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
CONFIPET,EQ,CONFIDENCE PETRO IND LTD.,38.8,44.48,38.4,44.03,7777041,325744047.24,20260401,42.303333333333335,41.44,43.16666666666667,43.16666666666667,41.44,1.7266666666666737,3.921568627450996,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,0.95,60,15794167.085,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
UNITECH,EQ,UNITECH LTD,3.35,3.79,3.35,3.79,16644359,61224040.03,20260401,3.643333333333333,3.5700000000000003,3.716666666666666,3.716666666666666,3.5700000000000003,0.1466666666666656,3.869832893579568,Wide,Bullish,Above CPR,Cash Only,Information Technology,False,False,0.9833333333333332,60,28773314.59,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
HILTON,EQ,HILTON METAL FORGING LTD,27.14,27.24,23.14,23.81,4692073,121602174.87,20260401,24.73,25.19,24.270000000000003,25.19,24.270000000000003,0.9199999999999946,3.8639227215455465,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,0.9333333333333332,60,3987372.78,Overlapping,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
CHEMBOND,EQ,CHEMBOND MATERIALTECH LTD,105.2,124.98,105.2,122.1,20101,2433765.35,20260401,117.42666666666666,115.09,119.76333333333332,119.76333333333332,115.09,4.673333333333318,3.827463827463815,Wide,Bullish,Above CPR,Cash Only,Chemicals & Fertilizers,False,False,1.0,60,1335015.98,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
BCPL,EQ,BCPL RAILWAY INFRA LTD,75.98,75.98,67.0,67.61,59248,4204718.38,20260401,70.19666666666667,71.49000000000001,68.90333333333334,71.49000000000001,68.90333333333334,2.586666666666673,3.8258640240595674,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,0.6666666666666666,3,10776467.85,Overlapping,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
RADIANTCMS,EQ,RADIANT CASH MGMT SER LTD,33.22,38.25,33.22,37.91,359655,13170172.49,20260401,36.46,35.735,37.185,37.185,35.735,1.4500000000000028,3.824848324980224,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,60,7169915.555,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
