SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Nifty500,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
UNIVASTU,EQ,UNIVASTU INDIA LIMITED,70.01,72.49,67.3,68.48,337973,23634656.97,20260422,69.42333333333333,69.895,68.95166666666667,69.895,68.95166666666667,0.943333333333328,1.3775311526479672,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,0.85,60,2580210.4050000003,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
DALMIASUG,EQ,DALMIA BHARAT SUG IN LTD,388.35,405.0,383.6,402.55,464139,183614956.85,20260422,397.05,394.3,399.8,399.8,394.3,5.5,1.3662899018755434,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,0.8666666666666667,60,34346729.975,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
SPCENET,EQ,SPACENET ENTERS IND LTD,4.6,4.6,4.38,4.4,980058,4351709.26,20260422,4.46,4.49,4.43,4.49,4.43,0.0600000000000005,1.3636363636363749,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,0.6666666666666666,60,5445741.26,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
PAUSHAKLTD,EQ,PAUSHAK LIMITED,500.0,516.8,492.0,494.35,14219,7132305.45,20260422,501.05,504.4,497.7000000000001,504.4,497.7000000000001,6.699999999999932,1.3553150601800206,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,0.8333333333333334,60,7172980.2,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
MUTHOOTMF,EQ,MUTHOOT MICROFIN LIMITED,194.19,198.9,187.84,189.52,2066726,401732052.01,20260422,192.08666666666667,193.37,190.8033333333333,193.37,190.8033333333333,2.566666666666663,1.3542985788659048,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,0.8666666666666667,60,30783586.525,Overlapping,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
TARAPUR,EQ,TARAPUR TRANSFORMERS LTD,23.87,25.0,23.3,24.65,53609,1290685.75,20260422,24.316666666666663,24.15,24.483333333333327,24.483333333333327,24.15,0.3333333333333286,1.3522650439485948,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,0.6140350877192983,57,475931.26,Overlapping,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
LAGNAM,EQ,LAGNAM SPINTEX LIMITED,78.0,80.0,76.02,79.62,22376,1768425.65,20260422,78.54666666666667,78.00999999999999,79.08333333333334,79.08333333333334,78.00999999999999,1.073333333333352,1.3480699991627128,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,0.7666666666666667,60,533016.28,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
ZFSTEERING,EQ,Z F STEERING GEAR (I) LTD,859.5,894.98,850.0,855.2,2850,2465393.0,20260422,866.7266666666668,872.49,860.9633333333336,872.49,860.9633333333336,11.526666666666417,1.3478328656064564,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,1.0,2,1463975.5,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
TASTYBITE,EQ,TASTY BITE EATABLES LTD,7423.5,7649.0,7135.0,7246.0,5237,38702486.5,20260422,7343.333333333333,7392.0,7294.666666666666,7392.0,7294.666666666666,97.33333333333394,1.34326985003221,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,0.9,60,11489543.0,Overlapping,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
AQYLON,EQ,AQYLON NEXUS LIMITED,50.1,52.11,49.62,51.91,2422886,125724498.42,20260422,51.21333333333333,50.865,51.56166666666667,51.56166666666667,50.865,0.6966666666666725,1.3420663969691249,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,0.631578947368421,38,10597207.95,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
