SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Nifty500,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
SIMPLEXINF,EQ,SIMPLEX INFRASTRUCTURES L,175.5,189.7,175.5,182.61,229587,42265228.75,20260408,182.60333333333327,182.6,182.60666666666663,182.60666666666663,182.6,0.0066666666666606,0.003650767573879,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.0166666666666666,60,15596833.0,Higher,True,Long,False,Long,70,Confirmed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SYNGENE,EQ,SYNGENE INTERNATIONAL LTD,399.45,402.4,395.65,399.05,1758813,699281168.95,20260408,399.0333333333333,399.025,399.0416666666666,399.0416666666666,399.025,0.0166666666666515,0.0041765860585519,Narrow,Bullish,Above CPR,Cash Only,Healthcare,True,False,0.0166666666666666,60,483522720.95,Higher,True,Long,True,Long,70,Confirmed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ROSSELLIND,EQ,ROSSELL INDIA LIMITED,49.5,49.84,47.33,48.59,22040,1063723.31,20260408,48.586666666666666,48.585,48.58833333333333,48.58833333333333,48.585,0.0033333333333303,0.0068601221101673,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.0333333333333333,60,1403701.47,Higher,True,Long,False,Long,70,Confirmed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
MAITHANALL,EQ,MAITHAN ALLOYS LTD,956.0,956.0,927.35,941.8,37968,35606580.9,20260408,941.7166666666666,941.675,941.7583333333332,941.7583333333332,941.675,0.0833333333332575,0.0088483046648181,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.0166666666666666,60,39698252.25,Higher,True,Long,False,Long,70,Confirmed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
DECCANCE,EQ,DECCAN CEMENTS LIMITED,635.0,654.1,635.0,644.65,19830,12800804.45,20260408,644.5833333333334,644.55,644.6166666666668,644.6166666666668,644.55,0.0666666666668334,0.0103415289950877,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.0166666666666666,60,13818661.775,Higher,True,Long,False,Long,70,Confirmed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ATLANTAELE,EQ,ATLANTA ELECTRICALS LTD,1249.0,1260.0,1226.4,1243.4,128045,159343583.0,20260408,1243.2666666666669,1243.2,1243.3333333333333,1243.3333333333333,1243.2,0.133333333333212,0.0107232856147025,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.0333333333333333,60,107314422.7,Higher,True,Long,False,Long,70,Confirmed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
GUJAPOLLO,EQ,GUJ. APOLLO IND. LTD.,445.0,445.0,434.85,440.0,12083,5313465.7,20260408,439.95,439.925,439.975,439.975,439.925,0.0499999999999545,0.011363636363626,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.0166666666666666,60,5400944.375,Higher,True,Long,False,Long,70,Confirmed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ENIL,EQ,ENTERTAIN NET. IND. LTD.,107.6,110.98,107.16,109.09,9758,1063050.47,20260408,109.07666666666668,109.07,109.08333333333334,109.08333333333334,109.07,0.0133333333333496,0.0122223240749377,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.0166666666666666,60,1804959.93,Higher,True,Long,False,Long,70,Confirmed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
NEPHROPLUS,EQ,NEPHROCARE HEALTH SERV L,543.05,557.7,532.5,545.2,129354,70010393.0,20260408,545.1333333333333,545.1,545.1666666666666,545.1666666666666,545.1,0.066666666666606,0.0122279285888859,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.0333333333333333,60,45903935.65,Higher,True,Long,False,Long,70,Confirmed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
LAURUSLABS,EQ,LAURUS LABS LIMITED,1077.0,1092.25,1072.1,1082.45,1645757,1778610210.8,20260408,1082.2666666666669,1082.175,1082.3583333333331,1082.3583333333331,1082.175,0.1833333333333939,0.0169368870001749,Narrow,Bullish,Above CPR,Cash Only,Healthcare,True,False,0.0333333333333333,60,1649110744.125,Higher,True,Long,True,Long,70,Confirmed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
LTM,EQ,LTIMINDTREE LIMITED,4584.4,4584.4,4459.3,4523.0,424664,1912650454.9,20260408,4522.233333333334,4521.85,4522.616666666667,4522.616666666667,4521.85,0.7666666666664241,0.0169504016508163,Narrow,Bullish,Above CPR,Cash Only,Information Technology,True,False,0.08,25,1075578620.4,Higher,True,Long,True,Long,70,Confirmed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
