SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation
ACE,EQ,ACTION CONST EQUIP LTD,875.0,913.0,865.85,909.35,1521321,1362656359.3,20260410,878.35,851.45,865.85,865.2166666666667,864.9000000000001,865.5333333333333,865.5333333333333,864.9000000000001,0.6333333333332121,0.07314584897305676,Narrow,Bullish,Above CPR,Cash Only,Capital Goods,True,True,False,0.11666666666666667,60,158645391.025,True,True,Higher,True,Risk On,True,Bullish Virgin,36.20357142857142,858.8209999999999,897.1725,0.01749367005359568,8.589322075453593,True,True,Long,1.0,None,Liftoff,95,🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹865.53) with massive 8.6x volume surge (NR7 Volatility Squeeze). Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹865.53 with stop below Pivot (₹865.22).,Long,90,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (8.59x) (20/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
BOSCHLTD,EQ,BOSCH LIMITED,36990.0,37670.0,36850.0,37330.0,83719,3123018515.0,20260410,37570.0,35825.0,36770.0,36721.666666666664,36697.5,36745.83333333333,36745.83333333333,36697.5,48.33333333332848,0.13144773819235378,Narrow,Bullish,Above CPR,Cash Only,Automobile and Auto Components,True,True,False,0.23333333333333334,60,758836012.5,True,True,Higher,True,Risk On,True,Bullish Virgin,1411.4285714285713,33945.5,35336.35,0.034244264507418964,4.115538091966873,True,True,Long,1.0,None,Liftoff,95,"🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹36,745.83) with massive 4.1x volume surge (NR7 Volatility Squeeze). Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹36,745.83 with stop below Pivot (₹36,721.67).",Long,90,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (4.12x) (20/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
JBMA,EQ,JBM AUTO LIMITED,608.0,626.95,606.35,611.45,2168543,1336763875.6,20260410,633.0,575.65,604.95,604.5333333333334,604.325,604.7416666666668,604.7416666666668,604.325,0.41666666666674246,0.06887621566521901,Narrow,Bullish,Above CPR,Cash Only,Automobile and Auto Components,True,True,False,0.05,60,212198512.375,True,True,Higher,True,Risk On,True,Bullish Virgin,38.18214285714286,557.565,579.7315,0.010912605618434934,6.299591173559469,True,True,Long,1.0,None,Liftoff,95,🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹604.74) with massive 6.3x volume surge (NR7 Volatility Squeeze). Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹604.74 with stop below Pivot (₹604.53).,Long,90,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (6.30x) (20/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
SRM,EQ,SRM CONTRACTORS LIMITED,443.0,480.0,437.3,473.8,400512,183987976.3,20260410,447.4,424.25,436.0,435.8833333333334,435.825,435.9416666666668,435.9416666666668,435.825,0.11666666666678793,0.026758409785960537,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.03333333333333333,60,44188384.375,True,True,Higher,True,Risk On,True,Bullish Virgin,23.92857142857142,414.699,477.3455,0.004875621890552333,4.163718110592271,True,False,Long,1.0,None,Liftoff,95,🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹435.94) with massive 4.2x volume surge (NR7 Volatility Squeeze). Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹435.94 with stop below Pivot (₹435.88).,Long,82,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: partially aligned (1/2) (12/20); Participation: confirmed (4.16x) (20/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
ATLANTAELE,EQ,ATLANTA ELECTRICALS LTD,1290.0,1350.8,1290.0,1310.4,278269,367570868.8,20260410,1312.2,1237.3,1277.6,1275.7,1274.75,1276.65,1276.65,1274.75,1.900000000000091,0.148716343143401,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.1,60,108826789.4,False,False,Higher,True,Risk On,True,Bullish Virgin,80.0857142857143,976.971,935.432,0.023724580806280118,3.3775770729481795,True,True,Long,1.0,None,Liftoff,94,"🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹1,276.65) with massive 3.4x volume surge (60D Narrow CPR). Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹1,276.65 with stop below Pivot (₹1,275.70).",Long,90,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (3.38x) (20/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
MANINDS,EQ,MAN INDUSTRIES (I) LTD.,446.95,468.0,442.4,465.8,1480874,681921140.4,20260410,447.95,428.2,439.35,438.5,438.075,438.925,438.925,438.075,0.8500000000000227,0.19346762262433656,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.11666666666666667,60,196720667.27499998,True,True,Higher,True,Risk On,True,Bullish Virgin,28.257142857142846,388.79900000000004,398.11949999999996,0.030080889787665124,3.4664438152130095,True,True,Long,1.0,None,Liftoff,94,🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹438.93) with massive 3.5x volume surge (NR7 Volatility Squeeze). Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹438.93 with stop below Pivot (₹438.50).,Long,90,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (3.47x) (20/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
ABDL,EQ,ALLIED BLEND N DISTILS L,473.0,513.2,470.1,509.4,2138634,1080249167.5,20260410,476.8,451.6,466.55,464.98333333333335,464.20000000000005,465.76666666666665,465.76666666666665,464.20000000000005,1.566666666666606,0.335798235273091,Moderate,Bullish,Above CPR,Cash Only,Fast Moving Consumer Goods,True,False,False,0.3333333333333333,60,181823121.95,True,True,Higher,True,Risk On,False,Bullish Virgin,23.474999999999994,468.499,528.372,0.06673766418175107,5.941208994294249,True,False,No setup,0.0,None,Liftoff,92,🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹465.77) with massive 5.9x volume surge (NR7 Volatility Squeeze). Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹465.77 with stop below Pivot (₹464.98).,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
ARKADE,EQ,ARKADE DEVELOPERS LIMITED,116.0,116.75,113.68,115.04,2377600,273395075.65,20260410,116.4,110.57,114.26,113.74333333333334,113.485,114.00166666666668,114.00166666666668,113.485,0.5166666666666799,0.4521850749752143,Moderate,Bullish,Above CPR,Cash Only,Diversified,False,False,False,0.4166666666666667,60,40081755.42,True,True,Higher,True,Risk On,False,Bullish Virgin,5.11,112.3688,128.3295,0.10110893672537767,6.820935679717791,True,False,No setup,0.0,None,Liftoff,92,🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹114.00) with massive 6.8x volume surge (NR7 Volatility Squeeze). Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹114.00 with stop below Pivot (₹113.74).,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
COHANCE,EQ,COHANCE LIFESCIENCES LTD,321.6,380.2,318.9,377.9,47632246,17385676810.45,20260410,325.0,306.0,316.85,315.95,315.5,316.4,316.4,315.5,0.8999999999999773,0.28404607858607456,Moderate,Bullish,Above CPR,Cash Only,Healthcare,True,False,False,0.23333333333333334,60,223034816.3,False,False,Higher,True,Risk On,True,Bullish Virgin,16.553571428571423,320.585,421.38300000000004,0.0543689320388336,77.95050610871824,True,False,Long,1.0,None,Liftoff,92,🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹316.40) with massive 78.0x volume surge (60D Narrow CPR). Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹316.40 with stop below Pivot (₹315.95).,Long,74,Confirmed,CPR width: 0.2840% (12/20); Price location: Above CPR (20/20); Trend: partially aligned (1/2) (12/20); Participation: confirmed (77.95x) (20/20); Higher timeframe: unavailable (10/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
EXICOM,EQ,EXICOM TELE SYSTEMS LTD,99.67,105.6,98.81,104.06,1126300,116298710.24,20260410,102.0,93.67,98.21,97.96,97.83500000000001,98.08499999999998,98.08499999999998,97.83500000000001,0.24999999999997158,0.2545565624681515,Moderate,Bullish,Above CPR,Cash Only,Diversified,False,False,False,0.16666666666666666,60,30267595.61,True,True,Higher,True,Risk On,True,Bullish Virgin,6.487142857142857,92.70360000000001,103.39789999999999,0.03853776701166706,3.842350470731692,True,True,Long,1.0,None,Liftoff,92,🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹98.08) with massive 3.8x volume surge (NR7 Volatility Squeeze). Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹98.08 with stop below Pivot (₹97.96).,Long,82,Strong confirmation,CPR width: 0.2546% (12/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (3.84x) (20/20); Higher timeframe: unavailable (10/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
