SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup
AROGRANITE,EQ,ARO GRANITE IND. LTD.,33.8,33.8,28.2,28.6,95463,2907204.54,20260417,30.2,31.0,29.4,31.0,29.4,1.6000000000000014,5.5944055944055995,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,60,354985.25,Higher,False,No setup
SINTERCOM,EQ,SINTERCOM INDIA LIMITED,83.26,98.65,83.25,85.01,354712,30613268.27,20260417,88.97000000000001,90.95,86.99000000000002,90.95,86.99000000000002,3.9599999999999795,4.658275497000329,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,60,760589.035,Higher,False,No setup
PASHUPATI,EQ,PASHUPATI COTSPIN LIMITED,100.0,118.35,94.0,99.45,309879,32620467.4,20260417,103.93333333333334,106.175,101.69166666666668,106.175,101.69166666666668,4.48333333333332,4.508128037539789,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,60,2722486.6,Lower,False,No setup
CREATIVEYE,EQ,CREATIVE EYE LIMITED,7.01,8.4,6.68,7.1,64290,475488.72,20260417,7.3933333333333335,7.54,7.246666666666667,7.54,7.246666666666667,0.293333333333333,4.1314553990610285,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.9666666666666667,60,78383.015,Higher,False,No setup
NKIND,EQ,NK INDUSTRIES LTD,68.0,76.9,65.11,67.3,103183,7360838.92,20260417,69.77,71.005,68.535,71.005,68.535,2.469999999999999,3.6701337295690926,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.9166666666666666,60,36366.96,Higher,False,No setup
GAUDIUMIVF,EQ,GAUDIUM IVF N WOMEN H L,105.99,108.0,96.1,96.91,2437045,247744357.81,20260417,100.33666666666666,102.05,98.62333333333332,102.05,98.62333333333332,3.4266666666666765,3.535926804939301,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,21,63025334.58,Overlapping,False,No setup
ABINFRA,EQ,A B INFRABUILD LIMITED,16.86,18.24,15.8,16.23,3539659,60140100.35,20260417,16.756666666666664,17.02,16.49333333333333,17.02,16.49333333333333,0.5266666666666708,3.2450195111932887,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.9666666666666667,60,18849725.375,Outside,False,No setup
TGBHOTELS,EQ,TGB BANQUETS&HOTELS LTD,9.93,11.35,9.56,9.98,322944,3401518.32,20260417,10.296666666666667,10.455,10.138333333333334,10.455,10.138333333333334,0.31666666666666643,3.1730126920507655,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,60,157732.09,Higher,False,No setup
SHYAMTEL,EQ,SHYAM TELECOM LIMITED,10.11,11.49,10.1,10.31,10789,113552.61,20260417,10.633333333333333,10.795,10.471666666666666,10.795,10.471666666666666,0.32333333333333414,3.1361138053669655,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.85,60,53523.47,Overlapping,False,No setup
GTECJAINX,EQ,G-TEC JAINX EDUCATION LTD,21.5,21.5,19.17,19.47,18469,365282.24,20260417,20.046666666666667,20.335,19.758333333333333,20.335,19.758333333333333,0.576666666666668,2.9618216058894093,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.9,60,65227.225000000006,Outside,False,No setup
TFL,EQ,TRANSWARRANTY FIN. LTD.,13.99,13.99,12.9,12.9,10684,139637.9,20260417,13.263333333333334,13.445,13.081666666666667,13.445,13.081666666666667,0.3633333333333333,2.816537467700258,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.8666666666666667,60,210903.61,Higher,False,No setup
HECPROJECT,EQ,HEC INFRA PROJECTS LTD,142.1,152.0,140.5,140.52,34350,4926326.54,20260417,144.34,146.25,142.43,146.25,142.43,3.819999999999993,2.718474238542551,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.8666666666666667,60,1405970.525,Overlapping,False,No setup
MBAPL,EQ,MADHYA BHARAT AGRO P. LTD,553.4,559.0,501.65,509.55,967440,506621061.35,20260417,523.4,530.325,516.4749999999999,530.325,516.4749999999999,13.850000000000136,2.7180845844372756,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,60,125823368.0,Lower,False,No setup
NATCAPSUQ,EQ,NATURAL CAPSULES LIMITED,168.1,181.32,163.2,165.76,15611,2655966.69,20260417,170.09333333333333,172.26,167.92666666666668,172.26,167.92666666666668,4.333333333333314,2.614221364221353,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.9833333333333333,60,549129.625,Overlapping,False,No setup
ADROITINFO,EQ,ADROIT INFOTECH LIMITED,10.4,10.65,9.73,9.81,123787,1250682.23,20260417,10.063333333333334,10.190000000000001,9.936666666666667,10.190000000000001,9.936666666666667,0.25333333333333385,2.5823989126741473,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.95,60,373329.765,Overlapping,False,No setup
PRAXIS,EQ,PRAXIS HOME RETAIL LTD,8.17,8.17,7.47,7.53,58470,445480.79,20260417,7.723333333333334,7.82,7.626666666666667,7.82,7.626666666666667,0.19333333333333336,2.5675077467906156,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.9,60,1675077.71,Outside,False,No setup
VSTIND,EQ,VST INDUSTRIES LTD,274.0,286.78,262.46,264.83,15800243,4327034922.4,20260417,271.3566666666666,274.62,268.09333333333325,274.62,268.09333333333325,6.526666666666756,2.4644740651235724,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.9833333333333333,60,41503770.519999996,Higher,False,No setup
NORBTEAEXP,EQ,NORBEN TEA & EXPORTS LTD,82.44,82.44,75.47,76.16,8067,616801.95,20260417,78.02333333333333,78.955,77.09166666666665,78.955,77.09166666666665,1.863333333333344,2.446603641456597,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,4,488511.195,Lower,False,No setup
ASMS,EQ,BARTRONICS INDIA LIMITED,8.96,9.57,8.75,8.84,7936418,73111309.85,20260417,9.053333333333333,9.16,8.946666666666665,9.16,8.946666666666665,0.2133333333333347,2.4132730015083115,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.7666666666666667,60,15067341.96,Overlapping,False,No setup
SAIPARENT,EQ,SAI PARENTERALS LIMITED,469.75,526.3,468.35,480.1,877373,431210761.55,20260417,491.5833333333333,497.325,485.84166666666664,497.325,485.84166666666664,11.483333333333348,2.3918628063597893,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,1.0,10,233466802.65,Higher,False,No setup
NILAINFRA,EQ,NILA INFRASTRUCTURES LTD,8.65,9.5,8.51,8.7,307617,2680454.36,20260417,8.903333333333332,9.004999999999999,8.801666666666666,9.004999999999999,8.801666666666666,0.20333333333333314,2.3371647509578524,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.95,60,2354733.05,Higher,False,No setup
PVP,EQ,PVP VENTURES LIMITED,35.01,35.45,31.81,32.51,3842727,131249325.92,20260417,33.25666666666667,33.63,32.88333333333333,33.63,32.88333333333333,0.7466666666666697,2.2967292115246685,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.8888888888888888,54,6771448.77,Lower,False,No setup
KOLTEPATIL,EQ,KOLTE PATIL DEV. LTD.,356.6,398.15,356.55,365.15,5308238,2040341415.15,20260417,373.2833333333333,377.35,369.2166666666666,377.35,369.2166666666666,8.13333333333344,2.227395134419674,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.9833333333333333,60,25784524.975,Higher,False,No setup
VIVIDHA,EQ,VISAGAR POLYTEX LTD,0.61,0.66,0.6,0.61,730628,458230.94,20260417,0.6233333333333334,0.63,0.6166666666666668,0.63,0.6166666666666668,0.013333333333333197,2.185792349726754,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.9166666666666666,60,179087.235,Higher,False,No setup
ISHANCH,EQ,ISHAN DYES N CHEMICALS L,66.94,71.99,66.5,67.08,107781,7357726.23,20260417,68.52333333333333,69.245,67.80166666666665,69.245,67.80166666666665,1.4433333333333564,2.1516597097992793,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.9,60,737279.89,Higher,False,No setup
WEWIN,EQ,WE WIN LIMITED,62.98,62.98,58.27,58.73,20437,1236739.5,20260417,59.99333333333333,60.625,59.361666666666665,60.625,59.361666666666665,1.2633333333333354,2.151086894829449,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.7966101694915254,59,189417.48,Higher,False,No setup
ARENTERP,EQ,RAJDARSHAN INDUSTRIES LTD,45.27,45.27,42.5,42.55,3647,158502.52,20260417,43.44,43.885000000000005,42.99499999999999,43.885000000000005,42.99499999999999,0.8900000000000148,2.0916568742656048,Wide,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.9,60,28868.835,Higher,False,No setup
