TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-08-26,2026-08-26,CM,NSE,STK,762663,INE669R01026,ELITECON,EQ,,,,,ELITECON INTERNATIONAL L,13.88,14.27,12.39,12.39,12.39,13.76,,12.39,,,8073193,102295561.64,13773,F1,1,,,,,,Cash Only,Unclassified,False,13.016666666666666,13.33,12.703333333333331,13.33,12.703333333333331,0.6266666666666687,5.057842345977956,Wide,Bearish,Below CPR,False,False,0.9666666666666667,60,44891307.955,Lower,True,Neutral,False,1.0749999999999997,20.1348,,0.5829457364341105,2.2787387202561185,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-08-26,2026-08-26,CM,NSE,STK,761814,INE887D01016,TCC,EQ,,,,,TCC CONCEPT LIMITED,245.0,278.4,223.4,235.15,230.2,242.25,,235.12,,,4967094,1252475328.0,86478,F1,1,,,,,,Cash Only,Unclassified,False,245.64999999999998,250.89999999999998,240.39999999999998,250.89999999999998,240.39999999999998,10.5,4.465234956410802,Wide,Bearish,Below CPR,False,False,1.0,60,5693317.275,Outside,True,Neutral,False,16.51785714285714,293.25899999999996,333.75050000000005,0.6356756756756758,219.99043220369268,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-08-26,2026-08-26,CM,NSE,STK,765040,INE373T01047,BLUECLOUDS,EQ,,,,,BLUE CLOUD SOFTECH SOLU L,22.45,22.91,19.8,20.02,20.22,22.28,,20.02,,,8600073,176508902.41,12417,F1,1,,,,,,Cash Only,Unclassified,False,20.91,21.355,20.465,21.355,20.465,0.8900000000000006,4.445554445554448,Wide,Bearish,Below CPR,False,False,1.0,8,44933896.08499999,Lower,False,Neutral,False,,,,,3.928190470643895,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-08-26,2026-08-26,CM,NSE,STK,4130,INE277C01012,REGENCERAM,EQ,,,,,REGENCY CERAMICS LTD.,37.69,37.69,32.46,33.0,33.0,33.61,,33.0,,,12546,416602.93,267,F1,1,,,,,,Cash Only,Unclassified,False,34.38333333333333,35.075,33.69166666666666,35.075,33.69166666666666,1.38333333333334,4.191919191919212,Wide,Bearish,Below CPR,False,False,0.95,60,82361.495,Higher,True,Neutral,False,3.762857142857143,36.9632,40.0857,0.3676284484940539,5.058224477348305,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-08-26,2026-08-26,CM,NSE,STK,765075,INE299D01022,HAMPTON,EQ,,,,,HAMPTON SKY REALTY LTD.,9.24,9.24,8.11,8.18,8.2,8.02,,8.18,,,31820,265795.53,164,F1,1,,,,,,Cash Only,Unclassified,False,8.51,8.675,8.344999999999999,8.675,8.344999999999999,0.33000000000000185,4.034229828850878,Wide,Bearish,Below CPR,False,False,1.0,8,219868.63,Higher,False,Neutral,False,,,,,1.2088833682185587,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-08-26,2026-08-26,CM,NSE,STK,7835,INE02WG01024,WEL,EQ,,,,,WONDER ELECTRICALS LTD,133.14,160.0,133.0,155.92,157.4,134.02,,155.92,,,16977054,2618435211.78,102825,F1,1,,,,,,Cash Only,Unclassified,False,149.64,146.5,152.77999999999997,152.77999999999997,146.5,6.279999999999973,4.027706516162118,Wide,Bullish,Above CPR,False,False,1.0,60,16780424.830000002,Higher,True,Neutral,False,10.947142857142856,114.5364,105.3607,0.5736656661881745,156.04105607021154,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
2026-08-26,2026-08-26,CM,NSE,STK,765396,INE18UN01038,GAJA,EQ,,,,,GAJA ALT ASSET MGT LTD,185.0,191.65,165.4,168.67,170.2,160.0,,168.67,,,64773158,11564067263.67,415891,F1,1,,,,,,Cash Only,Unclassified,False,175.24,178.525,171.955,178.525,171.955,6.569999999999993,3.8951799371553886,Wide,Bearish,Below CPR,False,False,1.0,1,11564067263.67,Unknown,False,Neutral,False,,,,,1.0,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-08-26,2026-08-26,CM,NSE,STK,764563,INE757C01021,ADDIND,EQ,,,,,ADDI INDUSTRIES LTD.,92.0,94.6,80.3,82.66,84.0,86.89,,83.19,,,858,74977.33,44,F1,1,,,,,,Cash Only,Unclassified,False,85.85333333333331,87.44999999999999,84.25666666666663,87.44999999999999,84.25666666666663,3.1933333333333564,3.86321477538514,Wide,Bearish,Below CPR,False,False,1.0,7,74977.33,Overlapping,False,Neutral,False,,,,,1.0,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-08-26,2026-08-26,CM,NSE,STK,14771,INE924H01018,TARMAT,EQ,,,,,TARMAT LIMITED,55.0,64.4,53.5,62.54,62.25,54.23,,62.54,,,511513,31592769.14,4454,F1,1,,,,,,Cash Only,Unclassified,False,60.14666666666667,58.95,61.343333333333334,61.343333333333334,58.95,2.393333333333331,3.826884127491735,Wide,Bullish,Above CPR,False,False,0.9666666666666667,60,528405.9,Higher,True,Neutral,False,5.370000000000003,51.46979999999999,52.673500000000004,0.4456859093730595,59.78882737683285,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,-2,-2
2026-08-26,2026-08-26,CM,NSE,STK,11935,INE978G01016,SPLIL,EQ,,,,,SPL INDUSTRIES LIMITED,30.4,34.85,29.6,34.14,33.53,30.5,,34.14,,,47626,1599926.06,296,F1,1,,,,,,Cash Only,Unclassified,False,32.86333333333334,32.225,33.50166666666667,33.50166666666667,32.225,1.2766666666666708,3.739504003124402,Wide,Bullish,Above CPR,False,False,1.0,60,181806.91999999998,Higher,True,Neutral,False,2.084999999999999,31.2712,31.0499,0.6123101518784995,8.800138410573153,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,-2,0,-2
