SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup
BALAJEE,EQ,SHREE TIRUPATI BALAJEE L,51.21,51.65,50.82,51.27,47359,2428416.99,20250922,51.24666666666667,51.235,51.25833333333334,51.25833333333334,51.235,0.023333333333340533,0.04551069501334217,Narrow,Bullish,Above CPR,Cash Only,Unclassified,True,False,0.03125,32,6802903.885,Lower,True,No setup
ALBERTDAVD,EQ,ALBERT DAVID LIMITED,806.55,816.3,790.0,802.6,4407,3561998.9,20250922,802.9666666666667,803.15,802.7833333333334,803.15,802.7833333333334,0.36666666666656056,0.04568485754629461,Narrow,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.125,32,2104473.225,Lower,True,Short
AAATECH,EQ,AAA TECHNOLOGIES LIMITED,79.23,79.5,78.21,78.91,11748,926584.01,20250922,78.87333333333332,78.85499999999999,78.89166666666665,78.89166666666665,78.85499999999999,0.03666666666666174,0.046466438558689316,Narrow,Bullish,Above CPR,Cash Only,Unclassified,True,False,0.125,32,1331623.58,Lower,True,No setup
BIOFILCHEM,EQ,BIOFIL CHEM & PHARMA LTD,43.01,43.5,42.3,42.87,7447,320582.44,20250922,42.88999999999999,42.9,42.87999999999999,42.9,42.87999999999999,0.020000000000010232,0.046652670865430915,Narrow,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.1,10,376099.86,Lower,True,Short
WANBURY,EQ,WANBURY LIMITED,246.4,253.25,246.4,249.65,46119,11552894.65,20250922,249.76666666666665,249.825,249.70833333333331,249.825,249.70833333333331,0.11666666666667425,0.04673209159490256,Narrow,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.1,20,21246896.225,Lower,True,Short
GMBREW,EQ,G M BREWERIES LTD,715.25,740.0,708.95,725.0,65280,47711934.65,20250922,724.65,724.475,724.8249999999999,724.8249999999999,724.475,0.34999999999990905,0.04827586206895297,Narrow,Bullish,Above CPR,Cash Only,Unclassified,True,False,0.125,32,10753887.5,Higher,True,Long
DALMIASUG,EQ,DALMIA BHARAT SUG IN LTD,372.0,374.65,369.0,371.55,42666,15855482.35,20250922,371.73333333333335,371.825,371.6416666666667,371.825,371.6416666666667,0.18333333333328028,0.0493428430448877,Narrow,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.09375,32,19525842.35,Lower,True,Short
BHEL,EQ,BHEL,237.09,242.43,236.41,239.6,7227055,1736371974.35,20250922,239.48000000000002,239.42000000000002,239.54000000000002,239.54000000000002,239.42000000000002,0.12000000000000455,0.050083472454092046,Narrow,Bullish,Above CPR,Cash Only,Capital Goods,True,False,0.0625,32,1302561079.4650002,Higher,True,Long
POLICYBZR,EQ,PB FINTECH LIMITED,1803.6,1818.4,1777.5,1796.6,591391,1062663136.7,20250922,1797.5,1797.95,1797.05,1797.95,1797.05,0.900000000000091,0.050094623177117395,Narrow,Bearish,Below CPR,Cash Only,Financial Services,False,True,0.25,32,1615434370.4,Inside,True,No setup
INFY,EQ,INFOSYS LIMITED,1482.7,1514.7,1482.0,1499.5,15655204,23478311082.4,20250922,1498.7333333333333,1498.35,1499.1166666666668,1499.1166666666668,1498.35,0.7666666666668789,0.05112815382906828,Narrow,Bullish,Above CPR,Cash Only,Information Technology,True,False,0.1875,32,12096420270.95,Lower,True,No setup
GRMOVER,EQ,GRM OVERSEAS LIMITED,357.95,357.95,351.5,354.45,185570,65892187.15,20250922,354.6333333333334,354.725,354.54166666666674,354.725,354.54166666666674,0.18333333333328028,0.05172332722056151,Narrow,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.0625,32,218197541.675,Higher,True,No setup
ARROWGREEN,EQ,ARROW GREENTECH LIMITED,569.65,574.0,562.0,568.45,13371,7577842.9,20250922,568.15,568.0,568.3,568.3,568.0,0.2999999999999545,0.05277509015743768,Narrow,Bullish,Above CPR,Cash Only,Unclassified,True,False,0.125,32,16134108.9,Lower,True,No setup
JKCEMENT,EQ,JK CEMENT LIMITED,6871.0,6925.0,6805.0,6859.5,38934,267145143.0,20250922,6863.166666666667,6865.0,6861.333333333334,6865.0,6861.333333333334,3.6666666666660603,0.05345384746214826,Narrow,Bearish,Below CPR,Cash Only,Construction Materials,False,True,0.09375,32,865652434.0,Lower,True,Short
SHK,EQ,S H KELKAR AND CO. LTD.,249.99,250.24,246.5,248.17,163400,40609277.96,20250922,248.3033333333333,248.37,248.23666666666662,248.37,248.23666666666662,0.1333333333333826,0.053726612134175206,Narrow,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.09375,32,89958003.075,Lower,True,Short
IOC,EQ,INDIAN OIL CORP LTD,148.5,149.1,147.26,148.3,9720233,1440093690.93,20250922,148.22,148.18,148.26,148.26,148.18,0.07999999999998408,0.05394470667564672,Narrow,Bullish,Above CPR,Cash Only,Oil Gas & Consumable Fuels,True,False,0.125,32,1171510724.03,Lower,True,No setup
MOL,EQ,MEGHMANI ORGANICS LIMITED,85.99,87.2,85.66,86.5,443252,38350524.93,20250922,86.45333333333333,86.43,86.47666666666666,86.47666666666666,86.43,0.046666666666652645,0.053949903660870116,Narrow,Bullish,Above CPR,Cash Only,Unclassified,True,False,0.0625,32,48830199.105000004,Inside,True,No setup
VIJAYA,EQ,VIJAYA DIAGNOSTIC CEN LTD,1057.0,1062.6,1038.5,1049.7,164543,172212300.3,20250922,1050.2666666666667,1050.55,1049.9833333333333,1050.55,1049.9833333333333,0.566666666666606,0.053983677876212825,Narrow,Bearish,Below CPR,Cash Only,Healthcare,False,True,0.1875,32,117439390.65,Lower,True,Short
SANGAMIND,EQ,SANGAM (INDIA) LTD,427.7,439.0,418.0,428.85,56240,24070001.9,20250922,428.6166666666666,428.5,428.73333333333323,428.73333333333323,428.5,0.2333333333332348,0.05440907854336826,Narrow,Bullish,Above CPR,Cash Only,Unclassified,True,False,0.03125,32,6311525.925,Higher,True,Long
FUSION,EQ,FUSION FINANCE LIMITED,189.95,195.0,189.2,192.26,781437,150270835.55,20250922,192.15333333333334,192.1,192.20666666666668,192.20666666666668,192.1,0.10666666666668334,0.05548042581227679,Narrow,Bullish,Above CPR,Cash Only,Unclassified,True,False,0.1875,32,60381319.735,Higher,True,Long
SHREDIGCEM,EQ,SHREE DIGVIJAY CEM CO LTD,89.85,90.5,89.25,89.95,272125,24460359.67,20250922,89.89999999999999,89.875,89.92499999999998,89.92499999999998,89.875,0.04999999999998295,0.05558643690937514,Narrow,Bullish,Above CPR,Cash Only,Unclassified,True,False,0.0625,32,51125412.1,Overlapping,True,No setup
OBEROIRLTY,EQ,OBEROI REALTY LIMITED,1663.6,1697.7,1647.3,1673.9,630675,1061582579.8,20250922,1672.9666666666665,1672.5,1673.433333333333,1673.433333333333,1672.5,0.9333333333329392,0.05575801023555405,Narrow,Bullish,Above CPR,Cash Only,Realty,True,False,0.09375,32,590126949.8,Higher,True,Long
GOKULAGRO,EQ,GOKUL AGRO RESOURCES LTD,406.9,425.0,405.0,414.65,1118555,466973981.95,20250922,414.8833333333334,415.0,414.76666666666677,415.0,414.76666666666677,0.2333333333332348,0.056272358213730805,Narrow,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.125,32,91811112.4,Higher,True,No setup
ANDHRSUGAR,EQ,ANDHRA SUGARS LTD,76.1,77.29,76.0,76.58,111992,8573847.76,20250922,76.62333333333333,76.64500000000001,76.60166666666666,76.64500000000001,76.60166666666666,0.043333333333350765,0.05658570558024389,Narrow,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.09375,32,9039137.62,Lower,True,Short
GAIL,EQ,GAIL (INDIA) LTD,181.6,182.36,179.85,180.95,5333007,965917862.43,20250922,181.05333333333337,181.10500000000002,181.00166666666672,181.10500000000002,181.00166666666672,0.1033333333332962,0.05710601455280255,Narrow,Bearish,Below CPR,Cash Only,Oil Gas & Consumable Fuels,False,True,0.1875,32,1266906467.83,Lower,True,Short
TPLPLASTEH,EQ,TPL PLASTECH LIMITED,75.11,76.49,74.9,75.76,23226,1752308.43,20250922,75.71666666666665,75.695,75.73833333333332,75.73833333333332,75.695,0.043333333333322344,0.05719816965855641,Narrow,Bullish,Above CPR,Cash Only,Unclassified,True,False,0.15625,32,1917630.385,Inside,True,No setup
CHENNPETRO,EQ,CHENNAI PETROLEUM CORP LT,743.5,773.3,740.0,756.0,1638455,1248064513.35,20250922,756.4333333333334,756.65,756.2166666666668,756.65,756.2166666666668,0.4333333333331666,0.0573192239858686,Narrow,Bearish,Below CPR,Cash Only,Oil Gas & Consumable Fuels,False,True,0.125,32,420800146.92499995,Higher,True,No setup
DCI,EQ,DC INFOTECH AND COMUN LTD,287.2,304.0,282.62,293.05,33680,9939691.89,20250922,293.22333333333336,293.31,293.1366666666667,293.31,293.1366666666667,0.17333333333328937,0.05914804072113611,Narrow,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.125,32,7544858.135,Higher,True,No setup
GFLLIMITED,EQ,GFL LIMITED,60.39,62.28,60.39,61.39,37533,2310269.02,20250922,61.35333333333333,61.335,61.37166666666666,61.37166666666666,61.335,0.03666666666666174,0.05972742574794224,Narrow,Bullish,Above CPR,Cash Only,Unclassified,True,False,0.03125,32,2314860.3049999997,Higher,True,Long
ROLEXRINGS,EQ,ROLEX RINGS LIMITED,1386.0,1396.5,1377.0,1385.5,45783,63536160.2,20250922,1386.3333333333333,1386.75,1385.9166666666665,1386.75,1385.9166666666665,0.8333333333334849,0.0601467580897499,Narrow,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.09375,32,38912999.05,Inside,True,No setup
TATAGOLD,EQ,TATAAML-TATAGOLD,10.72,11.08,10.72,10.91,31144285,338161684.68,20250922,10.903333333333334,10.9,10.906666666666668,10.906666666666668,10.9,0.006666666666667709,0.06110601894287542,Narrow,Bullish,Above CPR,Cash Only,Unclassified,True,False,0.09375,32,223844039.11,Higher,True,Long
INFIBEAM,EQ,INFIBEAM AVENUES LIMITED,16.3,16.38,16.15,16.25,7231045,117766663.39,20250922,16.26,16.265,16.255000000000003,16.265,16.255000000000003,0.00999999999999801,0.0615384615384493,Narrow,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.09375,32,100171453.16499999,Lower,True,Short
ZIMLAB,EQ,ZIM LABORATORIES LIMITED,75.49,75.69,74.91,75.23,21500,1617331.82,20250922,75.27666666666666,75.3,75.25333333333332,75.3,75.25333333333332,0.04666666666668107,0.06203199078383766,Narrow,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.0625,32,4677002.37,Overlapping,True,No setup
MARATHON,EQ,MARATHON NXTGEN REALT LTD,655.0,685.4,655.0,670.85,206035,138328871.25,20250922,670.4166666666666,670.2,670.6333333333332,670.6333333333332,670.2,0.4333333333331666,0.06459466845541724,Narrow,Bullish,Above CPR,Cash Only,Unclassified,True,False,0.09375,32,54678897.900000006,Higher,True,Long
CPCAP,EQ,CP CAPITAL LIMITED,141.5,141.78,136.05,138.78,20433,2855843.54,20250922,138.87,138.91500000000002,138.825,138.91500000000002,138.825,0.09000000000003183,0.06485084306098274,Narrow,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.09375,32,2355634.455,Lower,True,Short
MOTILALOFS,EQ,MOTILAL OSWAL FIN LTD,943.45,962.0,940.45,950.3,766897,732235124.35,20250922,950.9166666666666,951.225,950.6083333333332,951.225,950.6083333333332,0.6166666666667879,0.06489178855801199,Narrow,Bearish,Below CPR,Cash Only,Financial Services,False,True,0.15625,32,701107321.65,Higher,True,No setup
AUROPHARMA,EQ,AUROBINDO PHARMA LTD,1120.1,1127.0,1110.0,1117.4,1491052,1667241516.1,20250922,1118.1333333333334,1118.5,1117.7666666666669,1118.5,1117.7666666666669,0.7333333333331211,0.0656285424497155,Narrow,Bearish,Below CPR,Cash Only,Healthcare,False,True,0.1875,32,1080123633.3000002,Lower,True,Short
DOMS,EQ,DOMS INDUSTRIES LIMITED,2629.9,2640.0,2600.0,2622.6,34106,89389268.3,20250922,2620.866666666667,2620.0,2621.7333333333336,2621.7333333333336,2620.0,1.7333333333335759,0.06609217316150294,Narrow,Bullish,Above CPR,Cash Only,Fast Moving Consumer Goods,True,False,0.1875,32,142769536.39999998,Higher,True,Long
RITCO,EQ,RITCO LOGISTICS LIMITED,275.0,275.0,268.35,271.95,32390,8787708.05,20250922,271.76666666666665,271.675,271.8583333333333,271.8583333333333,271.675,0.18333333333328028,0.06741435312861935,Narrow,Bullish,Above CPR,Cash Only,Unclassified,True,False,0.0625,32,10112569.55,Lower,True,No setup
NILKAMAL,EQ,NILKAMAL LIMITED,1576.5,1593.0,1560.0,1578.1,4062,6393997.2,20250922,1577.0333333333335,1576.5,1577.566666666667,1577.566666666667,1576.5,1.0666666666670608,0.06759182983759336,Narrow,Bullish,Above CPR,Cash Only,Unclassified,True,False,0.0625,32,6667439.0,Higher,True,Long
DNAMEDIA,EQ,DILIGENT MEDIA CORP LTD.,4.79,5.04,4.79,4.91,49107,241887.92,20250922,4.913333333333333,4.915,4.911666666666666,4.915,4.911666666666666,0.0033333333333338544,0.06788866259335752,Narrow,Bearish,Below CPR,Cash Only,Unclassified,False,True,0.03125,32,445016.515,Inside,True,No setup
PHOENIXLTD,EQ,THE PHOENIX MILLS LTD,1639.6,1655.0,1625.0,1638.3,594622,975744289.2,20250922,1639.4333333333334,1640.0,1638.8666666666668,1640.0,1638.8666666666668,1.133333333333212,0.06917739933670342,Narrow,Bearish,Below CPR,Cash Only,Realty,False,True,0.125,32,978383253.7,Higher,True,No setup
