SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation
DIAMINESQ,EQ,DIAMINES & CHEMICALS LTD,331.2,339.3,313.85,316.15,11909,3837507.75,20250930,353.95,324.0,326.3,334.75,338.975,330.525,338.975,330.525,8.450000000000045,2.5896414342629623,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.972972972972973,38,1531730.775,False,False,Lower,True,Risk Off,False,Bearish Virgin,13.746428571428575,,,0.6147051182125258,2.5053408945184903,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
FSL,EQ,FIRSTSOURCE SOLU. LTD.,332.3,335.6,321.3,328.8,1924704,632531011.45,20250930,355.0,323.05,326.35,334.8,339.025,330.57500000000005,339.025,330.57500000000005,8.449999999999932,2.5892446759613703,Wide,Bearish,Below CPR,Cash Only,Services,True,False,False,1.0,38,292067308.5,False,False,Lower,True,Risk Off,False,Bearish Virgin,11.092857142857131,,,0.7617514488087519,2.1657028809508136,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
ZUARIIND,EQ,ZUARI INDUSTRIES LIMITED,375.1,382.7,356.0,360.8,885872,322841372.9,20250930,395.85,359.0,363.6,372.81666666666666,377.425,368.2083333333333,377.425,368.2083333333333,9.216666666666697,2.534836817015043,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.918918918918919,38,61929217.925,False,False,Lower,True,Risk Off,False,None,23.449999999999996,,,0.39303482587064814,5.213070400646433,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
SBCL,EQ,SHIVALIK BIMETAL CON. LTD,502.25,516.2,495.55,500.0,191987,97646829.1,20250930,552.0,489.0,501.9,514.3000000000001,520.5,508.10000000000014,520.5,508.10000000000014,12.399999999999864,2.470611675632569,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,1.0,38,32920774.75,False,False,Lower,True,Risk Off,False,Bearish Virgin,21.132142857142856,,,0.586783843163759,2.966115768584699,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
DBEIL,EQ,DEEPAK BUILDERS & ENG I L,170.5,177.11,170.5,171.95,103451,17949223.99,20250930,185.6,167.09,170.09,174.26,176.345,172.17499999999998,176.345,172.17499999999998,4.170000000000016,2.4516432476924073,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.972972972972973,38,6693884.994999999,False,False,Higher,True,Risk Off,False,Bullish Virgin,9.682142857142853,,,0.43068978236813166,2.6814359678134867,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
DCI,EQ,DC INFOTECH AND COMUN LTD,265.1,272.6,256.0,256.97,34487,9010947.06,20250930,284.99,265.0,265.27,271.75333333333333,274.995,268.51166666666666,274.995,268.51166666666666,6.4833333333333485,2.4440507156230815,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.9459459459459459,38,6421520.855,False,False,Lower,True,Risk Off,False,Bearish Virgin,20.87642857142857,,,0.31055758944355183,1.4032418898061805,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
FILATFASH,EQ,FILATEX FASHIONS LIMITED,0.55,0.57,0.54,0.54,59414273,32837508.04,20250930,0.59,0.55,0.55,0.5633333333333334,0.5700000000000001,0.5566666666666666,0.5700000000000001,0.5566666666666666,0.01333333333333342,2.4242424242424394,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,0.9459459459459459,38,17538885.25,False,False,Lower,True,Risk Off,False,Bearish Virgin,0.0407142857142857,,,0.32748538011696127,1.8722688227862143,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
E2E,EQ,E2E NETWORKS LIMITED,3289.1,3351.2,3171.0,3204.3,116753,378796854.5,20250930,3570.0,3278.3,3305.6,3384.633333333333,3424.15,3345.1166666666663,3424.15,3345.1166666666663,79.03333333333376,2.390892223297851,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,1.0,38,206788377.85,False,False,Outside,True,Risk Off,False,Bearish Virgin,187.47857142857146,,,0.42155928931560654,1.8318092072600491,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
NEXTMEDIA,EQ,NEXT MEDIAWORKS LIMITED,6.3,6.52,6.24,6.3,8623,54169.97,20250930,6.84,6.21,6.3,6.45,6.525,6.375,6.525,6.375,0.15000000000000036,2.3809523809523867,Wide,Bearish,Below CPR,Cash Only,Media & Entertainment,False,False,False,1.0,38,45490.4,False,False,Higher,True,Risk Off,False,None,0.3271428571428573,,,0.45851528384279566,1.1908000369308689,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
ASTRAMICRO,EQ,ASTRA MICROWAVE LTD,1005.1,1012.0,973.0,983.9,410315,405524750.5,20250930,1081.4,983.1,996.8,1020.4333333333334,1032.25,1008.6166666666668,1032.25,1008.6166666666668,23.633333333333212,2.370920278223637,Wide,Bearish,Below CPR,Cash Only,Diversified,False,False,False,1.0,38,398768122.65,False,False,Lower,True,Risk Off,False,Bearish Virgin,50.01428571428575,,,0.4725316576216292,1.0169437511832669,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed
