SYMBOL,Industry,CLOSE,Pivot,BC,TC,CPR_Width_Pct,Width_Rank_Pct,Overlay,Setup,Own_Narrow,Bias,Price_Position,Segment
KAMOPAINTS,Unclassified,9.38,9.38,9.379999999999999,9.380000000000003,3.78754123539499e-14,1.0,Unknown,No setup,False,Bullish,Inside CPR,Cash Only
MSTCLTD,Unclassified,473.65,474.4666666666667,474.875,474.0583333333334,0.17241985995283565,1.0,Unknown,No setup,False,Bearish,Below CPR,Cash Only
KFINTECH,Financial Services,1110.9,1112.8,1113.75,1111.85,0.1710324961742813,1.0,Unknown,No setup,False,Bearish,Below CPR,Cash Only
NAGAFERT,Unclassified,5.87,5.86,5.855,5.865,0.1703577512776795,1.0,Unknown,No setup,False,Bullish,Above CPR,Cash Only
SIKKO,Unclassified,72.83,72.95333333333333,73.015,72.89166666666667,0.1693441347430109,1.0,Unknown,No setup,False,Bearish,Below CPR,Cash Only
CHOLAHLDNG,Financial Services,1794.6,1791.5666666666666,1790.05,1793.0833333333333,0.16902559530443012,1.0,Unknown,No setup,False,Bullish,Above CPR,Cash Only
CSBBANK,Unclassified,435.2,434.4666666666667,434.1,434.83333333333337,0.1685049019607878,1.0,Unknown,No setup,False,Bullish,Above CPR,Cash Only
MAMATA,Unclassified,465.2,464.4166666666667,464.025,464.8083333333334,0.16838635712240257,1.0,Unknown,No setup,False,Bullish,Above CPR,Cash Only
UMESLTD,Unclassified,5.95,5.96,5.965,5.955,0.1680672268907527,1.0,Unknown,No setup,False,Bearish,Below CPR,Cash Only
LICI,Financial Services,892.75,894.25,895.0,893.5,0.16802016241949033,1.0,Unknown,No setup,False,Bearish,Below CPR,Cash Only
HAVELLS,Consumer Durables,1488.7,1491.2,1492.45,1489.95,0.16793175253576947,1.0,Unknown,No setup,False,Bearish,Below CPR,Cash Only
LIBAS,Unclassified,11.98,11.959999999999999,11.95,11.969999999999999,0.16694490818029692,1.0,Unknown,No setup,False,Bullish,Above CPR,Cash Only
IMFA,Unclassified,710.7,711.8833333333333,712.475,711.2916666666666,0.16650250926317628,1.0,Unknown,No setup,False,Bearish,Below CPR,Cash Only
HBLENGINE,Capital Goods,602.5,603.5,604.0,603.0,0.16597510373443983,1.0,Unknown,No setup,False,Bearish,Below CPR,Cash Only
ATL,Unclassified,30.24,30.289999999999996,30.314999999999998,30.264999999999993,0.16534391534392945,1.0,Unknown,No setup,False,Bearish,Below CPR,Cash Only
RHL,Unclassified,272.7,272.25,272.025,272.475,0.1650165016501817,1.0,Unknown,No setup,False,Bullish,Above CPR,Cash Only
ESAFSFB,Unclassified,30.34,30.39,30.415,30.365000000000002,0.1647989452867408,1.0,Unknown,No setup,False,Bearish,Below CPR,Cash Only
COFFEEDAY,Unclassified,34.62,34.67666666666667,34.705,34.64833333333334,0.16368187945308427,1.0,Unknown,No setup,False,Bearish,Below CPR,Cash Only
ALLCARGO,Unclassified,34.77,34.826666666666675,34.855000000000004,34.798333333333346,0.16297574537433923,1.0,Unknown,No setup,False,Bearish,Below CPR,Cash Only
CHEMBONDCH,Unclassified,176.43,176.14333333333335,176.0,176.2866666666667,0.162481815261968,1.0,Unknown,No setup,False,Bullish,Above CPR,Cash Only
