SYMBOL,Industry,CLOSE,Pivot,BC,TC,CPR_Width_Pct,Width_Rank_Pct,Overlay,Setup,Own_Narrow,Bias,Price_Position,Segment
AKUMS,Unclassified,487.6,487.6000000000001,487.6,487.60000000000014,2.331559428252995e-14,0.16666666666666666,Higher,No setup,False,Bullish,Inside CPR,Cash Only
RCF,Unclassified,147.64,147.47333333333333,147.39,147.55666666666667,0.11288720310666867,0.16666666666666666,Higher,No setup,False,Bullish,Above CPR,Cash Only
RIIL,Unclassified,846.0,846.9499999999999,847.425,846.4749999999999,0.11229314420804319,0.16666666666666666,Inside,No setup,False,Bearish,Below CPR,Cash Only
WEALTH,Unclassified,1254.9,1256.3,1257.0,1255.6,0.11156267431668586,0.16666666666666666,Inside,No setup,False,Bearish,Below CPR,Cash Only
DEEPINDS,Unclassified,538.4,537.8000000000001,537.5,538.1000000000001,0.11144130757803426,0.16666666666666666,Lower,No setup,False,Bullish,Above CPR,Cash Only
NAGREEKCAP,Unclassified,26.93,26.959999999999997,26.975,26.944999999999993,0.11139992573341345,0.16666666666666666,Higher,No setup,False,Bearish,Below CPR,Cash Only
NATIONALUM,Metals & Mining,189.94,189.73000000000002,189.625,189.83500000000004,0.11056122986208086,0.16666666666666666,Higher,No setup,False,Bullish,Above CPR,Cash Only
POWERINDIA,Capital Goods,21120.0,21096.666666666668,21085.0,21108.333333333336,0.11047979797980947,0.16666666666666666,Inside,No setup,False,Bullish,Above CPR,Cash Only
NIITLTD,Unclassified,112.65,112.77333333333335,112.83500000000001,112.7116666666667,0.1094836514277021,0.16666666666666666,Overlapping,No setup,False,Bearish,Below CPR,Cash Only
QGOLDHALF,Unclassified,83.0,83.08999999999999,83.13499999999999,83.04499999999999,0.10843373493976313,0.16666666666666666,Inside,No setup,False,Bearish,Below CPR,Cash Only
GODREJPROP,Realty,1960.1,1962.2,1963.25,1961.15,0.10713739094943672,0.16666666666666666,Inside,No setup,False,Bearish,Below CPR,Cash Only
NYKAA,Consumer Services,215.04,215.26999999999998,215.385,215.15499999999997,0.1069568452381037,0.16666666666666666,Higher,No setup,False,Bearish,Below CPR,Cash Only
HAVELLS,Consumer Durables,1465.9,1467.4333333333334,1468.2,1466.6666666666667,0.10460013188712074,0.16666666666666666,Overlapping,No setup,False,Bearish,Below CPR,Cash Only
GOLDIAM,Unclassified,367.0,366.6166666666666,366.42499999999995,366.8083333333333,0.10445049954586534,0.16666666666666666,Lower,No setup,False,Bullish,Above CPR,Cash Only
SUNFLAG,Unclassified,305.65,305.96666666666664,306.125,305.8083333333333,0.10360434047659733,0.16666666666666666,Higher,No setup,False,Bearish,Below CPR,Cash Only
AMBUJACEM,Construction Materials,580.85,581.4499999999999,581.75,581.1499999999999,0.10329689248517455,0.16666666666666666,Lower,No setup,False,Bearish,Below CPR,Cash Only
ISFT,Unclassified,100.85,100.96666666666665,101.025,100.9083333333333,0.11568335812266006,0.16666666666666666,Higher,No setup,False,Bearish,Below CPR,Cash Only
VERTOZ,Unclassified,88.91,89.01333333333332,89.065,88.96166666666664,0.11622239718069177,0.16666666666666666,Higher,No setup,False,Bearish,Below CPR,Cash Only
DREDGECORP,Unclassified,655.05,654.2833333333333,653.9,654.6666666666666,0.1170394117497369,0.16666666666666666,Inside,No setup,False,Bullish,Above CPR,Cash Only
KIRLOSENG,Capital Goods,905.0,906.0666666666666,906.6,905.5333333333332,0.11786372007368325,0.16666666666666666,Higher,No setup,False,Bearish,Below CPR,Cash Only
