TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-08-17,2026-08-17,CM,NSE,STK,24809,INE00U401027,UNIECOM,EQ,,,,,UNICOMMERCE ESOLUTIONS L,84.5,85.39,84.01,84.95,85.04,86.05,,84.95,,,296032,25090430.16,3414,F1,1,,,,,,Cash Only,Unclassified,False,84.78333333333335,84.7,84.86666666666669,84.86666666666669,84.7,0.16666666666668561,0.1961938395134616,Narrow,Bullish,Above CPR,True,False,0.2,60,22593264.33,Lower,True,Risk Off,True,2.761428571428572,87.17479999999999,89.2239,0.06035523366098288,1.1105270045765008,False,False,No setup,0,0,0,0
2026-08-17,2026-08-17,CM,NSE,STK,1023,INE171A01029,FEDERALBNK,EQ,,,,,FEDERAL BANK LTD,351.25,356.45,349.65,354.1,354.1,351.3,,354.1,,,3616352,1278875467.25,46028,F1,1,,,,,,F&O + Cash,Financial Services,True,353.3999999999999,353.04999999999995,353.7499999999999,353.7499999999999,353.04999999999995,0.6999999999999318,0.1976842699802123,Narrow,Bullish,Above CPR,True,False,0.4166666666666667,60,1967790543.0,Higher,True,Risk Off,False,6.885714285714284,337.786,311.598,0.10165975103733452,0.6499042653697721,True,True,No setup,0,0,0,0
2026-08-17,2026-08-17,CM,NSE,STK,10473,INE211R01019,POWERMECH,EQ,,,,,POWER MECH PROJECTS LTD.,2440.0,2472.0,2418.0,2452.3,2451.0,2455.2,,2452.24,,,50868,124454815.6,8715,F1,1,,,,,,Cash Only,Unclassified,False,2447.4333333333334,2445.0,2449.866666666667,2449.866666666667,2445.0,4.866666666666788,0.1984531528225253,Narrow,Bullish,Above CPR,True,False,0.18333333333333332,60,188858819.05,Lower,True,Risk Off,True,77.78571428571435,2635.402,2485.386,0.06256504438322771,0.6589833412388904,False,False,No setup,0,-2,0,-2
2026-08-17,2026-08-17,CM,NSE,STK,14972,INE455I01029,KSCL,EQ,,,,,KAVERI SEED CO. LTD.,779.0,779.0,761.0,772.3,772.1,779.95,,772.3,,,112764,86801529.9,6601,F1,1,,,,,,Cash Only,Unclassified,False,770.7666666666668,770.0,771.5333333333335,771.5333333333335,770.0,1.5333333333335304,0.1985411541283867,Narrow,Bullish,Above CPR,True,False,0.15,60,66294079.45,Inside,True,Risk Off,True,26.996428571428574,847.705,876.75,0.056797636371661395,1.3093406020588465,False,False,No setup,0,0,0,0
2026-08-17,2026-08-17,CM,NSE,STK,762971,INE731F01037,WELSPLSOL,EQ,,,,,WELSPUN SPECIALTY SOL L,48.99,48.99,47.66,48.47,48.42,47.96,,48.47,,,156824,7584251.87,1186,F1,1,,,,,,Cash Only,Unclassified,False,48.373333333333335,48.325,48.42166666666667,48.42166666666667,48.325,0.09666666666666401,0.19943607729866727,Narrow,Bullish,Above CPR,True,False,0.18333333333333332,60,28957192.625,Higher,True,Risk Off,True,1.4814285714285707,52.93,,0.06525233044037111,0.26191253994187913,False,False,No setup,0,0,0,0
2026-08-17,2026-08-17,CM,NSE,STK,445,INE618L01018,5PAISA,EQ,,,,,5PAISA CAPITAL LIMITED,385.65,385.8,373.5,380.8,379.0,383.8,,380.81,,,41349,15709414.45,2412,F1,1,,,,,,Cash Only,Unclassified,False,380.0333333333333,379.65,380.41666666666663,380.41666666666663,379.65,0.7666666666666515,0.2013305322128812,Narrow,Bullish,Above CPR,True,False,0.18333333333333332,60,15276162.55,Lower,True,Risk Off,True,13.19285714285713,357.353,335.10769999999997,0.05811225410575599,1.0283613046523912,True,True,No setup,0,0,0,0
2026-08-17,2026-08-17,CM,NSE,STK,21401,INF277KA1976,TATAGOLD,EQ,,,,,TATAAML-TATAGOLD,14.99,14.99,14.62,14.85,14.85,14.7,,14.85,,,38594049,573166966.0,86426,F1,1,,,,,,Cash Only,Unclassified,False,14.82,14.805,14.835,14.835,14.805,0.030000000000001137,0.2020202020202097,Narrow,Bullish,Above CPR,True,False,0.3,60,658201370.425,Higher,True,Risk Off,False,0.2892857142857145,14.068999999999999,14.3629,0.10370370370370756,0.8708079195123928,True,True,No setup,0,0,0,0
2026-08-17,2026-08-17,CM,NSE,STK,8953,INE668G01021,ELDEHSG,EQ,,,,,ELDECO HSG & IND LTD.,759.3,775.0,751.05,765.35,775.0,759.3,,765.21,,,989,758188.15,66,F1,1,,,,,,Cash Only,Unclassified,False,763.8000000000001,763.025,764.5750000000002,764.5750000000002,763.025,1.550000000000182,0.20252172208795738,Narrow,Bullish,Above CPR,True,False,0.15,60,694721.225,Inside,True,Risk Off,True,43.935714285714305,788.4010000000001,802.7,0.03527881645261346,1.0913559608028387,False,False,No setup,0,0,0,0
2026-08-17,2026-08-17,CM,NSE,STK,758973,INE01R501028,VIKRAN,EQ,,,,,VIKRAN ENGINEERING LTD,62.3,63.24,61.46,62.54,62.6,62.22,,62.54,,,1272850,79375752.72,7057,F1,1,,,,,,Cash Only,Unclassified,False,62.413333333333334,62.35,62.47666666666667,62.47666666666667,62.35,0.12666666666666515,0.20253704295917035,Narrow,Bullish,Above CPR,True,False,0.18333333333333332,60,143915442.96499997,Lower,True,Risk Off,True,2.4092857142857134,71.8154,69.9615,0.052574365055834946,0.5515443727557721,False,False,No setup,0,0,0,0
2026-08-17,2026-08-17,CM,NSE,STK,471,INE143A01010,OSWALGREEN,EQ,,,,,OSWAL GREENTECH LIMITED,21.0,21.45,20.58,21.08,21.41,20.99,,21.08,,,65720,1370357.43,536,F1,1,,,,,,Cash Only,Unclassified,False,21.036666666666665,21.015,21.05833333333333,21.05833333333333,21.015,0.04333333333332945,0.20556609740668622,Narrow,Bullish,Above CPR,True,False,0.18333333333333332,60,2973333.545,Lower,True,Risk Off,True,1.0585714285714285,22.2038,24.068599999999996,0.04093567251461622,0.4608825109125118,False,False,No setup,0,0,-2,-2
2026-08-17,2026-08-17,CM,NSE,STK,762782,INE435D01014,MCCHRLS-B,EQ,,,,,MAC CHARLES (INDIA) LTD.,700.0,700.0,650.0,677.1,679.95,679.35,,680.59,,,223,148300.35,27,F1,1,,,,,,Cash Only,Unclassified,False,675.6999999999999,675.0,676.3999999999999,676.3999999999999,675.0,1.3999999999998636,0.20676414119035055,Narrow,Bullish,Above CPR,True,False,0.16666666666666666,60,87428.95,Lower,True,Risk Off,True,36.20714285714286,693.73,,0.038666403629903506,1.696238488509813,False,False,No setup,0,0,0,0
