TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Industry,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup
2026-08-13,2026-08-13,CM,NSE,STK,13342,INE051B01021,VAKRANGEE,EQ,,,,,VAKRANGEE LIMITED,5.95,5.98,5.92,5.95,5.97,5.95,,5.95,,,490760,2920906.39,921,F1,1,,,,,,Cash Only,5.95,5.95,5.95,5.95,5.95,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,Unclassified,0.03389830508474576,59,7363285.05,Lower,False,No setup
2026-08-13,2026-08-13,CM,NSE,STK,14501,INE050E01027,BALAMINES,EQ,,,,,BALAJI AMINES LIMITED,2081.0,2116.7,2075.1,2095.9,2088.0,2080.9,,2096.04,,,56785,119090991.6,6794,F1,1,,,,,,Cash Only,2095.8999999999996,2095.8999999999996,2095.8999999999996,2095.8999999999996,2095.8999999999996,0.0,0.0,Narrow,Neutral,Above CPR,False,False,Unclassified,0.01694915254237288,59,475592656.9,Inside,False,No setup
2026-08-13,2026-08-13,CM,NSE,STK,762879,INE318C01014,SAYAJIHOTL,EQ,,,,,SAYAJI HOTELS LTD.,325.0,325.0,325.0,325.0,325.0,328.0,,325.5,,,6,1950.0,2,F1,1,,,,,,Cash Only,325.0,325.0,325.0,325.0,325.0,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,Unclassified,0.13829787234042554,47,23426.05,Lower,False,No setup
2026-08-13,2026-08-13,CM,NSE,STK,762807,INE166R01015,NATIONSTD,EQ,,,,,NATIONAL STAND (INDIA) L,156.28,156.28,156.28,156.28,156.28,164.5,,156.29,,,2903,453680.84,131,F1,1,,,,,,Cash Only,156.28,156.28,156.28,156.28,156.28,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,Unclassified,0.20689655172413793,58,451941.02,Lower,False,No setup
2026-08-13,2026-08-13,CM,NSE,STK,8054,INE614B01018,KTKBANK,EQ,,,,,KARNATAKA BANK LIMITED,314.7,314.8,310.7,312.75,312.8,313.7,,312.74,,,1143552,357214219.9,23331,F1,1,,,,,,Cash Only,312.75,312.75,312.75,312.75,312.75,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,Unclassified,0.01694915254237288,59,591927789.85,Higher,False,No setup
2026-08-13,2026-08-13,CM,NSE,STK,762812,INE605D01012,NEAGI,EQ,,,,,NEELAMALAI AGRO INDS. L,3138.4,3138.4,3138.4,3138.4,3138.4,3138.4,,3074.7,,,2,6276.8,1,F1,1,,,,,,Cash Only,3138.4,3138.4,3138.4,3138.4,3138.4,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,Unclassified,0.1702127659574468,47,34102.5,Inside,False,No setup
2026-08-13,2026-08-13,CM,NSE,STK,23507,INE899L01030,UEL,EQ,,,,,UJAAS ENERGY LIMITED,246.5,246.5,246.5,246.5,246.5,259.47,,246.52,,,5917,1458540.5,195,F1,1,,,,,,Cash Only,246.5,246.5,246.5,246.5,246.5,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,Unclassified,0.0423728813559322,59,944187.3,Lower,False,No setup
2026-08-13,2026-08-13,CM,NSE,STK,762523,INE365O01028,ABANSENT,EQ,,,,,ABANS ENTERPRISES LTD.,28.94,28.94,28.94,28.94,28.94,27.57,,28.94,,,9242,267463.48,35,F1,1,,,,,,Cash Only,28.94,28.94,28.94,28.94,28.94,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,Unclassified,0.3333333333333333,3,267463.48,Higher,False,No setup
2026-08-13,2026-08-13,CM,NSE,STK,9867,INE747B01016,NEXTMEDIA,EQ,,,,,NEXT MEDIAWORKS LIMITED,3.79,3.87,3.79,3.83,3.86,3.79,,3.83,,,9709,37281.46,63,F1,1,,,,,,Cash Only,3.83,3.83,3.83,3.83,3.83,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,Unclassified,0.025423728813559324,59,30731.66,Higher,False,No setup
2026-08-13,2026-08-13,CM,NSE,STK,21840,INE393P01035,DIAMONDYD,EQ,,,,,PRATAAP SNACKS LIMITED,1192.8,1196.6,1171.8,1184.2,1178.0,1192.6,,1183.82,,,11928,14105902.0,706,F1,1,,,,,,Cash Only,1184.1999999999998,1184.1999999999998,1184.1999999999998,1184.1999999999998,1184.1999999999998,0.0,0.0,Narrow,Neutral,Above CPR,False,False,Unclassified,0.01694915254237288,59,24308250.4,Lower,False,No setup
