SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Applies,Timeframe,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
20MICRONS,20260731,203.94,217.9,190.0,192.46,1019668459.15,20 MICRONS LTD,20260731,200.12,203.95,196.29000000000002,203.95,196.29000000000002,7.659999999999968,3.9800478021406875,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.6666666666666666,12,475102916.405,Outside,True,Neutral,False,,,,,2.1462054303215155,False,False,No setup,Aug 2026,Monthly,0,0,0,0
21STCENMGM,20260731,32.39,40.17,30.6,40.17,4806094.46,21ST CENTURY MGMT SERVICE,20260731,36.980000000000004,35.385000000000005,38.575,38.575,35.385000000000005,3.1899999999999977,7.941249688822498,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.9166666666666666,12,3614103.615,Higher,True,Neutral,False,,,,,1.329816455746524,False,False,No setup,Aug 2026,Monthly,0,0,0,0
360ONE,20260731,1074.5,1170.0,1060.6,1135.3,37842030384.1,360 ONE WAM LIMITED,20260731,1121.9666666666665,1115.3,1128.633333333333,1128.633333333333,1115.3,13.33333333333303,1.174432602249012,Wide,Bullish,Above CPR,Financial Services,True,False,False,0.25,12,18178169747.6,Higher,True,Neutral,True,,,,,2.0817293990279824,False,False,Long,Aug 2026,Monthly,0,2,0,0
3BBLACKBIO,20260731,1170.0,1321.9,1125.0,1247.1,338614086.0,3B BLACKBIO DX LTD.,20260731,1231.3333333333333,1223.45,1239.2166666666665,1239.2166666666665,1223.45,15.766666666666424,1.264266431454288,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.25,4,295430377.8,Inside,False,Neutral,False,,,,,1.146172199763541,False,False,No setup,Aug 2026,Monthly,0,0,0,0
3IINFOLTD,20260731,17.2,23.32,17.0,23.21,435210239.65999997,3I INFOTECH LIMITED,20260731,21.176666666666666,20.16,22.19333333333333,22.19333333333333,20.16,2.0333333333333314,8.760591698980317,Wide,Bullish,Above CPR,Unclassified,False,False,False,1.0,12,167258355.20499998,Higher,True,Neutral,False,,,,,2.602023911610186,False,False,No setup,Aug 2026,Monthly,0,0,0,0
3MINDIA,20260731,33100.0,36880.0,33040.0,34615.0,3587039655.0,3M INDIA LIMITED,20260731,34845.0,34960.0,34730.0,34960.0,34730.0,230.0,0.6644518272425249,Moderate,Bearish,Below CPR,Diversified,True,False,False,0.3333333333333333,12,2969808985.0,Higher,True,Neutral,False,,,,,1.2078351412893984,False,False,No setup,Aug 2026,Monthly,0,0,0,0
3PLAND,20260731,32.0,34.5,31.0,31.7,2523584.65,3P LAND HOLDINGS LIMITED,20260731,32.4,32.75,32.05,32.75,32.05,0.7000000000000028,2.208201892744489,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.25,12,4819785.285,Overlapping,True,Neutral,True,,,,,0.523588604217252,False,False,No setup,Aug 2026,Monthly,0,0,0,0
5PAISA,20260731,353.45,400.0,344.0,348.6,691596575.55,5PAISA CAPITAL LIMITED,20260731,364.2,372.0,356.4,372.0,356.4,15.600000000000023,4.475043029259903,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.6666666666666666,12,502934278.175,Higher,True,Neutral,False,,,,,1.3751231633278203,False,False,No setup,Aug 2026,Monthly,0,0,0,0
63MOONS,20260731,653.6,950.0,650.0,931.4,27478384154.45,63 MOONS TECHNOLOGIES LTD,20260731,843.8000000000001,800.0,887.6000000000001,887.6000000000001,800.0,87.60000000000014,9.4051964784196,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.8333333333333334,12,2530892364.15,Higher,True,Neutral,False,,,,,10.857191931067607,False,False,No setup,Aug 2026,Monthly,0,0,0,0
A2ZINFRA,20260731,13.83,15.95,12.0,15.55,92771490.64,A2Z INFRA ENGINEERING LTD,20260731,14.5,13.975,15.025,15.025,13.975,1.0500000000000007,6.752411575562705,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.8888888888888888,9,67190753.26,Overlapping,True,Neutral,False,,,,,1.38071812174829,False,False,No setup,Aug 2026,Monthly,0,0,0,0
