SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Applies,Timeframe,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
AAKASH,20260814,9.0,9.15,8.38,8.79,4699684.609999999,AAKASH EXPLORATION SER L,20260814,8.773333333333333,8.765,8.781666666666666,8.781666666666666,8.765,0.01666666666666572,0.1896094046264587,Narrow,Bullish,Above CPR,Unclassified,False,True,False,0.18181818181818182,33,3639598.62,Lower,True,Risk Off,True,1.5357142857142858,,,0.010852713178293956,1.2912645323510974,False,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
AARNAV,20260814,30.82,33.4,30.4,31.46,8275227.5,AARNAV FASHIONS LIMITED,20260814,31.75333333333333,31.9,31.606666666666662,31.9,31.606666666666662,0.29333333333333655,0.9324009324009427,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.32,25,8990032.709999999,Higher,True,Risk Off,False,3.4964285714285714,,,0.08389513108614324,0.9204891424694273,False,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
AARON,20260814,134.0,145.0,134.0,135.46,16225747.75,AARON INDUSTRIES LIMITED,20260814,138.15333333333334,139.5,136.80666666666667,139.5,136.80666666666667,2.693333333333328,1.9882868251390284,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.7962962962962963,54,10287831.485,Higher,True,Risk Off,False,11.250714285714286,156.7692,,0.2393922079021433,1.5771786088893156,False,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
AARTIDRUGS,20260814,414.2,453.65,413.4,416.35,990977360.4000001,AARTI DRUGS LTD.,20260814,427.8,433.525,422.07500000000005,433.525,422.07500000000005,11.449999999999932,2.750090068452007,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.9444444444444444,54,292570720.95000005,Higher,True,Risk Off,False,26.989285714285703,408.191,,0.42424242424242187,3.3871378420308735,True,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
AARTIIND,20260814,501.3,541.7,496.05,534.1,6662911919.85,AARTI INDUSTRIES LTD,20260814,523.9499999999999,518.875,529.0249999999999,529.0249999999999,518.875,10.149999999999864,1.9003931847968287,Wide,Bullish,Above CPR,Chemicals,True,False,False,0.8888888888888888,54,1420725560.4499998,Higher,True,Risk Off,False,37.942857142857136,424.18600000000004,,0.2675075301204784,4.689795204176937,True,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
AARTIPHARM,20260814,763.0,932.6,763.0,851.2,20039029619.95,AARTI PHARMALABS LIMITED,20260814,848.9333333333334,847.8,850.0666666666668,850.0666666666668,847.8,2.266666666666879,0.2662907268170675,Moderate,Bullish,Above CPR,Unclassified,False,False,False,0.12962962962962962,54,587612132.925,Higher,True,Risk Off,True,69.26785714285715,738.9839999999999,,0.032723210449431606,34.102477632992795,True,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
AARTISURF,20260814,528.0,677.7,500.9,658.55,394278315.55,AARTI SURFACTANTS LIMITED,20260814,612.3833333333333,589.3,635.4666666666667,635.4666666666667,589.3,46.16666666666674,7.010351023713726,Wide,Bullish,Above CPR,Unclassified,False,False,False,1.0,49,16853470.05,Higher,True,Risk Off,False,49.792857142857144,,,0.9271744847702401,23.39448875396435,False,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
AARVI,20260814,152.11,159.5,150.0,153.47,24967266.55,AARVI ENCON LIMITED,20260814,154.32333333333335,154.75,153.8966666666667,154.75,153.8966666666667,0.8533333333332962,0.5560261506048715,Moderate,Bearish,Below CPR,Unclassified,False,False,False,0.25925925925925924,54,12317003.684999999,Lower,True,Risk Off,False,15.71285714285714,131.4388,,0.05430796739097258,2.0270568385398677,True,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
AASTHA,20260814,75.5,77.7,70.0,74.31,378494459.98,AASTHA SPINTEX LIMITED,20260814,74.00333333333333,73.85,74.15666666666667,74.15666666666667,73.85,0.30666666666667197,0.41268559637555097,Moderate,Bullish,Above CPR,Unclassified,False,False,False,0.25,4,2032595682.77,Lower,False,Risk Off,False,,,,,0.18621237031468638,False,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
AAVAS,20260814,1378.3,1444.5,1365.0,1397.4,655512122.6,AAVAS FINANCIERS LIMITED,20260814,1402.3,1404.75,1399.85,1404.75,1399.85,4.900000000000091,0.3506512093888715,Moderate,Bearish,Below CPR,Financial Services,True,False,False,0.18518518518518517,54,1126169649.1999998,Overlapping,True,Risk Off,True,103.95714285714287,1439.6640000000002,,0.047134808300124544,0.5820722686547786,False,False,No setup,Week 17 Aug – 21 Aug 2026,Weekly,0,0,0,0
