TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Industry,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Nifty500,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
2026-08-13,2026-08-13,CM,NSE,STK,11452,INE421D01022,CCL,EQ,,,,,CCL PRODUCTS (I) LTD,1132.0,1148.4,1129.0,1143.0,1141.0,1135.5,,1142.97,,,64659,73615377.1,6622,F1,1,,,,,,Cash Only,1140.1333333333334,1138.7,1141.5666666666668,1141.5666666666668,1138.7,2.866666666666788,0.2508019830854582,Moderate,Bullish,Above CPR,False,False,Fast Moving Consumer Goods,0.4576271186440678,59,212704290.3,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,10791,INE096B01018,NUCLEUS,EQ,,,,,NUCLEUS SOFTWARE EXPORTS,693.15,746.0,693.0,716.8,715.75,692.75,,716.77,,,191716,137988490.7,9774,F1,1,,,,,,Cash Only,718.6,719.5,717.7,719.5,717.7,1.7999999999999543,0.2511160714285651,Moderate,Bearish,Below CPR,False,True,Diversified,0.3559322033898305,59,20710384.95,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,762563,INE704G01024,BAJAJST,EQ,,,,,BAJAJ STEEL INDS. LTD.,368.0,376.1,367.2,370.25,371.85,367.9,,370.24,,,8371,3104550.8,626,F1,1,,,,,,Cash Only,371.1833333333333,371.65,370.7166666666667,371.65,370.7166666666667,0.9333333333332804,0.2520819266261391,Moderate,Bearish,Below CPR,False,True,Diversified,0.288135593220339,59,4839876.15,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,25,INE423A01024,ADANIENT,EQ,,,,,ADANI ENTERPRISES LIMITED,2986.2,3019.5,2932.8,2964.9,2964.9,2985.7,,2964.88,,,1302957,3860496142.7,53472,F1,1,,,,,,F&O + Cash,2972.4,2976.15,2968.65,2976.15,2968.65,7.5,0.2529596276434281,Moderate,Bearish,Below CPR,False,True,Metals & Mining,0.2711864406779661,59,4832030236.2,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,23066,INE0L9R01028,GOPAL,EQ,,,,,GOPAL SNACKS LIMITED,275.85,277.7,273.5,276.65,274.0,273.4,,276.62,,,144099,39649065.95,5505,F1,1,,,,,,Cash Only,275.95,275.6,276.29999999999995,276.29999999999995,275.6,0.6999999999999318,0.253027290800626,Moderate,Bullish,Above CPR,False,False,Diversified,0.3389830508474576,59,26907682.85,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,21001,INE608A01012,PSB,EQ,,,,,PUNJAB & SIND BANK,23.69,23.9,23.62,23.67,23.7,23.73,,23.67,,,767005,18203359.42,3003,F1,1,,,,,,Cash Only,23.73,23.76,23.700000000000003,23.76,23.700000000000003,0.0599999999999951,0.2534854245880657,Moderate,Bearish,Below CPR,False,True,Banking,0.3898305084745763,59,31019749.06,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,762914,INE438E01032,SIKA,EQ,,,,,SIKA INTERPLANT SYSTEMS L,1120.9,1128.9,1087.5,1104.0,1101.3,1111.6,,1103.94,,,16941,18692833.7,1859,F1,1,,,,,,Cash Only,1106.8,1108.2,1105.4,1108.2,1105.4,2.800000000000182,0.2536231884058135,Moderate,Bearish,Below CPR,False,True,Diversified,0.2372881355932203,59,25921933.5,Overlapping,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,11236,INE220G01021,JSL,EQ,,,,,JINDAL STAINLESS LIMITED,737.0,743.2,733.2,735.4,736.4,737.9,,735.39,,,178766,131759011.75,10711,F1,1,,,,,,Cash Only,737.2666666666668,738.2,736.3333333333335,738.2,736.3333333333335,1.8666666666665608,0.2538301151300735,Moderate,Bearish,Below CPR,False,True,Metals & Mining,0.3559322033898305,59,382556055.65,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,18039,INE837H01020,ADVENZYMES,EQ,,,,,ADVANCED ENZYME TECH LTD,302.95,305.0,299.0,300.85,301.25,301.65,,300.86,,,159628,48108406.3,3523,F1,1,,,,,,Cash Only,301.6166666666667,302.0,301.2333333333333,302.0,301.2333333333333,0.7666666666666515,0.2548335272284033,Moderate,Bearish,Below CPR,False,True,Diversified,0.2711864406779661,59,57943758.1,Outside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-13,2026-08-13,CM,NSE,STK,4306,INE721A01047,SHRIRAMFIN,EQ,,,,,SHRIRAM FINANCE LIMITED,1135.0,1149.0,1124.3,1132.3,1132.3,1117.2,,1132.29,,,3757182,4259550876.4,67036,F1,1,,,,,,F&O + Cash,1135.2,1136.65,1133.75,1136.65,1133.75,2.900000000000091,0.2561158703523881,Moderate,Bearish,Below CPR,False,True,Financial Services,0.3220338983050847,59,4959036926.1,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
