TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
2026-08-17,2026-08-17,CM,NSE,STK,27052,INE0W2G01015,SAGILITY,EQ,,,,,SAGILITY LIMITED,42.28,42.77,42.0,42.4,42.47,42.28,,42.4,,,8743424,370616892.17,31629,F1,1,,,,,,Cash Only,Information Technology,True,42.39000000000001,42.385000000000005,42.39500000000001,42.39500000000001,42.385000000000005,0.0100000000000051,0.0235849056603894,Narrow,Bullish,Above CPR,True,False,0.0333333333333333,60,665437201.335,Inside,True,Risk Off,True,1.341428571428571,41.5348,41.5801,0.0074547390841358,0.5569524688828164,True,True,No setup,0,0,2,2,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-17,2026-08-17,CM,NSE,STK,4306,INE721A01047,SHRIRAMFIN,EQ,,,,,SHRIRAM FINANCE LIMITED,1116.0,1129.7,1112.2,1122.0,1122.0,1122.0,,1121.99,,,2105094,2366277396.1,70389,F1,1,,,,,,F&O + Cash,Financial Services,True,1121.3,1120.95,1121.65,1121.65,1120.95,0.6999999999998181,0.0623885918003402,Narrow,Bullish,Above CPR,True,False,0.0333333333333333,60,4753655161.125,Lower,True,Risk Off,True,26.97857142857145,1038.628,998.433,0.0259465184008404,0.4977806163667952,True,True,No setup,0,0,2,2,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-17,2026-08-17,CM,NSE,STK,13126,INE461B01014,REPRO,EQ,,,,,REPRO INDIA LIMITED,329.6,329.6,320.05,325.15,324.8,324.75,,326.09,,,7982,2587140.65,537,F1,1,,,,,,Cash Only,Diversified,False,324.93333333333334,324.82500000000005,325.04166666666663,325.04166666666663,324.82500000000005,0.2166666666665833,0.0666359116305038,Narrow,Bullish,Above CPR,True,False,0.0666666666666666,60,4536978.25,Higher,True,Risk Off,True,20.44642857142857,364.098,362.5565,0.0105967976710294,0.5702343073828929,False,False,No setup,0,0,2,2,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-17,2026-08-17,CM,NSE,STK,1412,INE415A01038,AGI,EQ,,,,,AGI GREENPAC LIMITED,703.8,730.0,700.0,716.5,716.3,703.8,,716.48,,,186495,134080050.4,9276,F1,1,,,,,,Cash Only,Diversified,False,715.5,715.0,716.0,716.0,715.0,1.0,0.1395673412421493,Narrow,Bullish,Above CPR,True,False,0.1666666666666666,60,67594476.825,Higher,True,Risk Off,True,19.960714285714296,694.0459999999999,632.364,0.0500984075863302,1.9835947653996804,True,True,No setup,0,0,2,2,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,Ready,69,"🪝 J-Curve Ready (The Hook): Support defense at Monthly/Weekly CPR level with institutional absorption (2.0x volume). Coiling inside band (₹715.00 - ₹716.00), closed above Central Pivot (₹715.50). Probe long setup ahead of crowd with invalidation below CPR Bottom (₹715.00)."
2026-08-17,2026-08-17,CM,NSE,STK,6792,INE04AK01028,SBC,EQ,,,,,SBC EXPORTS LIMITED,38.89,39.2,38.11,38.75,38.5,38.6,,38.75,,,6230439,242645010.51,10673,F1,1,,,,,,Cash Only,Diversified,False,38.68666666666667,38.655,38.71833333333333,38.71833333333333,38.655,0.0633333333333325,0.1634408602150518,Narrow,Bullish,Above CPR,True,False,0.35,60,389274813.05,Overlapping,True,Risk Off,False,1.9407142857142876,40.9372,37.4704,0.0326340326340322,0.6233257389782207,False,True,No setup,0,0,2,2,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-17,2026-08-17,CM,NSE,STK,11549,INE435C01024,TEXINFRA,EQ,,,,,TEXMACO INFRA & HOLDG LTD,106.92,108.78,106.2,107.85,107.2,107.81,,107.84,,,98346,10592683.89,1073,F1,1,,,,,,Cash Only,Real Estate & Infra,False,107.61,107.49,107.73000000000002,107.73000000000002,107.49,0.2400000000000091,0.2225312934631516,Narrow,Bullish,Above CPR,True,False,0.45,60,10718109.7,Lower,True,Risk Off,False,2.905714285714286,110.1076,104.1315,0.0825958702064928,0.9882977676558024,False,True,No setup,0,0,2,2,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-17,2026-08-17,CM,NSE,STK,21614,INE674K01013,ABCAPITAL,EQ,,,,,ADITYA BIRLA CAPITAL LTD.,399.2,400.2,394.5,398.7,398.7,401.0,,398.71,,,1969174,782956240.0,36386,F1,1,,,,,,F&O + Cash,Financial Services,True,397.8,397.35,398.25,398.25,397.35,0.8999999999999773,0.2257336343115067,Narrow,Bullish,Above CPR,True,False,0.3,60,1170424744.925,Lower,True,Risk Off,False,10.892857142857135,393.098,367.0455,0.0826229508196701,0.6689505185146879,True,True,No setup,0,0,2,2,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-17,2026-08-17,CM,NSE,STK,2481,INE229A01017,ONWARDTEC,EQ,,,,,ONWARD TECHNOLOGIES LTD,284.0,289.3,282.2,286.75,287.65,284.05,,286.57,,,29858,8569102.15,918,F1,1,,,,,,Cash Only,Diversified,False,286.0833333333333,285.75,286.41666666666663,286.41666666666663,285.75,0.6666666666666288,0.232490555071187,Narrow,Bullish,Above CPR,True,False,0.2333333333333333,60,15028043.015,Higher,True,Risk Off,True,8.700000000000005,278.824,264.7393,0.076628352490417,0.5702074542538166,True,True,No setup,0,0,2,2,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-17,2026-08-17,CM,NSE,STK,18962,INE451D01029,RAJRATAN,EQ,,,,,RAJRATAN GLOBAL WIRE LTD,518.0,520.0,508.15,516.8,520.0,515.8,,516.73,,,61508,31590996.45,3306,F1,1,,,,,,Cash Only,Diversified,False,514.9833333333333,514.075,515.8916666666667,515.8916666666667,514.075,1.816666666666606,0.3515221878224857,Moderate,Bullish,Above CPR,False,False,0.3,60,38013317.5,Lower,True,Risk Off,False,21.23928571428572,479.842,444.5955,0.0855333221231965,0.8310507613548856,True,True,No setup,0,0,2,2,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
2026-08-17,2026-08-17,CM,NSE,STK,14732,INE271C01023,DLF,EQ,,,,,DLF LIMITED,666.7,674.9,659.5,671.0,671.0,665.0,,671.1,,,3046267,2037856665.6,37041,F1,1,,,,,,F&O + Cash,Realty,True,668.4666666666667,667.2,669.7333333333333,669.7333333333333,667.2,2.533333333333303,0.3775459513164386,Moderate,Bullish,Above CPR,False,False,0.35,60,2187081802.225,Higher,True,Risk Off,False,15.575000000000005,642.1370000000001,608.5790000000001,0.1626538255751718,0.9317697506909948,True,True,No setup,0,0,2,2,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
