SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup
GPTHEALTH,EQ,GPT HEALTHCARE LIMITED,141.5,143.19,140.81,142.01,203992,28915575.56,20251125,142.00333333333333,142.0,142.00666666666666,142.00666666666666,142.0,0.006666666666660603,0.004694505081797482,Narrow,Bullish,Above CPR,Cash Only,Unclassified,True,False,0.047619047619047616,21,12648089.95,Inside,True,No setup
ASHIANA,EQ,ASHIANA HOUSING LTD,301.55,303.05,300.0,301.55,27133,8178117.6,20251125,301.5333333333333,301.525,301.54166666666663,301.54166666666663,301.525,0.01666666666665151,0.00552699939202504,Narrow,Bullish,Above CPR,Cash Only,Unclassified,True,False,0.047619047619047616,21,10369682.45,Higher,True,Long
TBOTEK,EQ,TBO TEK LIMITED,1725.2,1725.3,1685.0,1705.3,91676,156043520.2,20251125,1705.2,1705.15,1705.25,1705.25,1705.15,0.09999999999990905,0.005864070837970389,Narrow,Bullish,Above CPR,Cash Only,Consumer Services,True,False,0.047619047619047616,21,156043520.2,Lower,True,No setup
SAHYADRI,EQ,SAHYADRI INDUSTRIES LTD,242.2,254.65,242.2,248.45,3066,760961.95,20251125,248.4333333333333,248.425,248.4416666666666,248.4416666666666,248.425,0.016666666666594665,0.0067082578654033675,Narrow,Bullish,Above CPR,Cash Only,Unclassified,True,False,0.09523809523809523,21,648446.15,Lower,True,No setup
ZENSARTECH,EQ,ZENSAR TECHNOLOGIES  LTD,723.95,723.95,708.2,716.15,248710,177714619.95,20251125,716.1,716.075,716.125,716.125,716.075,0.049999999999954525,0.00698177756056057,Narrow,Bullish,Above CPR,Cash Only,Information Technology,True,False,0.047619047619047616,21,307253250.25,Higher,True,Long
CREDITACC,EQ,CREDITACCESS GRAMEEN LTD,1393.0,1399.8,1378.3,1389.2,152389,212200914.4,20251125,1389.1000000000001,1389.05,1389.1500000000003,1389.1500000000003,1389.05,0.1000000000003638,0.0071983875612124815,Narrow,Bullish,Above CPR,Cash Only,Financial Services,True,False,0.047619047619047616,21,503222217.9,Higher,True,Long
KROSS,EQ,KROSS LIMITED,159.3,162.63,158.63,160.65,215485,34638845.58,20251125,160.63666666666666,160.63,160.64333333333332,160.64333333333332,160.63,0.013333333333321207,0.008299616142745849,Narrow,Bullish,Above CPR,Cash Only,Unclassified,True,False,0.047619047619047616,21,30740678.37,Lower,True,No setup
IGPL,EQ,I G PETROCHEMICALS LTD,380.3,380.3,373.0,376.7,6096,2291820.85,20251125,376.6666666666667,376.65,376.6833333333334,376.6833333333334,376.65,0.033333333333416704,0.008848774444761535,Narrow,Bullish,Above CPR,Cash Only,Unclassified,True,False,0.047619047619047616,21,7037574.15,Lower,True,No setup
POWERMECH,EQ,POWER MECH PROJECTS LTD.,2328.0,2358.0,2310.5,2334.6,34106,79522407.7,20251125,2334.366666666667,2334.25,2334.4833333333336,2334.4833333333336,2334.25,0.23333333333357587,0.009994574373921695,Narrow,Bullish,Above CPR,Cash Only,Unclassified,True,False,0.047619047619047616,21,207538231.6,Inside,True,No setup
ASALCBR,EQ,ASSO ALCOHOLS & BREW LTD,965.0,1004.1,945.0,974.7,104627,102093363.2,20251125,974.6,974.55,974.6500000000001,974.6500000000001,974.55,0.10000000000013642,0.010259567046284643,Narrow,Bullish,Above CPR,Cash Only,Unclassified,True,False,0.047619047619047616,21,102093363.2,Higher,True,Long
KSL,EQ,KALYANI STEELS LIMITED,766.0,771.95,763.9,768.05,15768,12101150.05,20251125,767.9666666666666,767.925,768.0083333333332,768.0083333333332,767.925,0.08333333333325754,0.010849988065003261,Narrow,Bullish,Above CPR,Cash Only,Unclassified,True,False,0.047619047619047616,21,20175815.1,Lower,True,No setup
SHEMAROO,EQ,SHEMAROO ENTER. LTD.,112.13,114.87,111.53,113.22,14561,1636617.3,20251125,113.20666666666666,113.2,113.21333333333332,113.21333333333332,113.2,0.013333333333321207,0.011776482364706948,Narrow,Bullish,Above CPR,Cash Only,Unclassified,True,False,0.047619047619047616,21,1023191.35,Inside,True,No setup
