SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,Industry,Segment,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,Applies,Timeframe
20MICRONS,20251114,207.3,211.8,191.6,193.63,107292376.64,20 MICRONS LTD,Diversified,Cash Only,20251114,199.01,201.7,196.32,201.7,196.32,5.3799999999999955,2.7784950679130276,Wide,Bearish,Below CPR,False,False,1.0,12,101436772.61,False,False,Lower,True,Risk Off,False,None,,,,,1.057726639751379,False,False,No setup,0.0,None,Week 17 Nov – 21 Nov 2025,Weekly
21STCENMGM,20251114,46.95,46.95,43.27,43.27,1002414.8,21ST CENTURY MGMT SERVICE,Diversified,Cash Only,20251114,44.49666666666667,45.11,43.88333333333334,45.11,43.88333333333334,1.2266666666666595,2.8349125645173547,Wide,Bearish,Below CPR,False,False,1.0,12,1320666.08,False,False,Lower,True,Risk Off,False,None,,,,,0.7590221443409828,False,False,No setup,0.0,None,Week 17 Nov – 21 Nov 2025,Weekly
360ONE,20251114,1069.5,1096.9,1051.1,1065.4,2339449770.6000004,360 ONE WAM LIMITED,Financial Services,Cash Only,20251114,1071.1333333333334,1074.0,1068.2666666666669,1074.0,1068.2666666666669,5.733333333333121,0.5381390401101108,Moderate,Bearish,Below CPR,False,False,0.25,12,3084349384.75,True,True,Overlapping,True,Risk Off,True,None,,,,,0.7584905206157839,False,False,No setup,0.0,None,Week 17 Nov – 21 Nov 2025,Weekly
3IINFOLTD,20251114,16.93,18.5,16.74,18.2,86328937.86,3I INFOTECH LIMITED,Information Technology,Cash Only,20251114,17.813333333333333,17.619999999999997,18.006666666666668,18.006666666666668,17.619999999999997,0.38666666666667027,2.1245421245421445,Wide,Bullish,Above CPR,False,False,0.75,12,55830072.465,False,False,Higher,True,Risk Off,False,None,,,,,1.5462802401719933,False,False,No setup,0.0,None,Week 17 Nov – 21 Nov 2025,Weekly
3MINDIA,20251114,35060.0,36600.0,35060.0,35910.0,2252234740.0,3M INDIA LIMITED,Diversified,Cash Only,20251114,35856.666666666664,35830.0,35883.33333333333,35883.33333333333,35830.0,53.33333333332848,0.14851944676504727,Narrow,Bullish,Above CPR,True,False,0.16666666666666666,12,549320745.0,False,False,Higher,True,Risk Off,True,None,,,,,4.100035836076062,False,False,No setup,0.0,None,Week 17 Nov – 21 Nov 2025,Weekly
3PLAND,20251114,41.0,42.39,38.7,40.65,1532675.32,3P LAND HOLDINGS LIMITED,Diversified,Cash Only,20251114,40.580000000000005,40.545,40.61500000000001,40.61500000000001,40.545,0.07000000000000739,0.17220172201723835,Narrow,Bullish,Above CPR,True,False,0.08333333333333333,12,1155202.365,True,True,Lower,True,Risk Off,True,None,,,,,1.3267591605043156,False,False,No setup,0.0,None,Week 17 Nov – 21 Nov 2025,Weekly
5PAISA,20251114,303.0,303.35,287.65,289.15,83346314.9,5PAISA CAPITAL LIMITED,Stock Broking,Cash Only,20251114,293.3833333333333,295.5,291.26666666666665,295.5,291.26666666666665,4.2333333333333485,1.4640613291832436,Wide,Bearish,Below CPR,False,False,0.8333333333333334,12,34682815.75,False,False,Lower,True,Risk Off,False,None,,,,,2.4031011640108835,False,False,No setup,0.0,None,Week 17 Nov – 21 Nov 2025,Weekly
63MOONS,20251114,750.0,789.8,712.55,742.85,528566253.15,63 MOONS TECHNOLOGIES LTD,Diversified,Cash Only,20251114,748.4,751.175,745.625,751.175,745.625,5.5499999999999545,0.7471225684862294,Moderate,Bearish,Below CPR,False,False,0.4166666666666667,12,422003858.82500005,False,False,Lower,True,Risk Off,False,None,,,,,1.2525152130639405,False,False,No setup,0.0,None,Week 17 Nov – 21 Nov 2025,Weekly
A2ZINFRA,20251114,18.14,19.39,17.11,17.4,35798867.72,A2Z INFRA ENGINEERING LTD,Real Estate & Infra,Cash Only,20251114,17.966666666666665,18.25,17.68333333333333,18.25,17.68333333333333,0.56666666666667,3.256704980842931,Wide,Bearish,Below CPR,False,False,0.6666666666666666,3,28491042.240000002,False,False,Overlapping,False,Risk Off,False,None,,,,,1.2564955475633732,False,False,No setup,0.0,None,Week 17 Nov – 21 Nov 2025,Weekly
AADHARHFC,20251114,499.1,506.4,485.2,494.9,943020390.9,AADHAR HOUSING FINANCE L,Financial Services,Cash Only,20251114,495.5,495.79999999999995,495.20000000000005,495.79999999999995,495.20000000000005,0.599999999999909,0.12123661345724572,Narrow,Bearish,Below CPR,False,True,0.16666666666666666,12,848288391.1500001,False,False,Lower,True,Risk Off,True,None,,,,,1.1116742852293127,False,False,No setup,0.0,None,Week 17 Nov – 21 Nov 2025,Weekly
