SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation
ABMINTLLTD,EQ,ABM INTERNATIONAL LTD,36.5,37.79,36.47,37.44,119,4398.47,20260128,36.79,34.56,35.75,35.699999999999996,35.675,35.724999999999994,35.724999999999994,35.675,0.04999999999999716,0.1398601398601319,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.15555555555555556,46,40568.97,True,False,Lower,True,Risk On,True,None,2.6864285714285714,,,0.018612071257643185,0.10841956303056252,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
ACC,EQ,ACC LIMITED,1688.0,1704.2,1669.1,1684.3,336420,566590278.9,20260128,1699.0,1668.8,1687.9,1685.2333333333336,1683.9,1686.566666666667,1686.566666666667,1683.9,2.66666666666697,0.15798724253018365,Narrow,Bullish,Inside CPR,Cash Only,Construction Materials,True,False,False,0.36666666666666664,60,299734989.3,False,False,Inside,True,Risk On,False,None,35.292857142857166,1773.8339999999998,1812.9660000000001,0.07555825406463783,1.8903040990416662,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
ACCURACY,EQ,ACCURACY SHIPPING LIMITED,4.62,5.1,4.62,4.93,131141,635209.83,20260128,4.96,4.66,4.88,4.833333333333333,4.8100000000000005,4.856666666666666,4.856666666666666,4.8100000000000005,0.04666666666666508,0.956284153005432,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,False,0.8,60,505305.63,False,False,Lower,True,Risk On,False,None,0.3521428571428569,5.655400000000001,6.2465,0.13252197430695975,1.2570804524778398,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Watch,Wide CPR + close above CPR; trend opposes; participation confirmed
ACE,EQ,ACTION CONST EQUIP LTD,812.75,838.5,799.15,831.5,175747,143273433.9,20260128,815.4,775.45,808.45,799.7666666666668,795.425,804.1083333333336,804.1083333333336,795.425,8.683333333333621,1.07407178345397,Wide,Bullish,Above CPR,Cash Only,Capital Goods,True,False,False,0.95,60,143285311.675,False,False,Overlapping,True,Risk On,False,None,27.799999999999994,928.893,1008.3675,0.3123501199040872,0.9999171040292885,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Watch,Wide CPR + close above CPR; trend opposes; participation light
ACEINTEG,EQ,ACE INTEGRATED SOLU. LTD.,20.6,20.62,19.2,19.66,1991,39275.23,20260128,19.75,18.75,19.65,19.383333333333333,19.25,19.516666666666666,19.516666666666666,19.25,0.2666666666666657,1.3570822731128027,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,False,0.8333333333333334,60,49318.67999999999,False,False,Overlapping,True,Risk On,False,None,1.4771428571428566,21.6794,23.053599999999996,0.18052869116698847,0.7963560663018557,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Watch,Wide CPR + close above CPR; trend opposes; participation light
ACI,EQ,ARCHEAN CHEMICAL IND LTD,569.0,571.6,556.0,564.95,147640,83269464.75,20260128,574.0,544.0,568.6,562.1999999999999,559.0,565.3999999999999,565.3999999999999,559.0,6.399999999999864,1.1255715793175982,Wide,Bullish,Inside CPR,Cash Only,Diversified,False,False,False,0.9666666666666667,60,63627155.55,False,False,Higher,True,Risk On,False,Bullish Virgin,24.600000000000016,529.87,598.738,0.26016260162601057,1.308709528662876,True,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Consolidation,Watch,Wide CPR + close inside CPR; consolidation/range watch
ACMESOLAR,EQ,ACME SOLAR HOLDINGS LTD,209.0,217.95,205.86,216.36,672977,142350743.73,20260128,209.0,195.9,207.21,204.03666666666666,202.45,205.62333333333333,205.62333333333333,202.45,3.173333333333346,1.5314576194842653,Wide,Bullish,Above CPR,Cash Only,Power,True,False,False,0.9833333333333333,60,196140306.13,False,False,Overlapping,True,Risk On,False,Bullish Virgin,7.75428571428571,227.4564,256.0577,0.4092360599361355,0.7257597713529172,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Watch,Wide CPR + close above CPR; trend opposes; participation light
ACUTAAS,EQ,ACUTAAS CHEMICALS LIMITED,1748.0,1893.9,1729.0,1862.4,1239184,2260149890.5,20260128,1738.5,1640.2,1728.0,1702.2333333333333,1689.35,1715.1166666666668,1715.1166666666668,1689.35,25.76666666666688,1.4911265432098888,Wide,Bullish,Above CPR,Cash Only,Healthcare,True,False,False,0.9666666666666667,60,393957084.85,False,False,Higher,True,Risk On,False,Bullish Virgin,67.23571428571431,1707.85,1631.182,0.3832288678777607,5.737045930676832,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed
ADANIENSOL,EQ,ADANI ENERGY SOLUTION LTD,857.0,886.0,838.0,882.0,1896173,1636443561.7,20260128,857.5,811.3,849.1,839.3000000000001,834.4,844.2000000000002,844.2000000000002,834.4,9.800000000000182,1.15416323165707,Wide,Bullish,Above CPR,Cash Only,Power,True,False,False,0.95,60,1020139957.55,False,False,Inside,True,Risk On,False,None,41.27142857142858,976.71,942.0835,0.2374524056767091,1.6041363242256819,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Watch,Wide CPR + close above CPR; trend opposes; participation confirmed
ADANIENT,EQ,ADANI ENTERPRISES LIMITED,1985.0,2004.0,1952.0,1994.7,2073198,4111749269.9,20260128,1973.9,1893.0,1959.5,1942.1333333333332,1933.45,1950.8166666666664,1950.8166666666664,1933.45,17.366666666666333,0.8862805137364803,Wide,Bullish,Above CPR,Cash Only,Metals & Mining,True,False,False,0.9,60,2108302771.45,False,False,Inside,True,Risk On,False,None,73.46428571428578,2230.562,2353.804,0.23639604602170972,1.9502650784223539,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Watch,Wide CPR + close above CPR; trend opposes; participation confirmed
ADANIGREEN,EQ,ADANI GREEN ENERGY LTD,809.0,825.7,795.0,822.9,4377377,3543348877.1,20260128,819.2,768.1,799.1,795.4666666666667,793.6500000000001,797.2833333333333,797.2833333333333,793.6500000000001,3.633333333333212,0.45467817961872253,Moderate,Bullish,Above CPR,Cash Only,Power,True,False,False,0.5833333333333334,60,1818160067.4,False,False,Overlapping,True,Risk On,False,None,39.3,992.4,1015.701,0.09245122985580694,1.9488651965429256,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
