SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Nifty500,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
ADANIGREEN,EQ,ADANI GREEN ENERGY LTD,909.0,909.0,765.0,772.8,22973223,18468814749.5,20260123,815.6,837.0,794.2,837.0,794.2,42.79999999999996,5.538302277432707,Wide,Bearish,Below CPR,Cash Only,Power,False,True,1.0,60,1818160067.4,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
MONEYBOXX,EQ,MONEYBOXX FINANCE LIMITED,44.02,55.0,44.02,53.97,98687,5157366.26,20260123,50.99666666666667,49.510000000000005,52.48333333333333,52.48333333333333,49.510000000000005,2.973333333333329,5.509233524797719,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,60,3072055.115,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
SHEKHAWATI,EQ,SHEKHAWATI INDUSTRIES LTD,13.55,15.93,13.3,13.6,691810,10475090.08,20260123,14.276666666666666,14.615,13.93833333333333,14.615,13.93833333333333,0.6766666666666694,4.975490196078452,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,1.0,60,517995.775,Overlapping,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
IXIGO,EQ,LE TRAVENUES TECHNOLOGY L,241.9,247.5,191.5,204.55,21346874,4542354368.0,20260123,214.51666666666665,219.5,209.5333333333333,219.5,209.5333333333333,9.966666666666695,4.872484315163382,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,1.0,60,425530129.975,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
DBOL,EQ,DHAMPUR BIO ORGANICS LTD,82.0,95.76,82.0,95.76,1473992,136894924.21,20260123,91.17333333333332,88.88,93.46666666666668,93.46666666666668,88.88,4.586666666666673,4.789752158173218,Wide,Bullish,Above CPR,Cash Only,Diversified,False,False,1.0,60,5115213.69,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
PAYTM,EQ,ONE 97 COMMUNICATIONS LTD,1261.9,1303.8,1130.0,1138.8,19357013,22730925400.0,20260123,1190.8666666666668,1216.9,1164.8333333333337,1216.9,1164.8333333333337,52.066666666666606,4.572064161105252,Wide,Bearish,Below CPR,Cash Only,Financial Services,False,True,1.0,60,3069635372.15,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
NIRAJISPAT,EQ,NIRAJ ISPAT IND LTD,187.8,187.8,165.3,166.0,846,149350.19,20260123,173.03333333333333,176.55,169.51666666666665,176.55,169.51666666666665,7.03333333333336,4.236947791164675,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,0.9827586206896552,58,57727.87,Overlapping,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
ADANIENSOL,EQ,ADANI ENERGY SOLUTION LTD,925.0,925.0,803.1,812.7,7623697,6418441418.2,20260123,846.9333333333334,864.05,829.8166666666668,864.05,829.8166666666668,34.23333333333312,4.212296460358449,Wide,Bearish,Below CPR,Cash Only,Power,False,True,1.0,60,972947015.6,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
SUNTV,EQ,SUN TV NETWORK LIMITED,559.7,576.6,480.2,563.95,288790,161087118.3,20260123,540.25,528.4,552.1,552.1,528.4,23.700000000000045,4.202500221650864,Wide,Bullish,Above CPR,Cash Only,Media Entertainment & Publication,False,False,1.0,60,92779608.625,Outside,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Watch,Unavailable,Wide CPR + close above CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
SHALPAINTS,EQ,SHALIM PAINTS LTD,66.5,68.91,58.01,59.87,227994,14493185.41,20260123,62.26333333333333,63.46,61.06666666666666,63.46,61.06666666666666,2.393333333333331,3.9975502477590297,Wide,Bearish,Below CPR,Cash Only,Diversified,False,True,0.9833333333333332,60,5644999.275,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Unavailable,Wide CPR + close below CPR; trend unavailable; participation unavailable,None,0,No active J-Curve setup.
