SYMBOL,Industry,CLOSE,Pivot,BC,TC,CPR_Width_Pct,Width_Rank_Pct,Overlay,Setup,Own_Narrow,Bias,Price_Position,Segment
GOKEX,Unclassified,694.05,694.0499999999998,694.05,694.0499999999997,3.2760417180784104e-14,0.016666666666666666,Higher,Watch,True,Bearish,Inside CPR,Cash Only
UNIMECH,Unclassified,939.3,939.2999999999998,939.3,939.2999999999997,2.420671515418206e-14,0.016666666666666666,Higher,Watch,True,Bearish,Inside CPR,Cash Only
SIRCA,Unclassified,474.05,473.9666666666667,473.925,474.0083333333334,0.017579017684499786,0.016666666666666666,Higher,Long,True,Bullish,Above CPR,Cash Only
FAZE3Q,Unclassified,441.6,441.6000000000001,441.6,441.60000000000014,2.5744302020293486e-14,0.016666666666666666,Higher,Watch,True,Bullish,Inside CPR,Cash Only
KNRCON,Unclassified,156.92,156.91666666666666,156.91500000000002,156.9183333333333,0.002124224657961674,0.016666666666666666,Higher,Long,True,Bullish,Above CPR,Cash Only
BANSALWIRE,Unclassified,276.7,276.65000000000003,276.625,276.67500000000007,0.01807011203471927,0.016666666666666666,Higher,Long,True,Bullish,Above CPR,Cash Only
PRAJIND,Unclassified,292.7,292.6666666666667,292.65,292.6833333333334,0.011388224575817119,0.016666666666666666,Higher,Long,True,Bullish,Above CPR,Cash Only
POKARNA,Unclassified,873.05,873.0499999999998,873.05,873.0499999999997,2.6043602937200857e-14,0.016666666666666666,Higher,Watch,True,Bearish,Inside CPR,Cash Only
JSL,Metals & Mining,809.35,809.0833333333334,808.95,809.2166666666667,0.03294825065381498,0.03333333333333333,Higher,Long,True,Bullish,Above CPR,Cash Only
KAJARIACER,Consumer Durables,914.9,914.6666666666666,914.55,914.7833333333333,0.02550369803621691,0.03333333333333333,Higher,Long,True,Bullish,Above CPR,Cash Only
DIXON,Consumer Durables,11031.0,11027.666666666666,11026.0,11029.333333333332,0.030217870848808996,0.03333333333333333,Higher,Long,True,Bullish,Above CPR,Cash Only
KSB,Unclassified,718.05,718.0,717.975,718.025,0.006963303391122419,0.03333333333333333,Higher,Long,True,Bullish,Above CPR,Cash Only
TVSHLTD,Unclassified,15374.0,15373.333333333334,15373.0,15373.666666666668,0.004336325397865743,0.03508771929824561,Higher,Long,True,Bullish,Above CPR,Cash Only
NYKAA,Consumer Services,245.41,245.37666666666667,245.36,245.39333333333332,0.013582711924250444,0.05,Higher,Long,True,Bullish,Above CPR,Cash Only
FINPIPE,Unclassified,176.64,176.57666666666668,176.54500000000002,176.60833333333335,0.03585446859903339,0.05,Higher,Long,True,Bullish,Above CPR,Cash Only
MARICO,Fast Moving Consumer Goods,732.85,732.7833333333333,732.75,732.8166666666666,0.00909690477814096,0.05,Higher,Long,True,Bullish,Above CPR,Cash Only
NUVAMA,Financial Services,1361.5,1361.1000000000001,1360.9,1361.3000000000002,0.029379360998904955,0.05,Higher,Long,True,Bullish,Above CPR,Cash Only
SURAJEST,Unclassified,234.57,234.35666666666665,234.25,234.4633333333333,0.09094655468871118,0.05,Higher,Long,True,Bullish,Above CPR,Cash Only
ZUARIIND,Unclassified,273.4,273.06666666666666,272.9,273.23333333333335,0.12192148256524185,0.06666666666666667,Higher,Long,True,Bullish,Above CPR,Cash Only
IEX,Financial Services,126.26,126.23,126.215,126.245,0.02376049421828064,0.06666666666666667,Higher,Long,True,Bullish,Above CPR,Cash Only
