SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Nifty500,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
LMW,EQ,LMW LIMITED,15305.0,15746.0,14693.0,15186.0,6673,102239535.0,20260219,15208.333333333334,15219.5,15197.166666666668,15219.5,15197.166666666668,22.33333333333212,0.1470652794240229,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.2,60,35890612.5,Lower,True,Short,False,Short,70,Confirmed,CPR width: Narrow (20/20); Price location: Below CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SIRCA,EQ,SIRCA PAINT INDIA LIMITED,470.5,471.05,463.0,466.0,170382,79799124.45,20260219,466.6833333333333,467.025,466.3416666666667,467.025,466.3416666666667,0.6833333333332803,0.1466380543633648,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.2833333333333333,60,108750762.225,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
INDNIPPON,EQ,INDIA NIPPON ELECT  LTD,899.95,912.0,889.25,898.65,86121,77664166.0,20260219,899.9666666666667,900.625,899.3083333333334,900.625,899.3083333333334,1.316666666666606,0.1465160704018924,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.1166666666666666,60,13606191.35,Inside,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
TRU,EQ,TRUCAP FINANCE LIMITED,6.94,7.15,6.66,6.89,162804,1117383.31,20260219,6.9,6.905,6.894999999999999,6.905,6.894999999999999,0.0100000000000015,0.1451378809869603,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.1,60,1060323.015,Lower,True,Short,False,Short,70,Confirmed,CPR width: Narrow (20/20); Price location: Below CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CORONA,EQ,CORONA REMEDIES LIMITED,1580.6,1594.0,1550.0,1568.6,22212,35035792.3,20260219,1570.8666666666668,1572.0,1569.7333333333336,1572.0,1569.7333333333336,2.266666666666424,0.1445025287942384,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.1521739130434782,46,127209920.35,Lower,True,Short,False,Short,70,Confirmed,CPR width: Narrow (20/20); Price location: Below CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
VAKRANGEE,EQ,VAKRANGEE LIMITED,6.92,7.09,6.8,6.93,3440650,23879074.54,20260219,6.94,6.945,6.9350000000000005,6.945,6.9350000000000005,0.0099999999999997,0.1443001443001412,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.2,60,14932896.685,Higher,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
KRISHNADEF,EQ,KRISHNA DEF AND ALD IND L,1200.0,1200.0,1119.8,1157.4,314334,362412064.6,20260219,1159.0666666666668,1159.9,1158.2333333333336,1159.9,1158.2333333333336,1.666666666666515,0.1440009216058851,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.1388888888888889,36,130805844.825,Higher,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SARLAPOLY,EQ,SARLA PERF. FIBERS LTD,84.57,84.92,83.16,83.86,63353,5315798.45,20260219,83.98,84.03999999999999,83.92000000000002,84.03999999999999,83.92000000000002,0.1199999999999761,0.1430956355830862,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.0666666666666666,60,7077461.855,Inside,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
IRISDOREME,EQ,IRIS CLOTHINGS LIMITED,32.91,33.74,32.52,33.06,456723,15157781.69,20260219,33.10666666666667,33.13,33.083333333333336,33.13,33.083333333333336,0.0466666666666668,0.1411574914297243,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.1666666666666666,60,15133046.225,Lower,True,Short,False,Short,70,Confirmed,CPR width: Narrow (20/20); Price location: Below CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SASTASUNDR,EQ,SASTASUNDAR VENTURES LTD,289.4,290.45,281.65,285.45,9536,2725757.05,20260219,285.85,286.04999999999995,285.65,286.04999999999995,285.65,0.3999999999999772,0.140129619898398,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.2,60,2951669.35,Lower,True,Short,False,Short,70,Confirmed,CPR width: Narrow (20/20); Price location: Below CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
