SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation
MPHASIS,EQ,MPHASIS LIMITED,2770.0,2798.0,2718.0,2761.4,265952,730338013.7,20260202,2789.6,2725.0,2759.0,2757.866666666667,2757.3,2758.4333333333334,2758.4333333333334,2757.3,1.133333333333212,0.041077685151620594,Narrow,Bullish,Above CPR,Cash Only,Information Technology,True,True,False,0.15,60,1061881419.75,False,False,Lower,True,Risk Off,True,None,90.11428571428574,2836.4819999999995,2818.1420000000003,0.012576622278586688,0.6877773733642918,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
TATATECH,EQ,TATA TECHNOLOGIES LIMITED,638.5,647.55,633.25,645.85,479353,306596281.35,20260202,650.0,641.05,645.95,645.6666666666666,645.525,645.8083333333333,645.8083333333333,645.525,0.283333333333303,0.043863044095255516,Narrow,Bullish,Above CPR,Cash Only,Information Technology,True,True,False,0.06666666666666667,60,365582789.6,True,True,Lower,True,Risk Off,True,Bearish Virgin,16.76785714285715,658.2539999999999,675.89,0.01689740859069751,0.8386507518186518,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
TECILCHEM,EQ,TECIL CHEMICALS,16.0,16.5,14.81,16.5,729,11740.49,20260202,15.1,14.8,14.96,14.953333333333333,14.95,14.956666666666667,14.956666666666667,14.95,0.006666666666667709,0.04456327985740447,Narrow,Bullish,Above CPR,Cash Only,Chemicals & Fertilizers,False,True,False,0.07142857142857142,43,19263.79,True,False,Lower,True,Risk Off,True,None,1.555,,,0.004287245444802385,0.6094589901571809,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
ZENITHEXPO,EQ,ZENITH EXPORTS LTD,212.4,217.18,204.0,215.48,411,88169.35,20260202,209.4,204.0,206.84,206.74666666666667,206.7,206.79333333333335,206.79333333333335,206.7,0.09333333333336213,0.0451234448527181,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.06666666666666667,60,112351.95999999999,True,False,Higher,True,Risk Off,True,Bullish Virgin,9.845714285714292,221.4316,236.2293,0.009479589862645596,0.7847602302621157,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
GNFC,EQ,GUJ NAR VAL FER & CHEM L,460.0,474.0,454.75,468.7,162703,75161345.3,20260202,472.45,460.5,466.8,466.5833333333333,466.475,466.6916666666666,466.6916666666666,466.475,0.2166666666665833,0.04641530991143601,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.06666666666666667,60,74660811.125,True,True,Lower,True,Risk Off,True,None,13.21785714285714,484.899,493.17800000000005,0.01639196613527245,1.006704108453389,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
INDUSINDBK,EQ,INDUSIND BANK LIMITED,889.0,914.5,884.35,910.25,3762702,3394586856.95,20260202,902.75,888.2,896.1,895.6833333333334,895.475,895.8916666666668,895.8916666666668,895.475,0.41666666666674246,0.04649778670536128,Narrow,Bullish,Above CPR,Cash Only,Financial Services,True,True,False,0.05,60,2664575824.35,True,True,Lower,True,Risk Off,True,None,27.810714285714287,871.9910000000001,820.7335,0.014982235349516872,1.2739689469253817,True,True,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
HEROMOTOCO,EQ,HERO MOTOCORP LIMITED,5550.0,5650.5,5418.0,5623.0,449861,2487913511.5,20260202,5595.0,5465.0,5534.0,5531.333333333333,5530.0,5532.666666666666,5532.666666666666,5530.0,2.6666666666660603,0.048186965425841354,Narrow,Bullish,Above CPR,Cash Only,Automobile and Auto Components,True,True,False,0.1,60,3276065645.75,True,True,Lower,True,Risk Off,True,None,162.03571428571428,5853.29,5668.795,0.016457277202259136,0.7594211412483568,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
AKI,EQ,AKI INDIA LIMITED,6.01,6.42,5.9,6.05,66412,405694.96,20260202,6.29,5.8,6.05,6.046666666666667,6.045,6.048333333333334,6.048333333333334,6.045,0.0033333333333338544,0.05509641873279098,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.03333333333333333,60,387828.28500000003,True,True,Lower,True,Risk Off,True,None,0.5535714285714287,6.8498,,0.006021505376345025,1.0460685197316126,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
PATELRMART,EQ,PATEL RETAIL LIMITED,195.08,214.5,194.5,196.49,882444,180669010.13,20260202,199.3,193.1,196.37,196.25666666666666,196.2,196.31333333333333,196.31333333333333,196.2,0.11333333333334394,0.0577141790158089,Narrow,Bullish,Above CPR,Cash Only,Consumer & Retail,False,True,False,0.016666666666666666,60,28667391.475,True,True,Higher,True,Risk Off,True,None,14.118571428571428,208.9542,,0.008027252183885537,6.302247984004969,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
SONAMLTD,EQ,SONAM LIMITED,39.73,41.0,39.0,40.36,19371,772453.65,20260202,41.0,38.99,40.03,40.00666666666667,39.995000000000005,40.01833333333333,40.01833333333333,39.995000000000005,0.023333333333326323,0.058289616121224894,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.08333333333333333,60,1986596.1,True,False,Higher,True,Risk Off,True,None,2.2135714285714285,42.18639999999999,42.62120000000001,0.010541034742386851,0.3888327627342065,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
