SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Applies,Timeframe
AJOONI,20260131,4.4,4.4,3.55,3.89,23578542.35,AJOONI BIOTECH LIMITED,20260131,3.9466666666666668,3.975,3.9183333333333334,3.975,3.9183333333333334,0.05666666666666664,1.4567266495287055,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.6666666666666666,6,39418746.504999995,Lower,True,Unknown,False,,,,,0.5981555589802742,False,False,No setup,Feb 2026,Monthly
AKASH,20260131,25.8,34.74,23.11,24.6,94393406.99,AKASH INFRA-PROJECTS LTD,20260131,27.483333333333334,28.925,26.041666666666668,28.925,26.041666666666668,2.883333333333333,11.720867208672084,Wide,Bearish,Below CPR,Unclassified,False,False,False,1.0,6,5735827.895,Higher,True,Unknown,False,,,,,16.456806012656696,False,False,No setup,Feb 2026,Monthly
AKG,20260131,12.3,13.97,11.55,13.68,10420831.24,AKG EXIM LIMITED,20260131,13.066666666666668,12.760000000000002,13.373333333333335,13.373333333333335,12.760000000000002,0.6133333333333333,4.483430799220272,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.8333333333333334,6,15872312.055,Higher,True,Unknown,False,,,,,0.6565414795204516,False,False,No setup,Feb 2026,Monthly
AKI,20260131,6.95,6.95,5.7,6.05,10799963.23,AKI INDIA LIMITED,20260131,6.233333333333333,6.325,6.141666666666667,6.325,6.141666666666667,0.18333333333333357,3.0303030303030343,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.5,4,9039348.675,Lower,False,Unknown,False,,,,,1.1947722804264986,False,False,No setup,Feb 2026,Monthly
AKSHAR,20260131,0.52,0.52,0.46,0.48,10777806.450000001,AKSHAR SPINTEX LIMITED,20260131,0.48666666666666664,0.49,0.4833333333333333,0.49,0.4833333333333333,0.00666666666666671,1.3888888888888977,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.4,5,20832259.92,Lower,False,Unknown,False,,,,,0.5173613660442462,False,False,No setup,Feb 2026,Monthly
AKSHARCHEM,20260131,238.59,245.9,203.69,221.62,23709890.54,AKSHARCHEM INDIA LIMITED,20260131,223.73666666666668,224.79500000000002,222.67833333333334,224.79500000000002,222.67833333333334,2.1166666666666742,0.9550882892639087,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.6666666666666666,6,29139385.45,Lower,True,Unknown,False,,,,,0.8136716054181575,False,False,No setup,Feb 2026,Monthly
AKSHOPTFBR,20260131,6.55,6.59,4.65,5.36,35017796.17,AKSH OPTIFIBRE LIMITED,20260131,5.533333333333334,5.62,5.446666666666668,5.62,5.446666666666668,0.173333333333332,3.233830845771119,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.5,6,33379174.32,Lower,True,Unknown,False,,,,,1.0490911439058028,False,False,No setup,Feb 2026,Monthly
AKUMS,20260131,453.4,458.0,409.3,439.55,744501168.2,AKUMS DRUGS AND PHARMA L,20260131,435.6166666666666,433.65,437.58333333333326,437.58333333333326,433.65,3.9333333333332803,0.8948545861297418,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.3333333333333333,6,1905583261.4,Lower,True,Unknown,False,,,,,0.39069464099565376,False,False,No setup,Feb 2026,Monthly
AKZOINDIA,20260131,3175.1,3224.0,2733.5,2800.0,3790816048.4,AKZO NOBEL INDIA LIMITED,20260131,2919.1666666666665,2978.75,2859.583333333333,2978.75,2859.583333333333,119.16666666666697,4.255952380952391,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.8333333333333334,6,3334039584.5,Lower,True,Unknown,False,,,,,1.1370039114183168,False,False,No setup,Feb 2026,Monthly
ALANKIT,20260131,10.85,10.93,8.76,9.32,54982123.14,ALANKIT LIMITED,20260131,9.67,9.844999999999999,9.495000000000001,9.844999999999999,9.495000000000001,0.34999999999999787,3.7553648068669303,Wide,Bearish,Below CPR,Unclassified,False,False,False,1.0,6,54311887.695,Lower,True,Unknown,False,,,,,1.0123404925412252,False,False,No setup,Feb 2026,Monthly
