SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Nifty500,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
BNALTD,EQ,B & A LTD.,360.3,360.3,360.3,360.3,1,360.3,20260513,360.3,360.3,360.3,360.3,360.3,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Diversified,False,False,0.1071428571428571,14,43628.925,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
VIVIDHA,EQ,VISAGAR POLYTEX LTD,0.52,0.52,0.5,0.51,377693,194460.25,20260513,0.51,0.51,0.51,0.51,0.51,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Diversified,False,False,0.1416666666666666,60,177919.43,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
RTNPOWER,EQ,RATTANINDIA POWER LIMITED,9.27,9.47,9.25,9.36,12871376,120913083.15,20260513,9.36,9.36,9.36,9.36,9.36,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Power & Utilities,False,False,0.025,60,159136962.055,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
INVENTURE,EQ,INVENTURE GRO & SEC LTD,0.98,0.99,0.97,0.98,903381,889596.22,20260513,0.98,0.98,0.98,0.98,0.98,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Diversified,False,False,0.1,60,1233134.415,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SHANTI,EQ,SHANTI OVERSEAS INDIA LTD,6.64,7.12,6.56,6.84,34295,234318.52,20260513,6.84,6.84,6.84,6.84,6.84,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Diversified,False,False,0.0166666666666666,60,224857.63,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SHREECEM,EQ,SHREE CEMENT LIMITED,24705.0,25285.0,24705.0,24995.0,13838,346465230.0,20260513,24995.0,24995.0,24995.0,24995.0,24995.0,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Construction Materials,False,False,0.025,60,729829107.5,Inside,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
RECLTD,EQ,REC LIMITED,345.45,351.1,342.0,346.55,4765260,1649228384.3,20260513,346.55,346.55,346.55,346.55,346.55,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Financial Services,False,False,0.0166666666666666,60,2439341474.45,Inside,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
BLUECHIP,EQ,BLUE CHIP INDIA LIMITED,1.89,1.89,1.89,1.89,35519,67130.91,20260513,1.89,1.89,1.89,1.89,1.89,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Diversified,False,False,0.5,13,47431.68,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
AJOONI,EQ,AJOONI BIOTECH LIMITED,4.25,4.27,4.21,4.24,98347,417239.77,20260513,4.24,4.24,4.24,4.24,4.24,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Diversified,False,False,0.05,60,1561026.21,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SONAL,EQ,SONAL MERCANTILE LTD.,92.25,92.25,92.25,92.25,2,184.5,20260513,92.25,92.25,92.25,92.25,92.25,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Diversified,False,False,0.2692307692307692,13,1916.19,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ASPINWALL,EQ,ASPINWALL & CO LTD,230.0,241.8,230.0,235.9,1962,456231.03,20260513,235.9,235.9,235.9,235.9,235.9,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Textiles & Apparel,False,False,0.0166666666666666,60,441799.045,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
NDL,EQ,NANDAN DENIM LIMITED,2.64,2.72,2.64,2.68,897515,2414216.38,20260513,2.68,2.68,2.68,2.68,2.68,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Diversified,False,False,0.025,60,4069427.805,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
GAYAHWS,EQ,GAYATRI HIGHWAYS LIMITED,2.34,2.45,2.33,2.39,184455,441663.21,20260513,2.39,2.39,2.39,2.39,2.39,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Diversified,False,False,0.025,60,697137.3049999999,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
BRNL,EQ,BHARAT ROAD NETWORK LTD,20.68,21.24,20.6,20.92,23123,485399.53,20260513,20.92,20.92,20.92,20.92,20.92,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Diversified,False,False,0.0166666666666666,60,937065.06,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ONGC,EQ,OIL AND NATURAL GAS CORP.,297.0,300.2,294.1,297.15,24381295,7244867397.3,20260513,297.15,297.15,297.15,297.15,297.15,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Oil Gas & Consumable Fuels,False,False,0.0166666666666666,60,5135300632.95,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SAYAJIHOTL,EQ,SAYAJI HOTELS LTD.,284.0,284.0,284.0,284.0,1,284.0,20260513,284.0,284.0,284.0,284.0,284.0,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Diversified,False,False,0.1071428571428571,14,18114.300000000003,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
IVALUE,EQ,IVALUE INFOSOLUTIONS LTD,232.8,239.0,231.9,235.45,74949,17548068.85,20260513,235.45,235.45,235.44999999999996,235.45,235.44999999999996,5.684341886080803e-14,2.4142458636996394e-14,Narrow,Bearish,Inside CPR,Cash Only,Diversified,False,False,0.0166666666666666,60,26029256.79,Inside,True,Watch,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CASTROLIND,EQ,CASTROL INDIA LIMITED,181.0,182.29,180.8,181.55,982840,178360202.63,20260513,181.5466666666667,181.545,181.5483333333334,181.5483333333334,181.545,0.0033333333333871,0.0018360414945674,Narrow,Bullish,Above CPR,Cash Only,Oil Gas & Consumable Fuels,True,False,0.0333333333333333,60,277237774.59000003,Lower,True,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SAKAR,EQ,SAKAR HEALTHCARE LIMITED,572.5,627.85,571.1,599.45,482029,290690720.9,20260513,599.4666666666667,599.475,599.4583333333334,599.475,599.4583333333334,0.0166666666666515,0.002780326410318,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.0166666666666666,60,45132160.025,Higher,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
DLF,EQ,DLF LIMITED,568.75,581.2,567.15,574.15,3004699,1727798905.15,20260513,574.1666666666666,574.175,574.1583333333333,574.175,574.1583333333333,0.0166666666666515,0.0029028418822,Narrow,Bearish,Below CPR,Cash Only,Realty,False,True,0.0333333333333333,60,2356318742.05,Inside,True,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
MHRIL,EQ,MAHINDRA HOLIDAYS LTD,224.61,227.3,220.3,223.81,178737,39960551.91,20260513,223.80333333333337,223.8,223.80666666666676,223.80666666666676,223.8,0.0066666666667174,0.0029787170665821,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.0166666666666666,60,28101023.175,Lower,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
GPPL,EQ,GUJARAT PIPAVAV PORT LTD,151.11,154.99,151.11,153.04,708218,108607899.83,20260513,153.04666666666665,153.05,153.0433333333333,153.05,153.0433333333333,0.0066666666667174,0.0043561596097212,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.0333333333333333,60,160041557.48000002,Lower,True,Short,False,Short,70,Confirmed,CPR width: Narrow (20/20); Price location: Below CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
VIKRAN,EQ,VIKRAN ENGINEERING LTD,69.74,71.85,69.6,70.73,1636877,115905427.56,20260513,70.72666666666667,70.725,70.72833333333335,70.72833333333335,70.725,0.0033333333333587,0.0047127574344107,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.0166666666666666,60,155529151.93,Inside,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
EMSLIMITED,EQ,EMS LIMITED,335.6,338.95,330.0,334.45,139934,46932678.05,20260513,334.4666666666667,334.475,334.45833333333337,334.475,334.45833333333337,0.0166666666666515,0.0049833059251462,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.0166666666666666,60,82150363.1,Lower,True,Short,False,Short,70,Confirmed,CPR width: Narrow (20/20); Price location: Below CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
RBA,EQ,RESTAURANT BRAND ASIA LTD,66.1,67.25,66.1,66.67,2433922,162668456.69,20260513,66.67333333333333,66.675,66.67166666666667,66.675,66.67166666666667,0.0033333333333303,0.0049997500124948,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.0166666666666666,60,130475581.21,Higher,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
