SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Nifty500,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
RHIM,EQ,RHI MAGNESITA INDIA LTD,395.05,409.2,394.55,403.15,182906,73796508.0,20260525,402.3,401.875,402.725,402.725,401.875,0.8500000000000227,0.2108396378519217,Narrow,Bullish,Above CPR,Cash Only,Capital Goods,True,False,0.3333333333333333,3,120149048.1,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ANGELONE,EQ,ANGEL ONE LIMITED,342.0,348.7,342.0,346.45,8423076,2913600862.5,20260525,345.7166666666667,345.35,346.08333333333337,346.08333333333337,345.35,0.7333333333333485,0.2116707557608164,Narrow,Bullish,Above CPR,Cash Only,Financial Services,True,False,0.3333333333333333,3,3511048274.8,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SESHAPAPER,EQ,SESHASAYEE PAPER & BOARDS,236.0,239.0,231.3,235.9,21287,4988475.55,20260525,235.4,235.15,235.65,235.65,235.15,0.5,0.2119542178889359,Narrow,Bullish,Above CPR,Cash Only,Paper & Packaging,True,False,0.3333333333333333,3,2925476.55,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
KIRLOSBROS,EQ,KIRLOSKAR BROTHERS LTD,1624.0,1653.3,1614.1,1628.5,39573,64662135.9,20260525,1631.9666666666665,1633.6999999999998,1630.2333333333331,1633.6999999999998,1630.2333333333331,3.466666666666697,0.212874833691538,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.3333333333333333,3,62478732.4,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
PATANJALI,EQ,PATANJALI FOODS LIMITED,469.35,470.4,463.5,468.45,2069309,967204431.6,20260525,467.45,466.95,467.95,467.95,466.95,1.0,0.2134699541039598,Narrow,Bullish,Above CPR,Cash Only,Fast Moving Consumer Goods,True,False,0.6666666666666666,3,967204431.6,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
LAURUSLABS,EQ,LAURUS LABS LIMITED,1345.0,1363.9,1340.0,1356.3,1632496,2204038541.3,20260525,1353.4,1351.95,1354.8499999999997,1354.8499999999997,1351.95,2.899999999999636,0.2138170021381432,Narrow,Bullish,Above CPR,Cash Only,Healthcare,True,False,0.6666666666666666,3,2282010501.4,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
HAL,EQ,HINDUSTAN AERONAUTICS LTD,4391.2,4437.9,4385.4,4425.9,1063255,4699568494.8,20260525,4416.4,4411.65,4421.15,4421.15,4411.65,9.5,0.2146456088027294,Narrow,Bullish,Above CPR,Cash Only,Capital Goods,True,False,0.6666666666666666,3,4699568494.8,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SUPREMEIND,EQ,SUPREME INDUSTRIES LTD,3565.3,3637.9,3564.6,3612.9,84056,303173668.1,20260525,3605.133333333333,3601.25,3609.0166666666655,3609.0166666666655,3601.25,7.766666666666424,0.2149704300331153,Narrow,Bullish,Above CPR,Cash Only,Capital Goods,True,False,0.3333333333333333,3,615248654.4,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
HUDCO,EQ,HSG & URBAN DEV CORPN LTD,207.0,210.0,206.4,207.53,1824309,380124322.66,20260525,207.97666666666663,208.2,207.75333333333333,208.2,207.75333333333333,0.4466666666666583,0.2152299265969538,Narrow,Bearish,Below CPR,Cash Only,Financial Services,False,True,1.0,3,380124322.66,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ABCAPITAL,EQ,ADITYA BIRLA CAPITAL LTD.,363.0,364.95,360.0,363.65,2791387,1013282807.5,20260525,362.8666666666666,362.475,363.2583333333332,363.2583333333332,362.475,0.7833333333331893,0.2154085888445454,Narrow,Bullish,Above CPR,Cash Only,Financial Services,True,False,0.3333333333333333,3,1239459359.25,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
TOUCHWOOD,EQ,TOUCHWOOD ENTERTAIN LTD.,71.94,74.89,70.58,72.5,2519,181772.46,20260525,72.65666666666667,72.735,72.57833333333333,72.735,72.57833333333333,0.1566666666666663,0.2160919540229879,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.6666666666666666,3,61037.35,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
GSFC,EQ,GUJ STATE FERT & CHEM LTD,170.4,171.75,167.73,169.19,896759,151705454.72,20260525,169.55666666666667,169.74,169.3733333333333,169.74,169.3733333333333,0.3666666666666742,0.2167188762141227,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,0.3333333333333333,3,231324115.57,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
WONDERLA,EQ,WONDERLA HOLIDAYS LTD.,490.2,490.95,474.8,481.3,56210,27089961.6,20260525,482.35,482.875,481.82499999999993,482.875,481.82499999999993,1.0500000000000682,0.2181591522958795,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,True,1.0,3,19225565.2,Overlapping,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
EIHAHOTELS,EQ,EIH ASSOCIATED HOTELS LTD,326.8,326.8,317.0,320.85,20455,6546563.45,20260525,321.55,321.9,321.20000000000005,321.9,321.20000000000005,0.6999999999999318,0.2181704846501267,Narrow,Bearish,Below CPR,Cash Only,Hotels & Tourism,False,True,0.6666666666666666,3,4217191.6,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
NTPCGREEN,EQ,NTPC GREEN ENERGY LIMITED,104.4,104.4,100.31,102.02,12850136,1305015451.59,20260525,102.24333333333334,102.355,102.13166666666667,102.355,102.13166666666667,0.2233333333333291,0.2189113245768763,Narrow,Bearish,Below CPR,Cash Only,Power,False,True,0.3333333333333333,3,671402802.45,Lower,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CIPLA,EQ,CIPLA LTD,1406.0,1420.0,1398.5,1413.9,668915,941641484.0,20260525,1410.8,1409.25,1412.35,1412.35,1409.25,3.099999999999909,0.2192517151142166,Narrow,Bullish,Above CPR,Cash Only,Healthcare,True,False,0.6666666666666666,3,1284767172.3,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
AXISCADES,EQ,AXISCADES TECH LTD,2024.1,2087.5,1989.0,2045.0,129086,263379315.9,20260525,2040.5,2038.25,2042.75,2042.75,2038.25,4.5,0.2200488997555012,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.3333333333333333,3,238163558.4,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
POWERGRID,EQ,POWER GRID CORP. LTD.,298.5,298.5,294.15,295.35,5896815,1741630052.8,20260525,296.0,296.325,295.675,296.325,295.675,0.6499999999999773,0.2200778737091508,Narrow,Bearish,Below CPR,Cash Only,Power,False,True,0.3333333333333333,3,3124944914.0,Inside,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
