SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Applies,Timeframe
20MICRONS,20260508,177.11,187.04,176.63,181.81,69816889.99,20 MICRONS LTD,20260508,181.82666666666668,181.83499999999998,181.81833333333338,181.83499999999998,181.81833333333338,0.016666666666594665,0.0091670791851904,Narrow,Bearish,Below CPR,Unclassified,False,False,True,0.05,40,84705768.87,Higher,True,Unknown,True,15.932857142857143,,,0.0010460563674900265,0.8242282777357192,False,False,No setup,Week 11 May – 15 May 2026,Weekly
21STCENMGM,20260508,37.25,37.25,34.25,34.65,528125.85,21ST CENTURY MGMT SERVICE,20260508,35.38333333333333,35.75,35.016666666666666,35.75,35.016666666666666,0.7333333333333343,2.116402116402119,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.575,40,1030717.305,Lower,True,Unknown,False,2.5914285714285725,,,0.2829841969864023,0.512386711116682,False,False,No setup,Week 11 May – 15 May 2026,Weekly
360ONE,20260508,1041.0,1134.9,1033.4,1118.5,8548585392.9,360 ONE WAM LIMITED,20260508,1095.6000000000001,1084.15,1107.0500000000002,1107.0500000000002,1084.15,22.90000000000009,2.047384890478327,Wide,Bullish,Above CPR,Financial Services,True,False,False,0.825,40,4103073419.4,Higher,True,Unknown,False,80.78214285714287,,,0.28347849153366744,2.083459036458108,False,False,No setup,Week 11 May – 15 May 2026,Weekly
3BBLACKBIO,20260508,1203.3,1325.0,1203.3,1294.1,61472244.800000004,3B BLACKBIO DX LTD.,20260508,1274.1333333333334,1264.15,1284.1166666666668,1284.1166666666668,1264.15,19.966666666666697,1.5428998274218917,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.6666666666666666,3,49351749.35,Overlapping,False,Unknown,False,,,,,1.2455940389071538,False,False,No setup,Week 11 May – 15 May 2026,Weekly
3IINFOLTD,20260508,17.74,18.95,17.0,18.11,30249630.79,3I INFOTECH LIMITED,20260508,18.02,17.975,18.064999999999998,18.064999999999998,17.975,0.0899999999999963,0.49696300386524744,Moderate,Bullish,Above CPR,Unclassified,False,False,False,0.2,40,34147931.245000005,Higher,True,Unknown,True,1.2885714285714285,,,0.06984478935698162,0.8858408016863158,False,False,Long,Week 11 May – 15 May 2026,Weekly
3MINDIA,20260508,33300.0,33640.0,31995.0,32045.0,376106565.0,3M INDIA LIMITED,20260508,32560.0,32817.5,32302.5,32817.5,32302.5,515.0,1.6071149945389298,Wide,Bearish,Below CPR,Diversified,True,False,False,0.85,40,625343515.0,Lower,True,Unknown,False,2359.285714285714,,,0.21828640629730547,0.6014399381754203,False,False,No setup,Week 11 May – 15 May 2026,Weekly
3PLAND,20260508,35.74,36.5,33.0,36.18,510558.08999999997,3P LAND HOLDINGS LIMITED,20260508,35.22666666666667,34.75,35.70333333333333,35.70333333333333,34.75,0.9533333333333331,2.6349732817394504,Wide,Bullish,Above CPR,Unclassified,False,False,False,0.8,40,1036539.1799999999,Outside,True,Unknown,False,4.217142857142858,,,0.2260614272809394,0.4925603391084551,False,False,No setup,Week 11 May – 15 May 2026,Weekly
5PAISA,20260508,337.05,354.45,330.0,335.05,62529343.35,5PAISA CAPITAL LIMITED,20260508,339.8333333333333,342.225,337.4416666666666,342.225,337.4416666666666,4.783333333333417,1.427647614783888,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.6,40,84484354.7,Overlapping,True,Unknown,False,30.07714285714286,,,0.1590354960260944,0.7401292650223675,False,False,No setup,Week 11 May – 15 May 2026,Weekly
63MOONS,20260508,742.0,759.0,715.35,723.65,301423001.25,63 MOONS TECHNOLOGIES LTD,20260508,732.6666666666666,737.175,728.1583333333333,737.175,728.1583333333333,9.016666666666652,1.2459982956770057,Wide,Bearish,Below CPR,Unclassified,False,False,False,0.425,40,476088095.6,Inside,True,Unknown,False,74.40357142857142,,,0.1211859389750234,0.6331244238949628,False,False,No setup,Week 11 May – 15 May 2026,Weekly
AAATECH,20260508,100.8,103.75,97.08,99.34,14670583.870000001,AAA TECHNOLOGIES LIMITED,20260508,100.05666666666666,100.41499999999999,99.69833333333332,100.41499999999999,99.69833333333332,0.7166666666666686,0.7214280920743593,Moderate,Bearish,Below CPR,Unclassified,False,False,False,0.21739130434782608,23,14081799.18,Higher,True,Unknown,True,12.518571428571429,,,0.05724827874776538,1.0418117516429461,False,False,No setup,Week 11 May – 15 May 2026,Weekly
