SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Nifty500,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation
GATECHDVR,EQ,GACM TECHNOLOGIES LIMITED,0.51,0.51,0.49,0.5,356149,179426.95,20251211,0.51,0.49,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Information Technology,False,False,False,0.125,37,434861.3,True,True,Higher,True,Risk On,False,None,0.020714285714285734,,,0.0,0.4126073072034693,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
ASTRON,EQ,ASTRON PAPER BORD MIL LTD,6.3,6.58,6.03,6.23,87731,539419.41,20251211,6.58,6.1,6.34,6.34,6.34,6.34,6.34,6.34,0.0,0.0,Narrow,Neutral,Below CPR,Cash Only,Diversified,False,False,False,0.025,60,1011802.8200000001,True,True,Higher,True,Risk On,False,None,0.4192857142857144,9.0754,,0.0,0.5331270078887504,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
NTPC,EQ,NTPC LTD,321.65,323.45,319.15,322.6,6317942,2036298106.9,20251211,323.7,319.5,321.6,321.6,321.6,321.6,321.6,321.6,0.0,0.0,Narrow,Neutral,Above CPR,Cash Only,Power,True,False,False,0.03333333333333333,60,2468510334.8500004,True,True,Higher,True,Risk On,False,None,4.271428571428568,332.263,,0.0,0.8249096947871342,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
MITTAL,EQ,MITTAL LIFE STYLE LIMITED,1.27,1.29,1.27,1.28,688801,881762.12,20251211,1.29,1.25,1.27,1.27,1.27,1.27,1.27,1.27,0.0,0.0,Narrow,Neutral,Above CPR,Cash Only,Diversified,False,False,False,0.06666666666666667,60,921982.06,True,True,Higher,True,Risk On,False,Bullish Virgin,0.06142857142857144,1.43,,0.0,0.9563766566130364,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
VIPULLTD,EQ,VIPUL LIMITED,8.01,8.7,8.01,8.54,600744,5040903.74,20251211,8.28,7.94,8.11,8.11,8.11,8.11,8.11,8.11,0.0,0.0,Narrow,Neutral,Above CPR,Cash Only,Diversified,False,False,False,0.025,60,2103443.785,True,True,Higher,True,Risk On,False,Bullish Virgin,0.5821428571428571,8.6676,,0.0,2.3965003371839577,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
CHALET,EQ,CHALET HOTELS LIMITED,884.95,896.6,867.7,885.55,141831,124289229.0,20251211,891.9,878.0,884.95,884.9500000000002,884.95,884.9500000000003,884.9500000000003,884.95,2.2737367544323206e-13,2.569339233213538e-14,Narrow,Bullish,Above CPR,Cash Only,Consumer Services,True,True,False,0.016666666666666666,60,127349907.80000001,True,True,Higher,True,Risk On,True,None,22.253571428571426,920.689,,1.0217401560601024e-14,0.9759663838563061,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
DIGJAMLMTD,EQ,DIGJAM LTD,46.31,46.31,46.31,46.31,265,12272.15,20251211,44.11,44.11,44.11,44.10999999999999,44.11,44.109999999999985,44.11,44.109999999999985,1.4210854715202004e-14,3.2216854942647937e-14,Narrow,Bearish,Above CPR,Cash Only,Diversified,False,False,False,0.25,5,37934.93,True,False,Higher,False,Risk On,False,Bullish Virgin,,,,,0.32350527600815393,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
KUANTUM,EQ,KUANTUM PAPERS LIMITED,91.1,92.38,91.1,91.97,18200,1670871.48,20251211,92.68,90.41,91.55,91.54666666666667,91.545,91.54833333333333,91.54833333333333,91.545,0.0033333333333303017,0.003640997633348227,Narrow,Bullish,Above CPR,Cash Only,Diversified,False,True,False,0.016666666666666666,60,3781925.81,True,True,Higher,True,Risk On,True,Bullish Virgin,3.6228571428571406,102.85860000000001,,0.0009200841219760302,0.4418044044073937,False,False,Long,1.0,None,None,0,No active J-Curve setup.,Long,54,Mixed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: opposes SMA direction (0/20); Participation: light (0.44x) (4/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
MANCREDIT,EQ,MANGAL CREDIT N FINCORP L,167.02,171.5,166.5,170.77,45644,7732041.87,20251211,170.5,165.12,167.82,167.81333333333333,167.81,167.81666666666666,167.81666666666666,167.81,0.006666666666660603,0.0039725102292102275,Narrow,Bullish,Above CPR,Cash Only,Financial Services,False,True,False,0.03333333333333333,60,6075509.28,True,True,Inside,True,Risk On,True,None,6.567857142857142,177.57460000000003,,0.0010150444081919354,1.2726574042859498,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
WEWORK,EQ,WEWORK INDIA MANAGEMENT L,600.0,600.0,586.1,595.0,57876,34396992.25,20251211,610.0,596.0,602.95,602.9833333333333,603.0,602.9666666666667,603.0,602.9666666666667,0.03333333333330302,0.005528374381508088,Narrow,Bearish,Below CPR,Cash Only,Diversified,False,False,True,0.023809523809523808,43,122648932.95,True,True,Inside,True,Risk On,True,None,19.482142857142858,,,0.0017109685303986883,0.2804508072159302,False,False,No setup,0.0,None,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
